id,year,section,authors,title,citation,type,language,tags,note,verification,links
src_iwakawa_preparato_1906,1906,primary,岩川友太郎,"プレパラート 第1輯","岩川友太郎 編・説明, 『プレパラート 第1輯』 (東京: 鰯屋岩本標本部, 1906).",dedicated preparation text,Japanese,"Japan; Iwakawa Tomotaro; プレパラート; animal; plant; physiology; specimen department; teaching","A dedicated Japanese preparation text issued by Iwaya Iwamoto's specimen department. The NDL record identifies the work as プレパラート 第1輯; the digitized copy is preserved in three units headed 動物, 植物 and 生理. This row does not infer that the surviving printed copy retains accompanying physical slides; it enters because the publication itself is specifically organized around preparations rather than general microscopy.",verified,"NDL Search: https://ndlsearch.ndl.go.jp/search?cs=bib&from=0&q-author=%22%E5%B2%A9%E5%B7%9D%2C+%E5%8F%8B%E5%A4%AA%E9%83%8E%2C+1854-1933%22&size=20; NDL scan backup index: https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NDL/38"
src_tanaka_microscope_specimens_1954,1954,primary,田中克己,顕微鏡標本の作り方,"田中克己, 『顕微鏡標本の作り方』 (東京: 裳華房, 1954), 278 pp.",technical manual,Japanese,"Japan; microscope specimens; preparation; mounting; teaching; laboratory technique","A book devoted explicitly to making microscopic specimens rather than a broad microscopy manual. The National Diet Library record confirms the 1954 Tokyo edition, publisher and 278-page extent.",verified,"NDL Search: https://ndlsearch.ndl.go.jp/books/R100000039-I1374399; DOI: https://doi.org/10.11501/1374399"
src_keio_pathology_specimens_1968,1968,primary,慶応義塾大学医学部病理学教室,病理組織標本の作り方 改訂3版,"慶応義塾大学医学部病理学教室 編, 『病理組織標本の作り方』 改訂3版 (東京: 医学書院, 1968), 290 pp.",technical manual,Japanese,"Japan; pathology; histology; tissue sections; preparation; teaching; medical laboratory","A dedicated pathology/histology specimen-making manual. The NDL record identifies the third revised edition as a 290-page work issued by Igaku-Shoin, keeping the physical preparation workflow at the centre.",verified,"NDL Search: https://ndlsearch.ndl.go.jp/books/R100000039-I1382595"
src_ota_hatakeyama_pathology_1969,1969,primary,"太田邦夫; 畠山茂",病理顕微鏡標本の作り方,"太田邦夫・畠山茂, 『病理顕微鏡標本の作り方』 (東京: 南山堂, 1969), 209 pp.",technical manual,Japanese,"Japan; pathology; microscope slides; histology; preparation; medical laboratory","A Japanese manual specifically on making pathological microscopic specimens. The NDL catalogue confirms authors, publisher, year and 209-page extent.",verified,"NDL Search: https://ndlsearch.ndl.go.jp/books/R100000002-I000001130646"
src_lin_histological_sections_1978,1978,primary,林庚欽,實用組織切片製作法,"林庚欽, 『實用組織切片製作法』 (1978).",technical manual,Chinese,"Taiwan; histology; tissue sections; preparation; Chinese-language microscopy; medical teaching","A Chinese-language work whose title is explicitly devoted to practical histological-section preparation. National Taiwan University Special Collections records the 1978 book in the medical-school section; the public catalogue result does not expose a publisher, so none is supplied here.",verified,"National Taiwan University Special Collections: https://speccoll.lib.ntu.edu.tw/a81301791400004786?order=text_2&page=85&sort=asc&text=&text_1=&text_3=&text_4="
src_nmns_freshwater_algae_exsiccatae_2007,2007,primary,"国立科学博物館 植物研究部 微細藻類研究室; 辻彰洋",日本産淡水藻類標本集 (Algae Aquae Dulcis Japonicae Exsiccatae),"National Museum of Nature and Science, Department of Botany, Microalgal Herbarium, 『日本産淡水藻類標本集 (Algae Aquae Dulcis Japonicae Exsiccatae)』, ed. Akihiro Tuji, issued from 2007 onward.",exsiccata / slide series,Japanese,"Japan; diatoms; permanent slides; exsiccata; catalogue; exchange; herbaria; slide publication","A literal slide-and-catalogue publication system. Each fascicle contains twenty permanent freshwater-algae slides, principally diatoms, issued together with a catalogue; the museum states that sets are sent without charge for exchange to about thirty herbaria worldwide. The public series currently exposes eight fascicles, nos. 1–160. The row records the serial system, not a claim that every receiving herbarium retains a complete set.",verified,"National Museum of Nature and Science: https://www.kahaku.go.jp/research/db/botany/exsiccatae/index_jp.html"
lit_handa_yokoyama_2015,2015,research,半田久美子,現生植物葉脈標本（横山 章コレクション）図録,"半田久美子, 『現生植物葉脈標本（横山 章コレクション）図録』, 人と自然 26 (2015): 85–97.",collection catalogue / article,Japanese,"Japan; Hyogo; Yokoyama Akira; cleared leaves; prepared slides; 309 slides; labels; museum catalogue","A catalogue centred on 309 cleared-and-stained leaf preparations mounted as slides. The collection was made as comparative material for identifying Kobe Group fossil plants; each preparation was catalogued and the article publishes the list and plates. This is an object-level collection study, not a general botanical paper.",verified,"J-STAGE: https://www.jstage.jst.go.jp/article/hitotoshizen/26/0/26_85/_article/-char/ja/; DOI: https://doi.org/10.24713/hitotoshizen.26.0_85; Museum index: https://www.hitohaku.jp/publication/r-bulletin/r-bulletin20.html"
lit_hku_fever_malaria_2015,2015,research,"Ria Sinha; University of Hong Kong Centre for the Humanities and Medicine; Hong Kong Museum of Medical Sciences",Fever: The History of Malaria in Hong Kong,"Ria Sinha / HKU Centre for the Humanities and Medicine and Hong Kong Museum of Medical Sciences, Fever: The History of Malaria in Hong Kong, exhibition, 25 April–26 July 2015.",exhibition / object study,English,"Hong Kong; malaria; laboratory slides; staining; exhibition; medical history; surviving objects","An exhibition whose research began from a surviving laboratory sink marked by purple stains from malaria-slide preparation and which explicitly used old laboratory slides among its historical artefacts. Included because laboratory slides participate in the exhibition's object-based reconstruction of malaria practice in Hong Kong, not simply as generic illustrations.",verified,"HKU Bulletin: https://www4.hku.hk/pubunit/Bulletin/2015_May_Vol.16_No.2/knowledge_exchange/page2.html; HKU event notice: https://www.hku.hk/press/press-invitations/detail/12717.html"
lit_ohnishi_ozaki_2017,2017,research,"大西亘; 田中徳久; 勝山輝男",尾崎公彦葉脈標本コレクション目録,"大西亘・田中徳久・勝山輝男, 『尾崎公彦葉脈標本コレクション目録』, 神奈川県立博物館研究報告 自然科学 46 (2017): 51–55.",collection catalogue / article,Japanese,"Japan; Kanagawa; Kimihiko Ozaki; cleared leaves; prepared slides; 936 specimens; database; provenance","A catalogue of 936 extant cleared-leaf specimens enclosed in prepared slides. The authors verified identifications, added digital images and taxonomic metadata, and reconstructed a research collection that had remained in museum storage for roughly thirty years after Ozaki's death.",verified,"J-STAGE: https://www.jstage.jst.go.jp/article/bkpmnh/2017/46/2017_51/_article/-char/ja; DOI: https://doi.org/10.32225/bkpmnh.2017.46_51; NDL Search: https://ndlsearch.ndl.go.jp/books/R000000004-I028079782"
src_nmns_microalgae_herbarium_2025,2025,primary,国立科学博物館 植物研究部 微細藻類標本庫,微細藻類標本庫,"国立科学博物館 植物研究部, 『微細藻類標本庫』, 2025 collection state.",institutional collection record,Japanese,"Japan; Tsukuba; microalgae; diatoms; permanent slides; 21457 slides; herbarium; collection management","An institutional collection record in which slide preparations are a separately counted preservation class: the 2025 register lists 21,457 preparations alongside dry, liquid and electron-microscopy material. The museum's methods page further distinguishes temporary, semi-permanent and permanent preparations and states that permanent diatom slides are retained as specimens. The count is kept in its own preparation namespace and is not merged with other specimen forms.",verified,"National Museum of Nature and Science herbarium: https://www.kahaku.go.jp/research/db/botany/microalgae/herbarium/index.html; specimen-form explanation: https://www.kahaku.go.jp/research/db/botany/microalgae/herbarium/works_hyouhon.html"
