shipment_event_id,physical_slide_position,uk_source_record,uk_source_document,uk_source_printed_page,uk_label,catalogue_match_status,catalogue_no_or_range,catalogue_printed_page,catalogue_entry_anchor,price_gold_francs_if_secure,match_basis,same_physical_object_as_st_andrews,note
NAP-UK-1880-06-09-RMS-12,1,R24207,D057,736,Amphioxus lanceolatus Yarr.,BOUNDED_TWO,231|232,248,Amphioxus lanceolatus Yarr. Vorderer Körpertheil.,,species exact; preparation unresolved,NOT_ASSERTED,Catalogue offers anterior body (231) or whole animal (232); RMS label gives taxon only.
NAP-UK-1880-06-09-RMS-12,2,R24207,D057,736,Ascetta bianca H.,BOUNDED_TWO,5|6,242,Ascetta bianca H. Ungefärbt.,,species exact; staining unresolved,NOT_ASSERTED,Catalogue offers unstained (5) or stained (6); RMS label gives taxon only.
NAP-UK-1880-06-09-RMS-12,3,R24207,D057,736,Asteracanthion glacialis O. F. Müller — Larva,BOUNDED_RANGE,43-49,243,- - Larva. Mesoderm-Bildung von der vorderen Einstülpung des Darmes,,species/synonym exact; larval stage unresolved,NOT_ASSERTED,Catalogue uses Asterias glacialis (Asteracanthion glacialis); RMS gives generic 'Larva' without developmental qualifier.
NAP-UK-1880-06-09-RMS-12,4,R24207,D057,736,Asterias glacialis O. F. M. — Gastrula,EXACT,42,243,- Gastrula,2.0,exact taxon/stage,NOT_ASSERTED,Catalogue no. 42 is the Asterias glacialis gastrula.
NAP-UK-1880-06-09-RMS-12,5,R24207,D057,736,Asterias glacialis — Formation of the Mesoderm,EXACT,43,243,- - Larva. Mesoderm-Bildung von der vorderen Einstülpung des Darmes,2.0,exact taxon/stage,NOT_ASSERTED,Catalogue no. 43 explicitly states mesoderm formation.
NAP-UK-1880-06-09-RMS-12,6,R24207,D057,736,Echinocardium cordatum Gray — Larva,EXACT_STRONG,72,244,Echinocardium cordatum Gray. Larva 3 Tage,2.0,exact taxon/object family; catalogue adds 3 days,NOT_ASSERTED,"Catalogue no. 72 is Echinocardium cordatum larva, 3 days; RMS omits age."
NAP-UK-1880-06-09-RMS-12,7,R24207,D057,736,Pyrosoma elegans Les. — Young Colony,EXACT,186,247,Pyrosoma elegans Les. Junge Colonie.,,exact taxon/stage,NOT_ASSERTED,"Catalogue no. 186 is Pyrosoma elegans, young colony."
NAP-UK-1880-06-09-RMS-12,8,R24207,D057,736,Pseudodidemnum Listerianum — Ova with embryo,EXACT,182,247,Pseudodidemnum Listerianum M. Ed. Eier mit Embryo.,,exact taxon/stage,NOT_ASSERTED,"Catalogue no. 182 is Pseudodidemnum Listerianum, eggs with embryo."
NAP-UK-1880-06-09-RMS-12,9,R24207,D057,736,"Toxopneustes brevispinosus — Larva, 3rd day",EXACT,67,244,- - Larva 3 Tage,2.0,exact synonym/stage,NOT_ASSERTED,"Catalogue no. 67: Sphaerechinus granularis (Toxopneustes brevispinosus), larva 3 days."
NAP-UK-1880-06-09-RMS-12,10,R24207,D057,736,"Toxopneustes brevispinosus — Larva, 5th day",EXACT,68,244,- - - 5 -,2.0,exact synonym/stage,NOT_ASSERTED,"Catalogue no. 68: same series, larva 5 days."
NAP-UK-1880-06-09-RMS-12,11,R24207,D057,736,"Toxopneustes brevispinosus — Larva, 15th day",EXACT,71,244,- - - 15 -,2.0,exact synonym/stage,NOT_ASSERTED,"Catalogue no. 71: same series, larva 15 days."
NAP-UK-1880-06-09-RMS-12,12,R24207,D057,736,Stichopus regalis Cuv. — Ovary,EXACT_STRONG,86,244,^ - Ovarium,,exact taxon/organ via ditto continuation,NOT_ASSERTED,Catalogue no. 86 continues the Stichopus regalis block and gives Ovarium.
