event_id,event_date,event_year,uk_venue,city,actor_or_exhibitor,relationship,text_source,source_master,record_id,document_id,printed_page,source_scan_page,object_description,quantity,quantity_namespace,catalogue_match_level,catalogue_no_or_range,catalogue_group,match_basis,same_physical_object_claim,frozen_surviving_node,evidence_class,notes
NAP-UK-1880-06-09-RMS-12,1880-06-09,1880,Royal Microscopical Society,London,Zoological Station at Naples; A. W. Waters; Mr Crisp,sent by Station through A. W. Waters; received by RMS; exhibited under microscopes,Journal of the Royal Microscopical Society,01B_UK_Microscopy_Core_Professional_1869-1886,R24204; R24207,D057,733; 736,191; 194,Zoological Station of Naples — 12 slides; detailed 12-slide exhibit list retained in R24207,12 slides,physical_slide_count,ITEM_LEVEL_PARTIAL_9_EXACT_3_BOUNDED,"exact 42,43,67,68,71,72,86,182,186; bounded 5|6, 43-49, 231|232",Porifera; Echinodermata; Tunicata; Pisces,R24204 records the Station donation through A. W. Waters and exhibition under microscopes; R24207 names all 12 physical slides. Reverse comparison with the Naples 1–423 catalogue yields 9 exact/strong item matches and 3 bounded matches.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical proceedings,First item-level Naples catalogue→British circulation closure. Same physical identity with surviving St Andrews slides remains NOT_ASSERTED; see NAPLES_1880_RMS_12_SLIDES_ITEM_CROSSWALK_V1.csv.
NAP-UK-1881-05-11-RMS-CRISP,1881-05-11,1881,Royal Microscopical Society,London,Mr Crisp,exhibited a selection of slides from the Naples Zoological Station,Journal of the Royal Microscopical Society,01B_UK_Microscopy_Core_Professional_1869-1886,,D059,,meeting text around scan 636,selection of slides from the Naples Zoological Station,selection; number unstated,unstated_physical_slide_count,UNRESOLVED,unresolved,unresolved,Naples provenance is explicit; no taxa or catalogue numbers are supplied.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical proceedings,Bounded adjacency check has not recovered a detailed exhibit list; do not invent catalogue identity.
NAP-UK-1882-02-10-BOLTON-ZOOPHYTES,1882-02-10,1882,Bolton Microscopical Society,Bolton,A. S. Pennington,exhibited preparations from the Zoological Station at Naples; explicitly juxtaposed with preparations made by Pennington and Mr Russell,The Northern Microscopist,02C_UK_Microscopy_Extensions_1876-1883_and_Special_OCR,,,,,very beautiful preparations of zoophytes from Naples,unstated,unstated_preparation_count,FAMILY_BROAD,ca. 14–37 (broad Hydromedusae/zoophyte family range only),Coelenterata / Hydromedusae,"British text says 'zoophytes'; catalogue contains a dense Hydromedusae/Coelenterata block, but item identity is not closed.",NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical local-society report,Do not attribute these slides individually to Fritz Meyer.
NAP-UK-1882-04-26-RMS-BAKER,1882-04-26,1882,Royal Microscopical Society Conversazione,London,C. Baker,"exhibited preparations from the Zoological Station, Naples",Journal of the Royal Microscopical Society,01B_UK_Microscopy_Core_Professional_1869-1886,R26854,D081,444,526,"preparations from the Zoological Station, Naples",unstated,unstated_preparation_count,UNRESOLVED,unresolved,unresolved,Naples provenance explicit; no taxa or catalogue numbers supplied.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical exhibition list,Do not attach the adjacent Curties Triton/Synapta exhibits to Naples without an explicit relation; bounded adjacency check has not recovered a detailed Naples item list.
NAP-UK-1882-QMC-CHICK,1882-08-11 / 1882-08-25,1882,Quekett Microscopical Club,London,Fritz Meyer; Dinner Committee,prepared by Prof. Fritz Meyer; presented by Dinner Committee; exhibited/used at Quekett,Journal of the Quekett Microscopical Club,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,R34941; R34942,D028,194–195,216–217,early stages / serial sections of chick embryo,series; number unstated,unstated_physical_slide_or_section_series,FAMILY_STRONG,308–368,Vertebrata / Aves / Gallus domesticus,"Catalogue nos 308–368 form the Gallus domesticus embryological block; British source explicitly names chick embryos prepared by Meyer at Naples, but gives no catalogue number.",NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical proceedings,Strong family-level catalogue ↔ British-use bridge; exact catalogue item remains unresolved.
NAP-UK-1883-02-ZSL-BELL-SELECTION,1883-02 (reported 24 Feb),1883,Zoological Society,London,Prof. F. Jeffrey Bell,received from Zoological Station at Naples; exhibited a selection of microscopical preparations; made remarks,Field 24 February 1883,03_UK_Microscopy_BNA_MASTER,BNA-d007ce86343fcb9e,,0021,,selection of microscopical preparations received from the Zoological Station at Naples,selection; number unstated,unstated_preparation_count,UNRESOLVED,unresolved,unresolved,Newspaper preview explicitly establishes Naples provenance and a Zoological Society exhibition but gives no taxa or catalogue numbers.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,BNA contemporary newspaper report,"Separate event from the 14 March RMS nineteen-slide exhibition. Clustered article id BNA-A-913cff7417c6ded0. The two Bell events may overlap physically, but identity is NOT_ASSERTED."
NAP-UK-1883-03-14-RMS-BELL-19,1883-03-14,1883,Royal Microscopical Society,London,Prof. F. Jeffrey Bell,received from Zoological Station at Naples; called attention to nineteen slides; explained their points,Journal of the Royal Microscopical Society,01B_UK_Microscopy_Core_Professional_1869-1886,R27785; R27787,D039,318; 320,396; 398,nineteen slides received from the Zoological Station at Naples,19 slides,physical_slide_count,UNRESOLVED,unresolved,unresolved,Physical slide count and Naples provenance are explicit; bounded inspection of adjacent proceedings has not recovered the taxa or catalogue numbers of the nineteen slides.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical proceedings,"Corrected from the earlier February conflation: the Field 24 February Zoological Society notice is a separate event, not corroboration of this RMS meeting."
NAP-UK-1883-BIRMINGHAM-ECHINODERM,1883,1883,Birmingham Natural History and Microscopical Society,Birmingham,Colonel Basevi (demonstration organiser),Naples-prepared embryology slides displayed in a microscopic demonstration,Proceedings / The Midland Naturalist,UK microscopy local-society corpus,R41621,D095,271,297,"series illustrating embryology of Asteriadae and Echinidae, prepared at Naples from Mediterranean specimens",series; number unstated,unstated_physical_slide_series,FAMILY_STRONG,41–73,Echinodermata / Asteroidea + Echinoidea developmental series,Catalogue nos 41–52 cover Asteroidea developmental preparations and nos 53–73 continue Echinoidea developmental offerings; Birmingham source names both families and embryology.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical local-society report,Prepared at the Station; do not silently convert this into prepared by Fritz Meyer.
NAP-UK-1884-11-11-BIRMINGHAM-BOLTON-PRESERVED,1884-11-11,1884,Birmingham Natural History and Microscopical Society Biological Section,Birmingham,T. Bolton,exhibited preserved specimens from the zoological stations at Naples,Reports of Societies / Birmingham Natural History and Microscopical Society,UK microscopy local-society corpus,R41999,D027,349,375,preserved specimens from the zoological stations at Naples,unstated,unstated_preserved_specimen_count,UNRESOLVED,unresolved,unresolved,Source distinguishes the Naples preserved specimens from the following mounted specimens credited to Watson Ward C. Vance Smith Joshua and Vize; Naples material must not be silently recoded as slides.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical local-society report,Important specimen-circulation evidence. Preserve the source phrase preserved specimens; object type/preparation route remains unresolved.
NAP-UK-1884-11-28-QMC-CERIANTHUS,1884-11-28,1884,Quekett Microscopical Club,London,Arthur Pennington,"specimen obtained from Naples Zoological Station; stained, embedded, sectioned and mounted locally by Pennington; paper read at Quekett",Journal of the Quekett Microscopical Club,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,R35313,D075,109,125,one slide showing ten longitudinal sections of the oral disc and tentacles of Cerianthus solitarius,1 slide; 10 sections,physical_slide_count=1; section_count=10,OFF_CATALOGUE_REWORKING,none in parsed 1–423 catalogue,off-catalogue Naples biological material,Cerianthus solitarius is absent from the parsed 423 offering list; the source explicitly says Pennington obtained the specimen from Naples and made the slide himself.,NOT_ASSERTED,UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,direct historical paper,"Key evidence that Naples→Britain circulation included biological specimens subsequently remade into slides, not only finished commercial preparations."
