object_entry_id,object_node,actor,bridge_scope,source_master,source_section,record_id,document_id,publication,year,printed_page,scan_page,evidence_class,relationship_supported,evidence_summary,bridge_status,next_action,confidence
US-FARLOW-EULENSTEIN-DIATOMACEARUM-1867,"Eulenstein, Diatomacearum Species Typicae",Theodor Eulenstein,same published-series programme,01A_UK_Microscopy_Core_Early_Central_1844-1877,QJMS 1853-1868,R07404; R07405,D089,"Quarterly Journal of Microscopical Science, New Series 7",1867,64-65,72-73,direct historical text,"published by; distributed/orderable through R. & J. Beck; mounted/prepared as slide series","Notice describes two Eulenstein diatom series, five parts of 100 species, preparation dry or in balsam on 3×1-inch slides, labels, and ordering through R. & J. Beck.",VERIFIED_DIRECT,No corpus expansion needed for basic publication/distribution event; retain as anchor.,high
US-FARLOW-EULENSTEIN-DIATOMACEARUM-1867,"Eulenstein, Diatomacearum Species Typicae",Theodor Eulenstein,same published-series programme,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,Hardwicke's Science-Gossip,R46453,D132,Hardwicke's Science-Gossip,1867,188,196,direct historical text,"published/prepared series; solicited specimen contributions","Contemporary microscopy notice says Eulenstein was preparing a five-section synopsis, each section accompanied by 100 mounted diatom slides, and invited English diatomists to send pure gatherings.",VERIFIED_DIRECT,Use for British contributor/distribution network; search named correspondent T. P. Barkas if needed.,high
US-FARLOW-EULENSTEIN-DIATOMACEARUM-1867,"Eulenstein, Diatomacearum Species Typicae",Theodor Eulenstein,"related later actor/circulation event, not automatically same surviving set",01B_UK_Microscopy_Core_Professional_1869-1886,QJMS / society proceedings,R08345; R08346,D069,"Quarterly Journal of Microscopical Science, New Series 9",1869,325-326,335-336,direct historical text,"purchased material; prepared to issue series on application","Eulenstein reports purchasing the late Dr Arnott's tubes of diatom material and being prepared to issue series from it on application.",VERIFIED_RELATED,Keep separate from the 1867 Farlow set unless a prospectus/catalogue proves identity.,high
UK-STANDREWS-CHARLES-COLLINS-SLIDES,Charles Collins zoological microscope slides,Charles Collins Jr.,same fish-skin / fish-scale commercial series,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,Hardwicke's Science-Gossip,R37825,D029,Hardwicke's Science-Gossip 20,1884,87,107,direct historical text,prepared/issued for sale,"Notice identifies Charles Collins as the microscope maker's nephew and says he was issuing a special set of well-mounted slides illustrating fish skins and scales.",VERIFIED_DIRECT_IDENTITY_CHECKED,Keep Collins Jr. distinct from his uncle Charles Collins Sr.,high
UK-STANDREWS-CHARLES-COLLINS-SLIDES,Charles Collins zoological microscope slides,"Charles Collins Jr.; Charles Collins Sr. retail shop",same commercial slide programme,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,Postal Microscopical Society / Journal of Microscopy and Natural Science,R49261,D141,"Journal of Microscopy and Natural Science, vol. IV",1885,advertising matter,354,direct historical advertisement,"mounted by Collins Jr.; stocked/retail-supplied through Great Portland Street; sold as priced sets","Advertisement lists three 'Special' Micro Slide series at 10s 6d per set: fish scales, polarising fish scales/skins, and insect heads; Collins Jr.'s mounted slides were stocked at the senior Collins shop.",VERIFIED_DIRECT,High-value trade evidence already inside corpus.,high
UK-STANDREWS-CHARLES-COLLINS-SLIDES,Charles Collins zoological microscope slides,Charles Collins,bibliographic pointer to missing primary item,01B_UK_Microscopy_Core_Professional_1869-1886,Journal of the RMS 1878-1886,R29639,D098,"Journal of the Royal Microscopical Society, Second Series 4",1884,482,566,bibliographic pointer,published/advertised series,"RMS bibliography points to 'Collins' Series of 48 Fish Scales' in Microscopical News IV (1884), p. 109.",PRIMARY_SOURCE_TARGET,"Add Microscopical News and Northern Microscopist vol. IV (1884), p.109 to corpus if not already present.",high
UK-STANDREWS-CHARLES-COLLINS-SLIDES,Charles Collins zoological microscope slides,Charles Collins Jr.,exact missing 1884 notice located in secondary transcription; primary scan still absent,external locator,"Microscopist.net, Charles Collins Jr. source transcription",,,"Microscopical News and Northern Microscopist, vol. IV",1884,109,,secondary transcription locating primary,"issued series of 48 fish-scale/skin objects; maker identity Charles Collins Jr.","A source-specific secondary transcription reproduces the April 1884 notice headed 'Fish Scales' and cites Microscopical News and Northern Microscopist IV (1884), p.109. The notice says Charles Collins Jr. had just issued a series comprising 48 distinct species and distinguishes him as nephew of the microscope maker.",SOURCE_LOCATED_TRANSCRIPTION_PRIMARY_SCAN_PENDING,Do not spend more discovery time on this target; ingest the primary scan only if vol. IV becomes conveniently available.,high for bibliographic location; medium for text until primary scan
UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,Stazione Zoologica Napoli zoological microscope slides,"Fritz Meyer; Stazione Zoologica Napoli",same institutional production/distribution programme,01B_UK_Microscopy_Core_Professional_1869-1886,Journal of the RMS 1878-1886,R24170,D057,"Journal of the Royal Microscopical Society, First Series 3",1880,700,156,direct historical text,"sent to Britain; prepared on large scale; forthcoming catalogue/list","Notice records Naples slides exhibited at the Society, sent through A. W. Waters, and says the Station had begun a Fritz Meyer-managed department for large-scale preparation of microscopical objects with a list forthcoming.",VERIFIED_DIRECT,Treat the forthcoming list as the immediate precursor to the 1881 price catalogue.,high
UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,Stazione Zoologica Napoli zoological microscope slides,Fritz Meyer,direct British use of products from same production programme,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,Quekett Microscopical Club 1868-1886,R34941,D028,"Journal of the Quekett Microscopical Club, Series 2 vol. 1",1882,194,216,direct historical proceedings,prepared by; exhibited/used in club setting,"Quekett conversational meeting exhibited early chick-embryo specimens explicitly described as prepared by Prof. Fritz Meyer.",VERIFIED_DIRECT,Good use-side bridge; still seek the 1881 price catalogue itself.,high
US-FARLOW-HL-SMITH-DIATOMACEARUM-1876,"H. L. Smith, Diatomacearum Species Typicae",Hamilton Lanphere Smith,"related earlier British circulation event, not the later published set",01A_UK_Microscopy_Core_Early_Central_1844-1877,RMS-QJMS shared text 1853-1868,R02569,D016,"Transactions of the Microscopical Society of London, New Series 16",1868,57,65,direct historical society report,presented to society,"Cabinet report records that on 13 March 1867 Professor H. L. Smith presented 146 diatom slides to the Society.",VERIFIED_RELATED,Do not identify the 146 slides as the 1876-1888 published set.,high
US-FARLOW-HL-SMITH-DIATOMACEARUM-1876,"H. L. Smith, Diatomacearum Species Typicae",Hamilton Lanphere Smith,same actor / preparation practice,01C_UK_Microscopy_Core_Clubs_Popular_Local_1865-1886,Quekett Microscopical Club 1868-1886,R33672,D043,"Journal of the Quekett Microscopical Club, vol. 4",1876,177,183,direct historical paper,preparation/mounting method communicated to British club,"Smith's paper gives his own mounting method for Diatomaceae and Foraminifera, providing preparation-practice context contemporary with the start of the published series.",VERIFIED_RELATED,Use for technique; do not treat as a sales/distribution notice for the set.,high
