edge_id,date_or_range,source_node,target_node,relation,object_or_practice,evidence_level,claim_boundary,primary_next_target,source_url
MSK001,1852-1853,Society for Promoting Working Men's Associations,Nevil Story-Maskelyne,invited_lecturer,"Lecture titled Photography in Hall of Association adult-education series",B_DIRECT_PREHISTORY,"Immediate institutional prehistory of London WMC; not yet WMC proper and lecture content beyond title remains unread","Locate original handbill/report and any lecture notes; identify audience and demonstrations",https://catalogimages.wiley.com/images/db/pdf/9781405188746.excerpt.pdf
MSK002,1852-1854,Society for Promoting Working Men's Associations lecture/class programme,Working Men's College London,institutional_prehistory,"Adult lectures and evening classes precede formal founding of WMC on 31 Oct 1854",B_DIRECT_PREHISTORY,"Do not reduce WMC foundation to this one series; it is one documented institutional precursor","WMC founding minutes/correspondence; Maurice/Hughes/Ludlow records",https://catalogimages.wiley.com/images/db/pdf/9781405188746.excerpt.pdf
MSK003,1854-11-29,Nevil Story-Maskelyne,William Henry Fox Talbot,technical_correspondence,"Photography described as manipulative and chemical art requiring familiarity with instruments/materials",A_PRIMARY_CONTEXT,"Context for Maskelyne's practical optical/material pedagogy; not evidence for contents of 1852-53 working-men lecture","Search Maskelyne lecture notes/photography demonstrations and apparatus",https://foxtalbot.dmu.ac.uk/letters/ftbh.php?docnum=07072
MSK004,1858 onward,Working Men's College London,Thomas Davies (British Museum),evening_education,"French and German / general education",A_BIOGRAPHICAL,"WMC contribution is general/language education; no microscopy class attendance yet established","LMA/4535 student lists and language-class registers 1858-65",https://rruff.info/doclib/MinMag/Volume_10/10-46-161.pdf
MSK005,1858-1860s,Nevil Story-Maskelyne,Thomas Davies (British Museum),workplace_apprenticeship,"Microscopic recognition of rock-forming minerals in meteorite/rock thin sections",A_BIOGRAPHICAL,"Technical training attributed to Maskelyne/British Museum, not WMC","NHM DF/MIN/20/2 diaries; DF/MIN/10/1/5-8 meteorite records",https://rruff.info/doclib/MinMag/Volume_10/10-46-161.pdf
MSK006,1860-1862,Thomas Davies (British Museum),British Museum meteorite collection,cataloguing_object_labour,"Meteorite lists overlap with early thin-section microscopy programme",A_ARCHIVAL,"List-making is direct; microscope use on each listed meteorite must be demonstrated individually","NHM DF/MIN/10/1/5-8; crosswalk dates with diaries and section records",https://www.nhm.ac.uk/CalmView/Record.aspx?id=DF%2FMIN%2F10%2F1%2F6&src=CalmView.Catalog
MSK007,1861,British Museum Mineralogy Department,custom microscope,commissioned_for_work,"Graduated/revolving stage, eyepiece goniometer and polarized-light examination of meteorite thin sections",A_PRIMARY_RETROSPECTIVE,"Departmental instrument function is secure in museum history; identify maker/object survival before asserting specific individual instrument provenance","Museum instrument/accession records; Maskelyne papers; Davies diaries",https://upload.wikimedia.org/wikipedia/commons/e/ef/An_introduction_to_the_study_of_meteorites_-_with_a_list_of_the_meteorites_represented_in_the_collection_%28IA_introtostudymete00britiala%29.pdf
MSK008,1866,Nevil Story-Maskelyne,Working Men's College London,council_member,"Printed on WMC Council for thirteenth year commencing 22 Oct 1866",A_PRIMARY_INSTITUTIONAL,"Council membership does not establish a regular class or mineralogy teaching in that term","LMA/4535 Council Minutes 1864-68; attendance; lecture invitations",https://upload.wikimedia.org/wikipedia/commons/7/75/The_Working_Men%27s_College%2C_founded_1854%2C_45_Great_Ormond_Street%2C_Bloomsbury%2C_W.C._Principal%2C_Rev._F.D._Maurice%2C_M.A._.._%28IA_workingmenscolle188work%29.pdf
MSK009,post-1854-unspecified,Nevil Story-Maskelyne,Working Men's College London,frequent_lecturer,"Royal Society obituary retrospectively states that Maskelyne frequently lectured at the WMC",B_RETROSPECTIVE,"Dates and subjects not yet reconstructed; do not infer mineralogy/microscopy from professional identity","Full obituary page; WMC annual reports/lecture lists; Maskelyne calendars and lecture notes",https://www.jstor.org/stable/93288
MSK010,1866,Working Men's College London,physical_sciences_curriculum,offers_courses,"Regular term includes Botany Natural Philosophy Zoology; examination structure also recognizes Physiology Geology/Physical Geography Mechanics Hydrostatics Optics Chemistry",A_PRIMARY_CURRICULUM,"Curricular capacity does not assign these subjects to Maskelyne; regular teachers printed separately","Compare annual programmes 1854-80 and Council/lecture records",https://upload.wikimedia.org/wikipedia/commons/7/75/The_Working_Men%27s_College%2C_founded_1854%2C_45_Great_Ormond_Street%2C_Bloomsbury%2C_W.C._Principal%2C_Rev._F.D._Maurice%2C_M.A._.._%28IA_workingmenscolle188work%29.pdf
MSK011,1866,John Ruskin,British Museum / Working Men's College,institutional_differentiation,"Ruskin explicitly argues British Museum is not a working-men's college while discussing Maskelyne and educational museum functions",B_PRIMARY_PUBLISHED,"Normative institutional distinction; not evidence of a specific transfer event","Read full 1866 letter in context; crosswalk Ruskin WMC/St George Museum project",https://www.gutenberg.org/files/15200/15200-h/15200-h.htm
MSK012,1870s,Nevil Story-Maskelyne,British Museum class visits,proposed_demonstration_model,"Devonshire Commission evidence supports lecturer bringing class to galleries to illustrate lectures elsewhere with valuable/large specimens",B_PRIMARY_TESTIMONY,"General pedagogical model; no specific WMC class visit yet identified","Commission evidence exact session; BM visitor/demo records; WMC excursion records",https://education-uk.org/documents/devonshire/devonshire.html
MSK013,OPEN,Working Men's College class,British Museum Mineralogy,possible_visit_or_object_transfer,"Potential movement of students/specimens/thin sections across institutions",GAP,"No specific WMC class visit, borrowed thin section, slide or specimen transfer currently closed","LMA/4535 excursions/minutes + NHM visitor/department diaries",OPEN
MSK014,OPEN,Nevil Story-Maskelyne,Thomas Davies WMC enrolment,possible_sponsorship_or_referral,"Potential mentor encouragement into WMC education",GAP,"No source currently shows Maskelyne recruited/sponsored Davies or that Davies attended Maskelyne's WMC lectures","Davies diaries/correspondence; Maskelyne papers; WMC admission/register notes",OPEN
