actor_id,actor,dates,occupational_or_social_origin,wmc_relation,wmc_role,material_or_technical_skill,microscopy_or_slide_relation,destination_or_secondary_institution,city_route,evidence_grade,claim_boundary,source_url
MCA001,Mordecai Cubitt Cooke,1825-1914,"bookkeeper / cooperative-working milieu; later botanist and mycologist","London Working Men's College","teacher, Physiological Botany, 1861","botanical collecting; specimen comparison; teaching; popular scientific organization","microscope explicitly integrated into Physiological Botany teaching; later microscopical club formation","Society of Amateur Botanists; Quekett Microscopical Club","London -> London",B_DIRECT,"WMC microscope pedagogy is secure; no named WMC class slide has yet been closed",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
MCA002,Alfred Grugeon,1826-1913,woodturner,"London Working Men's College","botany student; certified instructor; later botany teacher and Council member","woodturning; botanical collecting; field teaching; specimen handling","successor botany teaching in the WMC scientific curriculum; no named mounted slide yet closed","Working Men's College; later field/natural-history networks","London -> London",B_DIRECT,"Do not convert botany teaching into slide teaching without object evidence",https://darwin-editorial.darwinproject.ac.uk/view/nameregs/nameregs_2009
MCA003,Thomas Davies,1837-1892,"brief elementary schooling; seaman; British Museum third-class attendant from 1858","London Working Men's College","evening student","mineral documentation; arrangement; labelling; practical petrology; language acquisition","trained by N. S. Maskelyne in microscopic characters of rock-forming minerals and became highly skilled in determination from rock sections","British Museum Department of Mineralogy","London WMC <-> British Museum",A_ACTOR,"Obituary attributes thin-section microscopy to workplace apprenticeship under Maskelyne and French/German to WMC; do not claim WMC taught Davies microscopy",https://rruff.info/doclib/MinMag/Volume_10/10-46-161.pdf
MCA004,Nevil Story-Maskelyne,1823-1911,"Oxford mathematician/mineralogist; Keeper of Mineralogy, British Museum","London Working Men's College","Council member in official 1866 programme","mineral curation; crystallography; meteorite microscopy; thin-section research; scientific cataloguing","directly trained/initiated Davies in microscopic rock-section recognition; published microscope investigation of transparent meteorite sections","British Museum Department of Mineralogy; Oxford","Oxford/London -> London WMC governance + British Museum",A_INSTITUTIONAL,"Council membership is hard evidence; no WMC teaching assignment for Maskelyne has yet been found",https://upload.wikimedia.org/wikipedia/commons/7/75/The_Working_Men%27s_College%2C_founded_1854%2C_45_Great_Ormond_Street%2C_Bloomsbury%2C_W.C._Principal%2C_Rev._F.D._Maurice%2C_M.A._.._%28IA_workingmenscolle188work%29.pdf
MCA005,Harry Govier Seeley,1839-1909,"early legal/actuarial training; supported himself copying in British Museum Library","London Working Men's College","student of English and mathematics; secretary to College museum","cataloguing; fossil handling; museum organization; field geology","no slide relation yet closed; strong object/museum competence","Woodwardian Museum, Cambridge; Adam Sedgwick","London WMC -> Cambridge",A_TRANSFER,"WMC museum service and later Cambridge fossil cataloguing are secure; causal transfer of a specific technique remains to be demonstrated",https://collection.sciencemuseumgroup.org.uk/people/ap28054/seeley-harry-govier
MCA006,Henry Swan,1825-1889,"journeyman engraver / skilled illuminator","London Working Men's College","former pupil of John Ruskin","engraving; illumination; visual-object handling; curatorship","no microscope-slide relation closed; material-pedagogy comparison node","St George's Museum, Walkley, Sheffield","London WMC -> Sheffield",A_TRANSFER,"WMC pupil -> Sheffield curator is secure; do not infer microscopy",https://www.cambridge.org/core/books/abs/life-of-john-ruskin/ruskin-museum/571CE682D34BA0956D5DF2AA7C7BEDB9
MCA007,George Allen,1832-1907,carpenter/joiner,"London Working Men's College","drawing student; assistant drawing master","joinery; drawing; engraving; publishing; visual reproduction","no microscopy relation; comparison case for transformation of manual skill into scientific/artistic visual labour","John Ruskin's studio/publishing network","London WMC -> visual-production network",A_TRANSFER,"Useful control for manual-to-representational skill; not a microscopy actor",https://georgeallen.co.uk/
MCA008,John Ruskin,1819-1900,"Oxford-educated art critic and teacher","London Working Men's College","drawing teacher and 1866 Council member","drawing pedagogy; object handling; museum design; material education","no direct WMC microscopy role; promoted learning through objects and later workers' museum infrastructure","St George's Museum, Sheffield","London WMC -> Sheffield",B_CONTEXT,"His material pedagogy is relevant as institutional comparison, not evidence of slide teaching",https://www.cambridge.org/core/books/abs/life-of-john-ruskin/ruskin-museum/571CE682D34BA0956D5DF2AA7C7BEDB9
MCA009,George Robert Vine,1825-1893,"stay/corset maker; self-taught naturalist","no WMC enrolment currently established","external Sheffield working-class comparison node","domestic preparation; micropalaeontological mounting; sale; exchange; fossil processing","made/sold/exchanged mounted microscopic preparations and offered mounting services","Sheffield Microscopical Society; national microscopical networks","Sheffield local",A_OBJECT,"Do not retrofit People's College membership; importance lies in paid preparative labour and society participation",https://www.bryozoa.net/annals/annals1/annals_of_bryozoology_1_1_2002_buttler_wysejackson_sharpe.pdf
MCA010,G T W Newsholme,19c-20c,"Sheffield pharmaceutical/scientific trade","no WMC enrolment currently established","external Sheffield commercial/educational comparison node","pharmaceutical preparation; microscopy; commercial supply; teaching images","sold prepared botanical/pharmaceutical slides; promoted duplicate mounting for Sheffield Microscopical Society collection","Sheffield Microscopical Society; pharmacy","Sheffield local",A_OBJECT,"Commercial and society slide economy is secure; individual preparer identity for every marketed slide may vary",https://www.microscopist.net/NewsholmeGTW.html
