actor_id,actor,dates,origin_or_social_position,wmc_or_adult_education_relation,material_science_relation,mobility_route,object_practice,evidence_status,critical_boundary,next_primary_target
MAT001,Thomas Davies (British Museum),1837-1892,"brief elementary education; seafaring youth; museum attendant from 1858","attended Great Ormond Street WMC evening classes; learned French and German","Maskelyne trained him in microscopic mineral recognition using meteorite/rock thin sections","London WMC + British Museum workplace -> mineralogical assistant expertise","meteorite lists; thin-section microscopy; mineral identification; cataloguing; collection exchange",CLOSED_PERSON_CHAIN,"WMC did not supply thin-section training; do not identify with 1863 mounting-manual author","LMA/4535 student lists 1858-65; NHM DF/MIN/20/2 diaries; DF/MIN/10/1/5-8"
MAT002,Thomas Davies (Warrington),c1831-1876,"Warrington microscopist; provincial amateur/scientific society actor","no WMC relation currently established","active Manchester Lit & Phil Microscopical Section; authored 1863 mounting manual","Warrington -> Manchester microscopical society -> national mounting literature","glass-slide crystallization; mounting; polariscopy; photography",CLOSED_IDENTITY_SEPARATION,"not British Museum Thomas Davies; no WMC edge yet","Manchester Lit & Phil Microscopical Section proceedings; 1863/1873 editions"
MAT003,Harry Govier Seeley,1839-1909,"young London worker/student supporting himself by copying","studied English and mathematics at London WMC; secretary to WMC museum","British Museum library exposure; Woodwardian Museum assistant from 1859","London WMC museum -> Cambridge Woodwardian Museum","museum cataloguing; fossil collection handling; lectures; field geology",CLOSED_CROSS_CITY,"shows museum/object competence mobility; no microscopy relation required","LMA/4535 student/museum records; Cambridge Woodwardian/Sedgwick records"
MAT004,Henry Swan,1825-1889,"working adult; Ruskin pupil","Ruskin's former pupil at London WMC","first curator of St George's Museum Sheffield; collection intended as educational visual/material resource for workers","London WMC art/material pedagogy -> Walkley Sheffield workers' museum","curatorship; books; minerals; geology/natural-history objects; visual examples",CLOSED_CROSS_CITY,"museum not microscopical society; do not infer slide holdings","Guild of St George / Ruskin archive; Swan correspondence; museum inventories 1875-89"
MAT005,Mordecai Cubitt Cooke,1825-1914,"teacher/bookkeeper; adult-science educator","WMC Physiological Botany teacher 1861; microscope explicit; invited as museum curator 1875","Society of Amateur Botanists; Quekett founder; museum/mycology career","WMC -> former pupils -> amateur botanical society -> Quekett","microscope pedagogy; specimen interchange; society building; slide-economy downstream",CLOSED_NETWORK_OPEN_OBJECT,"named WMC pupil -> named Quekett slide remains open","LMA/4535 class lists; NHM Society of Amateur Botanists MS; Quekett 1865-75 accession/donation records"
MAT006,Alfred Grugeon,1826-1913,"Cooke pupil / London botanical educator","identified as Cooke WMC pupil; Botany teacher at WMC by 1866","botanical recording and teaching; contributed London-locality data","WMC pupil -> WMC teacher / botanical network","botany teaching; specimen/locality knowledge",DIRECT_OPEN_SLIDE,"no specific Quekett slide/donation found in public-web pass","WMC student registers; QMC membership/accessions; Grugeon papers/obituary"
MAT007,George Robert Vine,1825-1893,"poor background; limited formal schooling; stay/corset maker; autodidact","no People's College enrolment established; Sunday-school teacher/superintendent later important educational node","co-founder/first president Sheffield Microscopical Society; fossil dealer/preparer","trade household + self-education -> Sheffield microscopy -> national commercial slide circulation","strews; cavity slides; mounting service; sale/exchange; thin sections; identification",CLOSED_PRODUCTION_ECOLOGY,"do not retrofit People's College genealogy","Vine catalogues/ads; surviving slides; Sheffield society records; customer correspondence"
MAT008,John Derby,fl1840s,"People's College student and secretary","student/secretary People's College Sheffield 1842-45","notebook set includes 'Humanity' identified by catalogue as human biology","working student -> formal adult science curriculum","notebooks; examinations; language/history/human biology study",DIRECT_EDUCATION_OPEN_OBJECT,"no microscope/slide evidence yet","Sheffield SCA 10/4/1/9; 10/4/1/7; 10/4/2; People's College Journal"
MAT009,Josiah Chater,1829-? ,"Cambridge draper/apprentice/businessman","Cambridge WMC student from 1855; German with Lightfoot and Latin with Mayor","documented earlier popular-science curiosity including microscope at London Polytechnic in 1848","working tradesman -> Cambridge WMC -> civic/business network","diary; classes; rifle corps; earlier microscope spectacle",DIRECT_STUDENT_OPEN_OBJECT,"1848 microscope visit predates WMC and does not prove WMC material pedagogy","Museum of Cambridge Chater diaries 1855-63; digitisation project"
MAT010,Joseph Bickersteth Mayor,1828-1916,"Cambridge university teacher","Cambridge WMC teacher/founder network; 1855-56 letter says College offered 18 subjects","potential course/programme reconstruction source","University teacher -> WMC curriculum","curriculum reporting; classical teaching",DIRECT_OPERATIONAL,"18 subjects are not publicly enumerated; do not infer science content","Trinity MAYR/B/8/377 and related Mayor WMC correspondence"
MAT011,Joseph Barber Lightfoot,1828-1889,"Cambridge university teacher","Cambridge WMC teacher; taught Chater German; students wrote to him Dec 1855","student-side institutional correspondence survives","University teacher <-> working-men students","language teaching; student correspondence",DIRECT_OPERATIONAL,"letter content not yet read; no apparatus relation","Durham CJBL/B/1855, 3.176; Cambridge WMC records"
MAT012,James Clerk Maxwell,1831-1879,"Cambridge physicist","participated in Cambridge WMC teaching; dated 1856 evidence includes decimal fractions","major scientific expertise present near WMC","University science expertise -> adult teaching","mathematics teaching",DIRECT_NEGATIVE_CONTROL,"do not project Maxwell optics/electromagnetism into WMC without course evidence","Maxwell correspondence; WMC timetable/prospectus; accounts"
MAT013,G T W Newsholme,1852-1916,"Sheffield pharmacist/businessman","no People's College/WMC relation established","Sheffield Microscopical Society organizer/president; sold prepared pharmacy slides; microscopy analyses","commercial pharmacy -> society -> teaching/collection infrastructure","prepared slides; microscopes; analysis; photomicrographic slides; society museum advocacy",CLOSED_OBJECT_ECOLOGY,"retailer label does not prove he personally mounted every slide","Chemist & Druggist 1891-92 notices; Sheffield Microscopical Society 1899 transactions; surviving labelled slides"
MAT014,Charles Hoole,19c,"Sheffield photographer/scientific visual worker","no WMC link established","photomicrography and Sheffield microscopical demonstrations; 1896 Victoria regia lecture","local visual labour -> Sheffield microscopical society","microscopical sections; photomicrographs; public demonstration",DIRECT_LOCAL,"distinguish specimen slides from projected photographic slides","Sheffield Microscopical Society reports; Sorby correspondence; photographic records"
