event_id,date_or_period,locality,institution_or_network,actor,object_or_material,relation,working_men_connection,strict_slide_status,evidence_strength,interpretive_limit,source_url
WMSL001,by 1873,London,Quekett Microscopical Club,Quekett members,"general microscope-slide collection; over 2000 preparations","donated/assembled; available for borrowing; unwanted slides exchanged among members","Quekett traced through Cooke/Society of Amateur Botanists to Working Men's College pedagogical network",YES,A,"Does not prove every preparation came from WMC pupils or working-class members; contributor-level provenance still needed",https://academic.oup.com/jhc/article/37/3/507/8653474
WMSL002,1882-1883,London,Cole family subscription network / Studies in Microscopical Science,Arthur C Cole and family,"52 microscope slides accompanying first bound volume / weekly parts","prepared and distributed by subscription with explanatory/mounting text","Material network overlaps practical adult microscopy and Quekett/Postal Microscopical Society worlds",YES,A,"Commercial/subscription circulation is contextual until subscribers are cross-walked to adult-education institutions",https://www.microscopist.net/Cole_AC_MJ.html
WMSL003,1884,London,Birkbeck Institution / Cole family,Martin J Cole and Arthur C Cole,"microscope slides in Arthur Cole's series","Arthur states slides were made by himself and Martin; Martin identified as Instructor in Practical Microscopy at Birkbeck","Birkbeck descended from London Mechanics' Institute and offered evening/adult higher education",YES,A,"Statement ties slide production to the instructor but not automatically to a specific Birkbeck class or institutional collection",https://www.microscopist.net/Cole_AC_MJ.html
WMSL004,1884 onward,London,Birkbeck Institution,Martin J Cole,"teaching microscope slides / practical preparations","taught microscopical techniques and supplied slides to students","Direct practical-microscopy teaching in mechanics-institute lineage",YES,A,"Need class registers and surviving slides to identify Birkbeck student recipients and preparation subjects",https://www.microscopist.net/Cole_AC_MJ.html
WMSL005,1867,Newcastle upon Tyne,Newcastle-upon-Tyne Mechanics' Institution Conversazione and Microscopical Soiree,Thomas Craggs / Alexander B Stirling,"variety of injected preparations","Craggs exhibited preparations made by Stirling of Edinburgh","Direct display of prepared microscopic objects at Mechanics' Institution event",YES,A,"Source describes preparations; confirm whether all were standard glass-mounted slides and locate exhibit list/current survival",https://microscopist.net/Craggs.html
WMSL006,late 19c records / surviving archive,Bradford,Bradford Scientific Association / Bradford Mechanics' Institute network,BSA members,"glass slides mainly geological and botanical","held today with BSA records at West Yorkshire Archives","BSA met for decades in Science Room at Bradford Mechanics' Institute and was closely related to Bradford Natural History & Microscopical Society",YES,B,"Current summary does not prove slides were owned by Mechanics' Institute; lantern and microscope-slide collections must be separated",https://bradfordunconsideredtrifles.wordpress.com/2015/02/22/who-was-james-monckman/
WMSL007,1857,Birmingham,J Parkes & Son commercial network,J Parkes & Son / professional preparers,"prepared microscope slides and affordable sets","commercially retailed/distributed","Birmingham adult-science institutions and microscopical societies formed a nearby potential customer network",YES,A_CONTEXT,"No institute purchase or member transaction closed yet; this is supply-side evidence",https://microscopist.net/ParkesJ.html
WMSL008,c1890-1899,Birmingham,Southall Brothers & Barclay commercial network,Southall Brothers & Barclay / unidentified preparers,"prepared botanical; bacteriological; zoological and histological microscope slides","commercial retail","Potential supply route into local pharmacy/science classes and amateur societies",YES,A_CONTEXT,"No direct WMI/Mechanics' Institution customer proven; maker attribution remains uncertain",https://www.microscopist.net/SouthallBros.html
WMSL009,1831-1836,Edinburgh,William Nicol / J D Forbes geological thin-section network,William Nicol / associated preparers,"fossil wood and mineral sections on glass slides","ground thin; glued to glass; used for microscopical investigation","Upstream Scottish preparation technology relevant to later mechanics/adult science circulation",YES,A_CONTEXT,"Not a working-men institution event; retained as technological/material antecedent only",https://www.trove.scot/image/2932657
WMSL010,1880,Belfast,Working Men's Institute Laboratory,Robert Barklie FCS,"microscopical samples for examination","laboratory received microscopical samples","Direct microscopical laboratory use inside Working Men's Institute",NO,B,"'Microscopical sample' does not establish mounting on a glass slide; preparation format must be recovered",https://www.lennonwylie.co.uk/BSD1880adverts.htm
