edge_id,city,date_or_range,source_node,target_node,relation,object_or_practice,evidence_level,claim_boundary,source_url
LON001,London,1861,Working Men's College,Mordecai Cubitt Cooke,employed_to_teach,"Physiological Botany; microscope explicitly part of teaching programme",B_DIRECT,"Direct microscope pedagogy; no WMC-owned slide or named mounted preparation yet closed",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
LON002,London,1861-1862,Mordecai Cubitt Cooke,Working Men's College pupils,teacher_pupil_network,"Botany/microscopy teaching and continued contact with pupils including Alfred Grugeon",B_DIRECT,"Social/pedagogical continuity strong; do not infer specific slide transfer without accession evidence",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
LON003,London,1862,Cooke + former WMC pupils,Society of Amateur Botanists,formed,"Excursions; specimen interchange; papers; library; herbarium; museum",B_DIRECT,"Specimen-exchange infrastructure; mounted-slide exchange not yet isolated",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
LON004,London,1865,Society of Amateur Botanists,Quekett Microscopical Club,organizational_blueprint,"Low-fee amateur mutual-instruction model adapted to microscopy",B_DIRECT,"Institutional genealogy; individual WMC alumnus to named QMC slide still open",https://www.quekett.org/about/who/history
LON005,London,mid-1860s-1873,Quekett Microscopical Club,QMC members,loan_exchange,"General slide collection; member borrowing; slide exchange",A_OBJECT,"By 1873 collection exceeded 2000 preparations; source does not identify WMC provenance for those 2000",https://academic.oup.com/jhc/article/37/3/507/8653474
LON006,London,1866,Alfred Grugeon,Working Men's College,teaches,"Botany listed under Physical Sciences in WMC thirteenth-year programme",B_DIRECT,"Confirms botany teaching continuity; does not itself mention microscope or slides",https://upload.wikimedia.org/wikipedia/commons/7/75/The_Working_Men%27s_College%2C_founded_1854%2C_45_Great_Ormond_Street%2C_Bloomsbury%2C_W.C._Principal%2C_Rev._F.D._Maurice%2C_M.A._.._%28IA_workingmenscolle188work%29.pdf
LON007,London,1865 onward,Quekett Microscopical Club,Natural History Museum later custody,archive_collection,"Minute books; membership records; slide catalogues and large surviving slide collection",A_OBJECT,"Later custody enables accession reconstruction but does not establish nineteenth-century ownership for every current slide",https://www.quekett.org/about/venues/dorothea-bate-room
LON008,London,1892/1893 onward,Lubbock Field Club,Working Men's College natural-history participants,club_microscopy,"Field excursions and natural-science discussion explicitly include microscopic observations and exhibition of specimens",B_ARCHIVE_SECONDARY,"Exact founding year is source-conflicted: Marks 1904 OCR/Ayres point to 1892 while Sutcliffe's archive-based account gives 1893; do not collapse specimen exhibition into named microscope-slide use",https://www.tandfonline.com/doi/abs/10.1080/0046760X.2013.844278
LON009,London,1873 onward,Working Men's College Natural History Society and Field Club,WMC students and teachers,field_museum_specimen_cycle,"Museum study + open-air rambles; practical geology and plant structure; weekly meetings; 3-4 walks monthly; Grugeon on committee and frequent paper contributor; Grugeon-linked grass collection exhibited; fungi collection attempted",A_NEAR_PRIMARY_RETROSPECTIVE,"Directly controlled in Marks 1904 pp.223-224 via Internet Archive full-text OCR; do not infer microscopy or that every exhibited specimen came from a specific walk",https://archive.org/stream/workingmenscolle00davirich/workingmenscolle00davirich_djvu.txt
LON010,London,1897,Lubbock Field Club,Working Men's College excursion-meeting cycle,recurring_meeting_cycle,"Science-Gossip lists second-Sunday excursions and following-Monday 8pm meetings; named Nov.14 Theobald's Park/Cheshunt/Wormley and Dec.12 Totteridge/Shenley/Ridge excursions",A_NEAR_PRIMARY_EVENT,"Closes actual excursion/meeting rhythm but not Monday meeting content; do not infer microscopy occurred on either named date",https://upload.wikimedia.org/wikipedia/commons/8/87/Science-gossip_%28IA_sciencegossip04lond%29.pdf
