node_id,region,locality,institution_or_network,institution_type,date_anchor,microscopy_relation,slide_preparation_relation,evidence_tier,disposition,primary_next_target,source_url
UKWMC001,Yorkshire,Sheffield,People's College Sheffield,people's college,1842-1878,"Science and natural history teaching for young working men and women","No slide or microscopy relation closed",C,HIGH_PRIORITY,"College records; crosswalk teachers/students with local microscopical societies and Sorby network",https://archives.shef.ac.uk/agents/corporate_entities/212
UKWMC002,London,London,Working Men's College Great Ormond Street,working men's college,1854 onward,"M C Cooke taught Physiological Botany in 1861 and explicitly planned microscope use","No WMC-owned slide yet closed; successor Cooke pupil network enters Quekett slide economy",B,HIGH_PRIORITY,"Working Men's College Magazine 1861; class lists; museum; Cooke pupils; named preparations",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
UKWMC003,East of England,Cambridge,Cambridge Working Men's College,working men's college,1855-c1860s+,"Formal College established 1855; 100+ men; University teacher network; G D Liveing/Maxwell reported as teacher leads","No microscope; slide; preparation or apparatus relation yet closed",C,HIGH_PRIORITY,"Council minutes; prospectuses; timetables; accounts; Liveing; Maxwell; Sidgwick; local newspapers",https://www.gutenberg.org/cache/epub/8374/pg8374.html
UKWMC004,Yorkshire,Halifax,Haley Hill Working Men's College,working men's college,1856 onward,"College fostered a scientific society around 1860","No microscopy/slide event yet isolated",C,HIGH_PRIORITY,"Scientific society; Circulator; college inventories; Akroyd papers; natural-history links",https://www.calderdalecompanion.co.uk/s70_h.html
UKWMC005,North West England,Ancoats,Ancoats Working Man's College,working men's college,1857-c1860s,"Distinct college in Manchester working-men college family","No microscopy/slide trace surfaced",C,OPEN,"Annual reports; Manchester press; subject lists; relation to Manchester/Salford colleges",https://www.scribd.com/document/340936104/488106
UKWMC006,North West England,Manchester,Manchester Working Man's College,working men's college,1858-1861,"Supported by Owens College; chemistry and physiology entered curriculum; incorporated into Owens evening classes","No slide relation surfaced",C,HIGH_PRIORITY,"Annual reports; chemistry/physiology apparatus; pupils; Owens evening-class records",https://en.wikisource.org/wiki/Dictionary_of_National_Biography%2C_1901_supplement/Greenwood%2C_Joseph_Gouge
UKWMC007,North West England,Salford,Salford Working Men's College,working men's college,1858-1890s,"Major working-men college later merged with Pendleton Mechanics Institute lineage into Royal Technical Institute","No microscopy/slide trace surfaced",C,HIGH_PRIORITY,"College reports; science subjects; apparatus; merger inventories; Peel Park Museum interface",https://www.salford.ac.uk/corporate-information/heritage
UKWMC008,Scotland,Ayr,Ayr Working Men's College,working men's college,1860-short lived,"Arithmetic grammar logic classical and modern languages taught by unpaid teachers","No science/microscopy trace surfaced",C,REGIONAL_CONTROL,"Local press; prospectus; any science additions before closure",https://www.futuremuseum.co.uk/collections/life-work/social-history/home-life/education/p4
UKWMC009,East Midlands,Leicester,Working Men's Institute / Working Men's College,working men's institute/college,1862; renamed 1868,"Large volunteer adult-education institution; up to c2300 students","No microscopy/slide trace surfaced",C,OPEN,"Annual reports; advanced/night science classes; apparatus; museum/natural history",https://en.wikisource.org/wiki/Dictionary_of_National_Biography%2C_1912_supplement/Vaughan%2C_David_James
UKWMC010,West Midlands,Wolverhampton,Wolverhampton Working Men's College,working men's college,mid-19c,"Named in 1908 national adult-education report; evening education included mathematics/engineering in individual testimony","No microscopy/slide trace surfaced",C,OPEN,"Local archive/newspapers; class lists; engineering/science apparatus",https://www.education-uk.org/documents/oxford1908/oxford1908.html
