wmc_evidence_category,wmc_anchor,article_id,bna_id,publication_date,publication_title,publication_place,page_number,free_to_view,article_type,title,snippet,preview_url
museum_specimen_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0002247/18690417/102,BL/0002247/18690417/102__e184269b6cba8cd39c95abc9d29a3f97,1869-04-17,Bee-Hive,"London, London, England",4,True,ADVERTISEMENT,"- WORKING MEN'S COLLEGE, 45, Great Ormond-street, W.C. Proposed NEW CLASS ROOMS, MUSEUM, &c. Donations in hand and promised (about)","- WORKING MEN'S COLLEGE, 45, Great Ormond-street, W.C. Proposed NEW CLASS ROOMS, MUSEUM, &c. Donations in hand and promised (about) Required to complete class-rooms and museum £9oo Donations will be received by the Principal, the R.v. F. D. Maurice '",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002247%2F18690417&page=0004&article=102&stringtohighlight=working+men%27s+college
botany_physiology_teaching,Great Ormond Street / London WMC (manual priority selection),BL/0001000/18691112/007,BL/0001000/18691112/007__dedccbd0d60b176899933040abee0110,1869-11-12,London Daily Chronicle,"London, London, England",1,False,ARTICLE,BOTANY.,"BOTANY. Working Men’s College. Great Ormond Street. NEW CLASS, Tuesday Evenings. Teacher, Mr. J. QRUOEON, in counection with Science and Art MR. J. B. ACADEMY ADULTS 170, PENTONVILLE ROAD. 1837. WRITING rapidly improved, Grammar, Arithmetic, and Bookkeeping",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001000%2F18691112&page=0001&article=007&stringtohighlight=working+men%27s+college
museum_specimen_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0004596/18700106/014,BL/0004596/18700106/014__f0db381b889323cdeaff8bcb315c82a1,1870-01-06,Echo (London),"London, London, England",3,False,ARTICLE,POLITICAL AND GENERAL NEWS,"carried unanimously. WORKING MEN’s COLLEGE, GREAT ORMONDSTREET.=—The winter conwersazione will be held on Friday, when the new class rooms will be on view, On Saturday Mr. W, H, Flower, F.R.S., Conservator of the Museum of the Royal College of Surgeon:, will",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0004596%2F18700106&page=0003&article=014&stringtohighlight=working+men%27s+college
botany_physiology_teaching,Great Ormond Street / London WMC (manual priority selection),BL/0001652/18701029/025,BL/0001652/18701029/025__2656259bf2d6dacf9fe1e423a65f091f,1870-10-29,Globe,"London, London, England",4,False,ARTICLE,";• Receive, &c., (Signed)","Sunday, Mb. ;BR9wlck Pbrtubs, M.K.0.3., P.L.S., Demonstrator Anatomy at King’s College, will deliver an introductory lecture to course physiology, at the Working Men’s College, 46, Great Ormond-itreet, this evening at 8.30. It has been reso’ved that the",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001652%2F18701029&page=0004&article=025&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0002292/18711020/035,BL/0002292/18711020/035__7d66d4310140e70ff5e45aa4be8cf72b,1871-10-20,Bicester Herald,"Bicester, Oxfordshire, England",4,False,ARTICLE,"LONDON CORRESPONDENCE. micirosoopical, and geological dabs, working men's dabs, and the unprofessional naturalists of the metropolis generally. An sequaintanos with","London Field Club, and classes for practical demonstrations with the minosoope are also occasionally formed at the Working Men's College, Great Ormond-street. The Journal of the Quekett Miciroscoopioal Club ocestains amounts of the pond.micaosos, a knowledge",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002292%2F18711020&page=0004&article=035&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0001527/18711020/017,BL/0001527/18711020/017__df54f200cfc443b4e37dd0ff0e3d0a9d,1871-10-20,Diss Express,"Diss, Norfolk, England",2,False,ARTICLE,LONDON CORRESPONDENCE.,"London Field dab, and claaaee for practical demonstrations with the mioroeoope are also occasionally formed at the Working Men’s College, Great Ormond-stoeet. The Journal of the Qaekett Microscopical Club contains accounts of the pond-miorotoa, a knowledge",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001527%2F18711020&page=0002&article=017&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0002204/18711021/024,BL/0002204/18711021/024__41fc0bf4633139245ddf08d8b83af451,1871-10-21,Buckingham Express,"Buckingham, Buckinghamshire, England",2,False,ARTICLE,LONDON CORRESPONDENCE.,"West London Field Club, and Glasses far practical demonstrations with the slimmers are also masioually formed at the Working Men's College, Great Ormond-street- The Joareal of the Qeskett Mieroscoploal Club atmtains aeoonate of the poadmeheros"" a knowledge",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002204%2F18711021&page=0002&article=024&stringtohighlight=working+men%27s+college
context,Great Ormond Street / London WMC (manual priority selection),BL/0005886/18711021/004,BL/0005886/18711021/004__7e20d640eb14a07fd539857a6302fe44,1871-10-21,Ripley Advertiser,"Ripley, Derbyshire, England",2,False,ARTICLE,LONDON CORRESPONDENCE.,"the Hackney Naturalists’ Field Club, the West London Field Club, and classes for practioal .—-‘—bﬂ -&hm-»-hm - the Working Men's College, Grest Ormond-street. The Joursal of the Quekett Miorossopical Ciub cos&--—sdh.“m.“d which is required from the competitors",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0005886%2F18711021&page=0002&article=004&stringtohighlight=working+men%27s+college
context,Great Ormond Street / London WMC (manual priority selection),BL/0002217/18711021/018,BL/0002217/18711021/018__0122a84ec685cd4fb5b7e14d24793ebf,1871-10-21,Tewkesbury Register,"Tewkesbury, Gloucestershire, England",2,False,ARTICLE,LONDON CORRESPONDENCE.,"London Field Club, and classes for practical demolstrations with the minresoope are also occasionally formed at the Working Men's College, Great Ormond-street- The Journal of the Quekett Miorocoopioal Club contains accounts of the pond-micro:ea, a knowledge",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002217%2F18711021&page=0002&article=018&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0001546/18711024/055,BL/0001546/18711024/055__449178e40c482a30da341cadeb9c14a0,1871-10-24,Brechin Advertiser,"Brechin, Angus, Scotland",3,False,ARTICLE,LONDON CORRESPONDENCE. T»IE merchant prinuea of hare nobly ■■stained their charaotet for liberality by l.*r nnyt’.y aid of the Buffering,"West London Field Club, and classes for practical demonstrations with microscope are also occasionally formed the Working Men's College, Great Ormond-street. The Journal of the Microscopical Clnb contains aoconnts of the pond-miorozoo, knowledge of which",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001546%2F18711024&page=0003&article=055&stringtohighlight=working+men%27s+college
botany_physiology_teaching,Great Ormond Street / London WMC (manual priority selection),BL/0001652/18720423/026,BL/0001652/18720423/026__1706f5a3ddaa8a230a63695c636777c8,1872-04-23,Globe,"London, London, England",4,False,ARTICLE,FRENCH,"the Belgian Government requires to be fulfilled previous to her extradition: MR. JAMES COLLINS will deliver at the Working Men's College,4s, Great Ormond-street, W.C., eveuing, the fist of a course of twenty lectures on Economic Botany."" PRINCE ARTHUR",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001652%2F18720423&page=0004&article=026&stringtohighlight=working+men%27s+college
museum_specimen_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0004596/18730103/046,BL/0004596/18730103/046__f41967f0b8900c54d3c68f6e753ab564,1873-01-03,Echo (London),"London, London, England",6,False,ARTICLE,POLITICAL AND GENERAL NEWS.,"the Working Men's College was held last evening at their house in Great Ormond-street, when the members, with their wives and daughters, sat down to tea. The new rooms, i the rear of the old house, were tastily de‘corated with specimens of art work, executed",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0004596%2F18730103&page=0006&article=046&stringtohighlight=working+men%27s+college
microscopy_display,Great Ormond Street / London WMC (manual priority selection),BL/0001652/18730103/015,BL/0001652/18730103/015__be30d70d2485c671da9dc595e9bde105,1873-01-03,Globe,"London, London, England",3,False,ARTICLE,WORKING MEN'S COLLEGE.,"WORKING MEN'S COLLEGE. A convereazione took place last night in the new buildings of this college in Great Ormond-street. The programme included some excellent glee singing by the college choir, numbering about fifty voices, an exhibition of microscopical",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001652%2F18730103&page=0003&article=015&stringtohighlight=working+men%27s+college
