science_match_terms,article_id,publication_date,publication_title,page_number,free_to_view,article_type
specimen,BL/0000418/18621018/020,1862-10-18,Cambridge Independent Press,5,False,ARTICLE
museum,BL/0002247/18690417/102,1869-04-17,Bee-Hive,4,True,ADVERTISEMENT
museum,BL/0001000/18690825/043,1869-08-25,London Daily Chronicle,4,False,ARTICLE
botan,BL/0001000/18691110/003,1869-11-10,London Daily Chronicle,1,False,ARTICLE
botan,BL/0001000/18691112/007,1869-11-12,London Daily Chronicle,1,False,ARTICLE
physiolog,BL/0001442/18691113/009,1869-11-13,Leigh Chronicle and Weekly District Advertiser,1,False,ARTICLE
museum,BL/0004596/18700106/014,1870-01-06,Echo (London),3,False,ARTICLE
physiolog,BL/0001652/18701029/025,1870-10-29,Globe,4,False,ARTICLE
botan,BL/0000060/18701213/008,1870-12-13,Glasgow Herald,3,True,ARTICLE
geolog,BL/0002249/18710107/098,1871-01-07,Bee-Hive,8,True,ADVERTISEMENT
physiolog,BL/0001652/18711014/028,1871-10-14,Globe,5,False,ARTICLE
field club;geolog,BL/0002292/18711020/035,1871-10-20,Bicester Herald,4,False,ARTICLE
microscop,BL/0001527/18711020/017,1871-10-20,Diss Express,2,False,ARTICLE
field club,BL/0002204/18711021/024,1871-10-21,Buckingham Express,2,False,ARTICLE
field club,BL/0002217/18711021/018,1871-10-21,Tewkesbury Register,2,False,ARTICLE
microscop;field club,BL/0001546/18711024/055,1871-10-24,Brechin Advertiser,3,False,ARTICLE
botan,BL/0001652/18720423/026,1872-04-23,Globe,4,False,ARTICLE
specimen,BL/0004596/18730103/046,1873-01-03,Echo (London),6,False,ARTICLE
microscop,BL/0001652/18730103/015,1873-01-03,Globe,3,False,ARTICLE
botan,BL/0000054/18730412/003,1873-04-12,The Examiner,10,True,ARTICLE
botan;physiolog,BL/0005087/18730501/031,1873-05-01,Bookseller,13,False,ARTICLE
geolog,BL/0002814/18731027/004,1873-10-27,Hour,2,True,ARTICLE
specimen,BL/0002616/18740110/093,1874-01-10,Tamworth Miners' Examiner and Working Men's Journal,8,True,ARTICLE
field club;museum;specimen;geolog,BL/0006027/18740131/078,1874-01-31,Academy,24,False,ARTICLE
