entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
"DK-NHMD-DESMID-JACOBSEN-HOFF-510-1870S-1889","DK","Natural History Museum of Denmark / University of Copenhagen","University of Copenhagen Algal Herbarium","J. P. Jacobsen / Richard T. Hoff / Frederik Børgesen Danish desmid microscope-slide collections","official dedicated digital collection","https://desmid.ku.dk/english/","desmid.ku.dk searchable collection records","ku_desmid_portal","confirmed microscope slides","510 microscope slides in the two historical desmid collections today","digitised searchable collections; item total and collection split can be enumerated from portal","J. P. Jacobsen; Richard T. Hoff; Frederik Børgesen","collected by; used by; held by; digitised by","Jacobsen study in the 1870s; Nordstedt 1888 from Hoff collections; Børgesen 1889 from own and Hoff material","Desmidiaceae; Danish freshwater algae; Bornholm; Zealand; Iceland","permanent microscope slides retained in the Algal Herbarium as named historical collections","dedicated digitised collection site","searchable specimen and collection metadata","A","paginated HTML","University of Copenhagen gold-medal study; Nordstedt 1888; Børgesen 1889; Hoff collecting; later digitisation","","Keep the present combined 510-slide count separate from the number attributable to each collector. The source says both collections have been digitised; do not infer that every slide was prepared by the named collector merely from collection attribution."
"HU-HNHM-PANTOCSEK-DIATOM-SLIDES-1886-1917","HU","Hungarian Natural History Museum Department of Botany","Hungarian National Museum / historical botanical collection","József Pantocsek diatom slide collection","official collection page plus peer-reviewed current collection study","https://www.nhmus.hu/algagyujtemeny/","BP-HNHM-ALG-D-0001 through BP-HNHM-ALG-D-1049","hnhm_pantocsek_diatom","confirmed diatom microscope preparations","official museum page states 918 surviving Pantocsek preparations; 2025 collection study describes 1049 slides numbered 0001-1049; discrepancy unresolved","continuous BP-HNHM catalogue range can be checked slide by slide; official current subset count 918","József Pantocsek Collection","amassed by; purchased by; restored by; held by","Pantocsek diatom work includes 1886 1889 and 1892 publications; collection purchased after his death in 1917; major Second World War loss; restoration completed in the late twentieth century","diatoms; type material; Carpathian Basin and global fossil/recent material; microscopy and microphotography","microscope slides plus associated cleaned samples from 78 localities; surviving restored remnant of a much larger collection","official collection images plus published slide studies","continuous institutional catalogue numbers and historical preparation descriptions","A","static HTML","Pantocsek publications; 1917 museum purchase; Second World War destruction; József Krenner restoration and identification; later typification studies","","Preserve the 918-versus-1049 count conflict as two current source layers. The museum says the surviving material is barely one fifth of the original collection; the 2025 paper gives the 0001-1049 catalogue range. Do not silently reconcile these scopes or reconstruct an original total."
"CZ-CU-GERMAN-UNIV-ALGAL-PERMANENT-SLIDES-19C","CZ","Charles University Prague Department of Botany","German University in Prague / historical university algal collections","Historical permanent algal and diatom slide collection","official university collection and image database","https://botany.natur.cuni.cz/algo/database/sites/index.php","botany.natur.cuni.cz/algo/database/{record}","charles_prague_algae_db","confirmed permanent microscope slides","database reports 1710 images of permanent slides and 1129 specimens overall; physical nineteenth-century slide subtotal to isolate","digital image database plus lists by taxa and localities","German University algal collection; Pfeiffer von Wellheim; J. Lütkemüller; J. D. Möller; J. Bourgogne; F. Sigmund","prepared by; inherited from; held by; digitised by","collection heritage derives from the German University in the second half of the nineteenth century through 1945; strict subset is pre-1900 material","microalgae; especially diatoms; teaching and research","permanent slides retained with herbarium material and historical collection metadata","1710 digital images of permanent slides in current database","maker names locality and taxon metadata available in database","A","paginated HTML","German University teaching/research; nineteenth-century professional slide makers; 2009 digitisation; current permanent-slide lists","","The database's 1710 images are not a physical-slide count, and 1129 is a broader specimen count. Harvest dated maker/locality records to isolate the nineteenth-century physical-slide subset."
"US-OSU-HERBARIUM-DIATOM-CABINETS-6700-19C","US","Ohio State University Museum of Biological Diversity Herbarium","Ohio State University Herbarium","Diatom microscope-slide collection in ornate wooden cabinets","official university collection page","https://mbd.osu.edu/collections/herbarium/collections","","osu_diatom_collection_static","confirmed mounted diatom microscope slides","approximately 6700 mounted diatom slides today; historical nineteenth-century subset unstated","collection is organized by collector; item-level endpoint to locate","M. A. Booth; C. van Brunt; C. G. Bush; H. van Heurck; E. & F. Hodges; C. H. Kain; P. Klausen; J. D. Möller; C. L. Peticolas; H. L. Smith; W. Smith; B. W. Thomas; E. Thum; W. C. Walker","from the collection of; held by; organized by collector","named collector layer includes nineteenth-century makers and distributed sets active from the 1850s through the 1890s; current collection is mixed-period","diatoms; global material; commercial and specialist slide circulation","mounted slides stored in ornate wooden cabinets and arranged by collector","official collection photographs where available","collector-level organization; individual historical labels require catalogue access","A","static HTML","Booth commercial slides; Van Heurck; H. L. Smith; William Smith; J. D. Möller; transatlantic diatom exchange and exsiccatae networks","","Do not treat all 6700 current slides as nineteenth-century. The value of this node is the collector-organized cabinet structure and the concentration of named nineteenth-century maker and exchange networks."
"US-NMAH-BOOTH-LONGMEADOW-9-PRE1898","US","Smithsonian National Museum of American History","Mary Ann Booth commercial microscopy network","Nine Mary Ann Booth Longmeadow microscope slides","official object catalogue plus historical maker study","https://americanhistory.si.edu/collections/object/nmah_1837093","nmah_1837093; ZZ.RSN79634Z84","smithsonian_nmah_booth_iiif","confirmed glass microscope slides","9 slides","single NMAH batch record with IIIF manifest and images","Mary Ann Allard Booth","prepared by; labelled by; held by","Booth began microscopy 1877 and sold slides by 1884; Longmeadow address dates this label form to before 1898 in specialist historical research","diatoms and other commercial microscope preparations; professional slide making","nine labelled glass slides catalogued as one museum object/batch","official images and IIIF","each slide carries M.A. Booth / Longmeadow, Mass. label","A","IIIF","Booth sales catalogue; 1884-85 New Orleans exposition award; American and British microscopy networks; pre-1898 Longmeadow label chronology","","The Smithsonian record identifies the maker from the labels but does not itself date the slides. The pre-1898 dating comes from specialist historical comparison of Booth's addresses and sales activity; preserve that source distinction."
"US-SPRINGFIELD-BOOTH-BEQUEST-SLIDES-1877-1922","US","Springfield Science Museum / Springfield Museums","Springfield Museum of Natural History","Mary Ann Booth mounted microscope-slide and photomicrograph archive","peer-reviewed historical collection study based on Booth's final will and contemporary reporting","https://academic.oup.com/mt/article/32/2/41/7651171","","springfield_booth_archive_literature","confirmed mounted microscope slides in named bequest","collection of mounted microscope slides and photomicrographs; exact slide count unstated","archive-level inventory or museum catalogue enquiry required","Mary Ann Allard Booth","prepared by; bequeathed by; archived by","Booth began microscopy in 1877 and maintained a slide sales catalogue for decades; final bequest transferred the collection in 1922","diatoms; pollen; entomology; parasites; professional microscopy; photomicrography","mounted microscope slides archived alongside photomicrographs","scholarly article reproduces historical slides and trays; museum archive endpoint to locate","labels and sales-catalogue context described in scholarship","A","static HTML","1884-85 exposition; RMS fellowship 1889; lecture-and-sales network; 1916 photomicrograph donation; 1922 final bequest","","The 1922 transfer is a later custody event for a collection formed from 1877 onward. Keep photomicrographs and mounted microscope slides as separate media and do not infer a slide count from the bequest wording."
"US-ANSP-HL-SMITH-ORIGINAL-701-1870-1890","US","Academy of Natural Sciences of Drexel University","Academy of Natural Sciences of Philadelphia","H. L. Smith original diatom slide collection","specialized institutional diatom portal","https://diatom.symbiota.org/portal/index.php","ANSP Diatom Herbarium collection hierarchy","ansp_diatom_portal","confirmed diatom microscope slides","701 slides","701-slide named collection; portal can preserve labels and set hierarchy","Hamilton Lanphere Smith; F. J. Keeley","prepared/identified by; purchased by; from the collection of; held by","1870-1890","diatoms; original identification/reference collection; exsiccatae production","Smith's original working slide collection retained as a named component of the F. J. Keeley collection; accompanying certification letter survives","specialized collection portal","labels record the diatoms identified by Smith; certification letter establishes collection identity","A","paginated HTML","H. L. Smith exsiccatae; F. J. Keeley purchase; certification letter; distributed slide sets and later institutional custody","","This is Smith's original identification collection, not a count of the replicate exsiccatae sets he distributed. Preserve the original-working-collection relation separately from distributed copies elsewhere."
"US-ANSP-WILLIAM-SMITH-320-PRE1857","US","Academy of Natural Sciences of Drexel University","Academy of Natural Sciences of Philadelphia","William Smith British diatom exsiccata slide collection","specialized institutional diatom portal","https://diatom.symbiota.org/portal/index.php","ANSP Diatom Herbarium collection hierarchy","ansp_diatom_portal","confirmed diatom microscope slides","320 slides","320-slide named collection","William Smith","made up by; distributed by; held by","nineteenth-century collection made before Smith's death in 1857; principal British Diatomaceae work 1853-1856","British diatoms; locality-indexed exsiccata/reference material","one species name per slide with British collection locality; one of several exsiccatae Smith had made up","specialized collection portal","species and locality labels described at collection level","A","paginated HTML","Synopsis of the British Diatomaceae; exsiccata production; replicate-set circulation","","The ANSP portal explicitly says this is not the specific working collection used to create British Diatomaceae. Preserve it as one distributed/made-up exsiccata collection and avoid equating it with Smith's publication working slides."
"US-ANSP-CLEVE-MOLLER-324-1877-1882","US","Academy of Natural Sciences of Drexel University","Academy of Natural Sciences of Philadelphia","Cleve & Möller Diatoms Parts I-VI institutional copy","specialized institutional diatom portal","https://diatom.symbiota.org/portal/index.php","Cleve and Möller slide numbers 1-324","ansp_diatom_portal","confirmed diatom microscope slides","324 slides","complete numbered set 1-324","Per Theodor Cleve; Johann Diedrich Möller","issued by; distributed by; held by","1877-1882","diatoms; global specimen exchange; published exsiccatae","numbered microscope-slide set containing material from many contributors; each slide lists a main species and often associated forms","specialized collection portal","serial number species and contributor/locality metadata","A","paginated HTML","six published parts 1877-1882; international contributors; replicate copies at multiple herbaria","","Treat this as ANSP's institutional copy of a replicated published set. Serial number 1-324 is shared across copies, so never sum identical set numbers across institutions as distinct historical types without an explicit copy-level question."
"BE-MEISE-VAN-HEURCK-DIATOM-19000-19C","BE","Meise Botanic Garden","Henri Van Heurck private collection / Antwerp Museum Plantentuin","Henri Van Heurck historical diatom slide collection","official institutional heritage history plus current Meise research page and 2007 collection report","https://www.uantwerpen.be/en/projects/archives-heritage-library-university-antwerp/academic-heritage-university-antwerp/history/","AWH / BR historical slide references","meise_van_heurck_static","confirmed historical diatom microscope slides","2007 collection report states more than 19000 microscope slides; exact 2026 total not recovered","catalogue cards and published type-slide references; public item endpoint to locate","Henri Ferdinand Van Heurck Collection","assembled by; exchanged by; purchased by; transferred to; held by","major collection built in the second half of the nineteenth century; Le Microscope 1878; Synopsis des Diatomées de Belgique 1885; estate purchased by Antwerp 1910; botanical material later transferred to Meise","diatoms; type material; Belgium and global exchange; microscopy technique","large slide collection with catalogue cards and type material; botanical estate formerly split across Antwerp institutions; fragile slides consulted on site","current Meise research uses collection; published type-slide photographs and references","AWH/BR slide codes and catalogue-card references survive","A","static HTML","correspondence and exchanges with de Brébisson Grunow Kützing Janisch H. L. Smith Walker Arnott; 1910 municipal purchase; transfer to Meise; ongoing typification","","The greater-than-19000 figure is a 2007 collection statement and should remain dated. Preserve Van Heurck's private assembly, Antwerp municipal purchase and later Meise transfer as separate custody events."
