entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
UK-NHM-MICROSCOPE-SLIDE-DIGITISATION,UK,Natural History Museum London,,Microscope Slide Digitisation programme,collection digitisation page,https://www.nhm.ac.uk/our-science/services/collections/digital/programme/microscope-slide-digitisation.html,,nhm_microscope_digitisation,confirmed microscope slides,around 2500000,programme page only,NHM slide collections,held by; digitised by,current programme; historical collections,natural history; taxonomic collections; type status; specimen slides,vertical and horizontal slide storage; barcode workflow,workflow images,labels and barcodes central,A,static HTML,RMS/QJMS; BNA; named collectors; specimen datasets,,Global-scale benchmark for natural-history microscope-slide digitisation and metadata workflow.
UK-NHM-DIATOMS,UK,Natural History Museum London,,Diatom microscope slide collections,collection page,https://www.nhm.ac.uk/our-science/services/collections/botany/diatoms.html,,nhm_collection_static,confirmed microscope slides,150000,collection page only,NHM diatom collections,held by; assembled from,mixed dates,diatoms; botany; localities; expeditions,microscope slide collections,variable,variable,A,static HTML,RMS/QJMS; diatom literature; named collectors,,High-value collection-scale target because locality and expedition batches may bridge object side and publication side.
UK-KEW-MICROSCOPE-SLIDES,UK,Royal Botanic Gardens Kew,,Microscope Slide Collection,collection page,https://www.kew.org/science/collections-and-resources/collections/microscope-slide-collection,,kew_collection_static,confirmed microscope slides,around 150000,collection page only,Kew Microscope Slide Collection,held by; donated by,mixed dates; later incorporated accessions,plant anatomy; wood; fungi; palynology; forensic wood slides,large botanical slide collection,collection images,labels central,A,static HTML,Kew reports; botanical microscopy; wood anatomy; forensic collections,,Use as botanical and wood-anatomy global benchmark; keep modern forensic-service donation separate from nineteenth-century strata.
UK-KEW-DIGITISATION,UK,Royal Botanic Gardens Kew,,Digitising Kew microscope slide collection,digitisation article,https://www.kew.org/read-and-watch/digitising-microscope-slide,,kew_digitisation_static,confirmed microscope slides,over 130000,article page only,Kew Microscope Slide Collection,digitised by,current project; historical collection,plant traits; authentication; global plant taxa,fire-resistant cabinets; slide scanner; labels; barcodes,workflow images,labels central,A,static HTML,Kew reports; collection-management literature,,Workflow comparator for whole-slide image; label image; barcode; collector/sample origin fields.
UK-OUMNH-SCOPE-NSLIDE,UK,Oxford University Museum of Natural History,,Scope n Slide III microscope-slide collections,project page,https://oumnh.ox.ac.uk/scope-n-slide-iii-all-the-small-things,,oumnh_project_static,confirmed microscope slides,tens of thousands,project page only,OUMNH microscope slide collections,re-arranged by; inventoried by,current project; historical collections,entomology; zoology; genitalia dissections; histological slides; whole mounts,boxes and inventories,project images possible,labels likely,A,static HTML,Oxford natural-history records; named collectors,,Strong UK object-side target because project language promises inventories and box lists.
UK-SMG-OBJECTTYPE-MICROSCOPE-SLIDE,UK,Science Museum Group,,object_type microscope slide search,object catalogue,https://collection.sciencemuseumgroup.org.uk/search/objects/object_type/microscope-slide,collection.sciencemuseumgroup.org.uk/objects/{object_id},smg_object_type_search,confirmed microscope slides,,unknown before pagination check,,object_type classification,mixed dates,instrumental; teaching; medical; natural history,item records; maker/dealer clusters,representative/item images,variable,B,paginated HTML,BNA; RMS/QJMS; Science-Gossip; maker/dealer names,,Adapter should count/search result entries and preserve makers; object type; date range; and item URL patterns.
UK-WELLCOME-TIMOTHY-LEWIS,UK,Wellcome Collection,Wellcome Historical Medical Museum exhibition context,Timothy Lewis apparatus and microscope slides,archive description,https://wellcomecollection.org/works/uxbbv7k2,wellcomecollection.org/works/{work_id},wellcome_work_static,confirmed microscope slides,,1 described image/work page,Timothy Lewis,belonging to,1958 exhibition photograph; nineteenth-century attribution layer,medical microscopy; apparatus; slides,single archival image; exhibition/documentation object,online image,visible in image candidate,B,static HTML,Wellcome; medical press; colonial medical microscopy,,Do not convert belonging to into legal ownership without further evidence.
UK-WELLCOME-MICROSCOPE-SLIDES,UK,Wellcome Collection,,microscope slides collection search,object catalogue,https://wellcomecollection.org/search?query=%22microscope%20slides%22,wellcomecollection.org/works/{work_id},wellcome_search,likely microscope slides,,unknown before result extraction,,,mixed dates,pathology; medical microscopy; teaching,item/search records; collection clusters,variable,variable,C,paginated HTML,medical journals; BNA; institutional catalogues,,Broad search target; adapter must filter photographic and lantern-slide noise before promoting rows.
UK-RMS-QUEKETT-HISTORICAL-SLIDES,UK,Royal Microscopical Society / Quekett context,Royal Microscopical Society; Quekett Microscopical Club,historical microscope slide collections,archive/finding aid,,,rms_quekett_manual,likely microscope slides,,unknown,RMS/Quekett-related collectors,presented to; lent by; mounted by; prepared by,nineteenth century,club microscopy; exchange; cabinets,cabinet/batch candidate,unknown,unknown,B,manual only,Quekett Journal; Postal Microscopical Society; Science-Gossip,,Object-side endpoint not yet fixed; event-side is strong in local backend.
US-OAC-HARTSHORN-BOLLES,US,San Diego Natural History Museum,,Hartshorn-Bolles Microscope Slide Collection,finding aid,https://oac.cdlib.org/findaid/ark:/13030/c8ww7qrr,oac.cdlib.org/findaid/ark:/{ark},oac_finding_aid,confirmed microscope slides,about 2000,selected online items,Hartshorn-Bolles Collection,assembled by; received by; donated by,nineteenth century to 1963,teaching; natural history; prepared slides,wooden cabinet; drawers,selected online content,likely label images,A,static HTML,US newspapers; natural history societies; named collectors,,Strong first US object-side target; collection-scale evidence more important than single item richness.
US-SMITHSONIAN-MICROSCOPE-SLIDES,US,Smithsonian Institution,,microscope slides search,object catalogue,https://collections.si.edu/search/results.htm?q=%22microscope+slide%22,collections.si.edu/search/detail/{unit_code}_{id},smithsonian_search,likely microscope slides,,unknown before result extraction,,,mixed dates,medical; natural history; instrument collections,item/search records; collection clusters,variable,variable,C,paginated HTML,US newspapers; institutional reports; maker names,,Needs filtering for microscope slide versus photographic slide.
US-HARVARD-MCZ-MICROSCOPE-SLIDES,US,Harvard / Museum of Comparative Zoology,Harvard MCZ,microscope slide search,object catalogue,https://mczbase.mcz.harvard.edu,,mczbase_manual,likely microscope slides,,unknown,,,mixed dates,zoology; teaching; comparative anatomy,database records,variable,variable,B,manual only,MCZ annual reports; Ward/Harvard names; US press,,Need a stable MCZbase query before automation; keep separate from Blaschka glass models.
US-CORNELL-TEACHING-SLIDES,US,Cornell University,,microscope slide / teaching slide search,object catalogue,,,cornell_candidate_manual,likely microscope slides,,unknown,,,mixed dates,teaching; biology; natural history,database/finding aid candidate,variable,variable,C,manual only,Cornell reports; local press,,Candidate only; needs source URL.
