entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
UK-STANDREWS-MICROSCOPE-SLIDES,UK,University of St Andrews Libraries and Museums,Bell Pettigrew Museum,Microscope Slides BP:C79,collection record,https://collections.st-andrews.ac.uk/collection/microscope-slides/1004127,collections.st-andrews.ac.uk/collection/{slug}/{id},standrews_collection_record,confirmed glass microscope slides,vast range; exact count unstated,collection record only,BP:C79 Microscope Slides; William Carmichael McIntosh; D'Arcy Wentworth Thompson; Harold Garnet Callan; David Burt,produced by; acquired by; contributed by; used by,circa 1840 onward,zoology; annelid larvae; Porifera; Anoplura; scales; feathers; commercial preparations,collection-level zoological mounts,collection images,collection metadata; maker names,A,static HTML,St Andrews museum records; staff archives; commercial mounters; D'Arcy Thompson records,,Especially strong nineteenth-century maker/preparer hook: Charles Baker; Richard Suter; Frederick Enock; J.D. Möller; Fritz Meyer; Harris Biological Supplies.
UK-NHM-ALGAE-MICROSCOPE-SLIDES,UK,Natural History Museum London,,Algae collections microscope-slide material,collection page,https://www.nhm.ac.uk/our-science/services/collections/botany/algae.html,data.nhm.ac.uk/object/{uuid},nhm_collection_static,confirmed microscope slides,24000 marine slides; 10000 freshwater slides,collection page; Data Portal specimen records possible,NHM algae collections,held by; digitised by,historical to current,marine algae; freshwater algae; phycology,slide-mounted botanical collection,collection images,labels via Data Portal,A,static HTML,NHM Data Portal; phycology literature; collector and locality labels,,Explicit material-type counts total 34,000 microscope slides across marine and freshwater algae.
UK-NHM-PROTIST-GARNHAM-SLIDES,UK,Natural History Museum London,,Protist collection and Garnham slide collection,collection page,https://www.nhm.ac.uk/our-science/services/collections/zoology/protists.html,data.nhm.ac.uk/object/{uuid},nhm_collection_static,confirmed microscope slides,1023 Garnham slides; broader protist collection mainly slides,collection page; Data Portal specimen records possible,Garnham collection,held by; collected by; digitised by,historical to current,protozoan protists; malaria parasites; haemosporidia; mammals; birds; reptiles; type specimens,named slide collection,collection images,Data Portal labels,A,static HTML,NHM Data Portal; Garnham publications; parasitology archives,,Garnham subset represents over 200 species and includes significant type material.
UK-NHM-HYMENOPTERA-SLIDES,UK,Natural History Museum London,,Hymenoptera slide-mounted collection,collection page,https://www.nhm.ac.uk/our-science/services/collections/entomology/hymenoptera.html,data.nhm.ac.uk/object/{uuid},nhm_collection_static,confirmed microscope slides,25000 microscope slides,collection page; Data Portal specimen records possible,NHM Hymenoptera collections,held by; digitised by,historical to current,Hymenoptera; entomology; type material,slide-mounted specimens within major entomology collection,collection images,Data Portal labels,A,static HTML,NHM Data Portal; entomology literature; collector names,,Strong volume target with explicit slide-mounted specimen category and digital portal hook.
UK-GROSVENOR-STOLTERFORTH-DIATOM-SLIDES,UK,Grosvenor Museum,,Henry Stolterforth diatom slides,collection page,https://grosvenormuseum.westcheshiremuseums.co.uk/collections/top-objects/diatom-slides/,,grosvenor_collection_static,confirmed microscope slides,over 2000 diatom slides,collection page only,Dr Henry Stolterforth diatom slide collection,donated by; collected by,nineteenth century; Challenger material included,diatoms; local collecting; global samples; HMS Challenger,slide collection,collection image,labels likely,B,static HTML,local museum accession records; Challenger expedition; diatom literature,,High-value historic local/global collection with named donor and expedition material.
UK-CAMBRIDGE-HERBARIUM-SLIDES,UK,Cambridge University Herbarium,University of Cambridge Department of Plant Sciences,Associated microscope slide collections,collection overview,https://www.museums.cam.ac.uk/research/cambridge-university-herbarium,,cambridge_museums_static,confirmed microscope slides associated with herbarium,exact count unstated,overview page only,Cambridge University Herbarium microscope slides,held by,historical to current,botany; plant sciences; herbarium-associated slides,associated collection,overview images,unknown,B,static HTML,Cambridge herbarium records; plant-science archives; collector names,,Keep photographic slides separate; official overview explicitly lists microscope slides among associated collections.
US-OSU-HERBARIUM-DIATOM-SLIDES,US,Ohio State University Museum of Biological Diversity Herbarium,,Diatom microscope slide collection,collection page,https://mbd.osu.edu/collections/herbarium/collections,,osu_herbarium_static,confirmed microscope slides,approximately 6700 mounted diatom slides,collection page only,OSU Herbarium diatom collection,held by; collected by,historical to current,diatoms; global material,ornate wooden cabinets; organised by collector,collection images possible,collector names central,A,static HTML,collector archives; diatom exsiccatae; museum accession records,,Particularly strong because collector structure is explicit, including J.D. Möller, H. van Heurck, H.L. Smith, E. Thum and others.
US-NYBG-STRUCTURAL-BOTANY-SLIDES,US,New York Botanical Garden William & Lynda Steere Herbarium,,Structural Botany microscope slide collections,collection page,https://sweetgum.nybg.org/science/digital-collections/structural-botany/learn-more/,,nybg_structural_botany_static,confirmed microscope slides,extensive collection; Bassett Maguire pollen subset almost 4000 slides,collection page; digital collections links possible,Structural Botany microscope slides; Bassett Maguire slides,held by; donated by; produced by,historical to current,plant anatomy; pollen; cycads; Ericaceae; Lecythidaceae; monocotyledons,named research slide subcollections,digital collection images possible,labels/collection names,A,static HTML,NYBG archives; staff research publications; donation records,,Strong person/subcollection structure and donation-driven growth.
US-HARVARD-FARLOW-DIATOM-SLIDES,US,Harvard University Farlow Herbarium,,Farlow Diatom Collection,collection catalogue,https://diatoms.hsites.harvard.edu/,,farlow_diatom_catalogue,confirmed microscope slides,about 30000 microscope slides and field samples,annotated online catalogue,Farlow Diatom Collection; international diatomists,held by; donated by; acquired by; exchanged by,circa 1830-1940 core,diatoms; published exsiccatae; unique unpublished collections,published sets; unique personal and institutional collections; serial numbers,online catalogue,labels and set-specific serial numbers,A,paginated HTML,Harvard herbarium archives; exchange networks; exsiccatae catalogues; named collectors,,Excellent historical circulation case because replicated published sets and unique unpublished collections are explicitly separated.
US-CU-BOULDER-DIATOM-COLLECTION,US,University of Colorado Museum of Natural History,,Diatom Collections,collection page,https://www.colorado.edu/cumuseum/research-collections/diatoms/diatom-collections,,cu_boulder_diatom_static,confirmed permanent microscope slides,exact slide count unstated,collection page only,CU Museum diatom collection; J.P. Kociolek collection,held by; collected by; acquired by,nineteenth-century exsiccatae to current,diatoms; freshwater; fossil and modern samples; global geography,historical exsiccatae plus modern personal collection,collection images,associated site/sample data,B,static HTML,exsiccatae literature; Kociolek papers; accession records,,Two-origin structure is useful: historical Rabenhorst/Tilden exsiccatae plus Kociolek personal collection.
