entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
JP-KYOTO-RISH-XYLARIUM-SLIDES,JP,Kyoto University Research Institute for Sustainable Humanosphere,Wood Research Institute,Xylarium microscope slide collection,official collection page,https://www.rish.kyoto-u.ac.jp/English/Xylarium/,,kyoto_rish_xylarium_static,confirmed microscope slides,9563 microscope slides,collection page only,KYOw Xylarium microscope slides,held by; prepared by; exchanged by,wood collection begun 1944; Xylarium founded 1980,wood anatomy; xylarium; archaeology; geology; paleontology,taxonomically arranged slides linked to wood samples,page images,collection-level metadata,A,static HTML,Index Xylariorum; wood-exchange networks; Kew; Madison; Hamburg,,Each preparation contains transverse radial and tangential thin sections; strong specimen-to-slide linkage.
SG-NUS-LKCNHM-MICROSCOPE-SLIDES,SG,Lee Kong Chian Natural History Museum / National University of Singapore,Raffles Museum of Biodiversity Research,Microscope Slide Collection,official museum article,https://lkcnhm.nus.edu.sg/abyss-2020-field-notes/,,nus_lkcnhm_static,confirmed microscope slide collection,collection exists; exact count unstated,article-level evidence,Microscope Slide Collection,held by; collected by; curated by,current collection with expedition-linked material,cnidarians; echinoderms; deep-sea specimens; zoology,museum collection; expedition batches,article images,unknown,B,static HTML,NUS expeditions; curator records; museum database,,Official museum staff title explicitly includes Microscope Slide Collections; stable collection catalogue endpoint still to locate.
ZA-WITS-BONE-HISTOLOGY-SLIDES,ZA,University of the Witwatersrand Evolutionary Studies Institute,Bernard Price Institute,Bone Histological Slide Collection,official collection page,https://www.wits.ac.za/esi/fossil-collections/,,wits_fossil_collections_static,confirmed microscopic thin-section slides,small but growing; exact count unstated,collection page only,Bone Histological Slide Collection,held by; prepared by; used by,current collection built from research projects,vertebrate paleontology; therapsids; dinosaurs; bone histology,project-linked thin-section slide collection,page images,unknown,B,static HTML,Wits research projects; fossil catalogues; histology publications,,Good project-to-slide provenance structure even without a public item count.
ZA-WITS-PALYNOLOGY-SLIDES,ZA,University of the Witwatersrand Evolutionary Studies Institute,Bernard Price Institute,Palynological Slides Collection,official collection page,https://www.wits.ac.za/esi/fossil-collections/,,wits_fossil_collections_static,confirmed microscope slides,project-derived collection; exact count unstated,collection page only,Palynological Slides Collection,held by; prepared by; catalogued by,current collection built project by project,palynology; fossil pollen; spores,slides catalogued and filed after each project,page images,grid-reference/report linkage,A,static HTML,Wits project reports; palynology publications; specimen grid references,,Especially valuable because significant pollen grains are grid-referenced in project reports, creating publication-to-slide bridges.
ES-UPM-WOOD-MICROSCOPIC-PREPARATIONS,ES,Universidad Politecnica de Madrid Escuela Tecnica Superior de Ingenieros de Montes,,Coleccion de maderas microscopic preparations,official university museum page,https://www.upm.es/upm/museosupm/coleccionmaderas,,upm_wood_collection_static,confirmed microscopic preparations,more than 1400 microscopic wood preparations; page also states more than 1300,collection page only,Coleccion de maderas,held by; prepared by; exchanged by,since early 1960s with older disciplinary roots,wood anatomy; Spanish European exotic and tropical woods,slides linked in information system to corresponding macroscopic wood blocks,page images,linked sample metadata,A,static HTML,Index Xylariorum; exchanges with Kew CIRAD Madison Utrecht Hamburg,,Preserve the page's internal 1300/1400 wording rather than silently normalising it.
ES-UCM-ENTOMOLOGY-MICROPREPS,ES,Universidad Complutense de Madrid Facultad de Ciencias Biologicas,Museo de Entomologia,UCM Entomology microscopic preparation collection,official university museum page,https://ucme.bioucm.es/,,ucm_entomology_static,confirmed microscopic preparations,large collection; exact count unstated,collection page only,Museo de Entomologia microscopic preparations; Juan Gomez-Menor Ortega collection,held by; donated by; collected by,major growth from 1970s; Gomez-Menor historical collection,mites; thrips; homopterans; coccids; genitalia and anatomical parts,microscopic preparation collection within entomology museum,page images,collection history,B,static HTML,UCM faculty archives; Gomez-Menor publications; MNCN transfer history,,Named donor/research collection makes this useful despite missing item count.
ES-MNCN-ENTOMOLOGY-MICROPREPS,ES,Museo Nacional de Ciencias Naturales CSIC,,Entomology microscopic preparation collection,official museum page,https://www.mncn.csic.es/es/sociedad-de-amigos-del-museo/la-coleccion-de-entomologia-del-museo-nacional-de-ciencias-naturales,,mncn_collection_static,confirmed microscopic preparations,around 37500 microscopic preparations,collection page only,MNCN Entomology Collection,held by; collected by,mid-nineteenth century to present,insects; entomology; reference specimens,microscopic preparations alongside dry and alcohol holdings,page images,collection-level metadata,A,static HTML,CSIC collection services; historical entomologists; colonial and Iberian collecting,,Strong collection-scale count with long chronological range.
ES-MNCN-ARTHROPODS-MICROPREPS,ES,Museo Nacional de Ciencias Naturales CSIC,,Arthropod microscopic preparation collection,official museum page,https://www.mncn.csic.es/es/colecciones/cientificas/artropodos,,mncn_collection_static,confirmed microscopic preparations,more than 12000 microscopic preparations; 2832 mites; 2731 bathynellaceans,collection page only,MNCN Arthropod Collection,held by; collected by; donated by,historical to present,mites; diplopods; crustaceans; isopods; bathynellaceans,preparations stored in dedicated sliding-door cabinets,page images,own cabinets; type separation,A,static HTML,Fauna Iberica; Dolores Selga; acquisition records,,Physical storage structure and taxonomic subcounts make this a high-value batch target.
ES-MNCN-TARDIGRADE-SLIDES,ES,Museo Nacional de Ciencias Naturales CSIC,,Tardigrade microscopic preparation collection,official museum page,https://www.mncn.csic.es/es/colecciones/cientificas/invertebrados,,mncn_collection_static,confirmed microscopic preparations,more than 3780 preparations,collection page only,MNCN Tardigrada collection,held by; produced by,doctoral-thesis-derived collection,tardigrades; invertebrates,thesis-derived microscopic preparation series,page images,unknown,A,static HTML,doctoral thesis; invertebrate registers; type records,,Useful example of a research project becoming a museum slide collection.
ES-MNCN-PHORONID-SLIDES,ES,Museo Nacional de Ciencias Naturales CSIC,,Phoronid microscopic preparation collection,official museum page,https://www.mncn.csic.es/es/colecciones/cientificas/invertebrados,,mncn_collection_static,confirmed microscopic preparations,more than 2590 preparations,collection page only,MNCN Phoronida collection,held by; donated by,donation recorded 2007,phoronids; marine invertebrates,large donated microscopic preparation series,page images,unknown,A,static HTML,donor records; phoronid literature; invertebrate register,,Strong donation-to-collection node with explicit count.
ES-MNCN-CABALLERO-DIATOM-SLIDES,ES,Museo Nacional de Ciencias Naturales CSIC,,Ernesto Caballero y Bellido diatom slide collection,museum blog / collection history,https://mncn.bmtest.es/es/comunicacion/blog/una-coleccion-unica-las-preparaciones-de-diatomeas-de-caballero-y-bellido,,mncn_caballero_history,confirmed microscopic preparations,205 arranged preparations plus 202 separately rediscovered preparations,article-level evidence; inventory exists,Ernesto Caballero y Bellido collection,donated by; held by; rediscovered by,slides made 1891-1927; donated 1929; rediscovered 1987 and 2014,diatoms; arranged slides; fossil and extant taxa,original packing; instruments and chemicals; separate rediscovered batch,article images,lab notebooks and inventory history,A,static HTML,1929 donation; laboratory notebooks; 1987 inventory; 2014 rediscovery,,Excellent provenance case: original packing; 50-year neglect; rediscovery; second 202-slide batch.
ES-MUSEO-CAJAL-MICROSCOPIC-PREPARATIONS,ES,Museo Cajal / CSIC,Instituto Cajal,Legado Cajal microscopic preparations,official legal record,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12864,,museo_cajal_official,confirmed microscopic preparation collection,slide count unstated within 28222 legacy objects,legal inventory-level evidence,Legado Cajal; Santiago Ramon y Cajal microscopic preparations,from the collection of; held by,bequest established by 1931 testament; museum created 2024,histology; neuroscience; laboratory preparations,cabinets for microscopic preparations explicitly bequeathed,legal text,legacy-level metadata,A,static HTML,Instituto Cajal archives; testament; cabinet inventories; Spanish School of Histology,,Do not use 28222 as a slide count; it is the total number of legacy objects.
US-SI-NMNH-WHITEFLY-SLIDES,US,Smithsonian National Museum of Natural History,,Aleyrodidae Whitefly microscope slide collection,official Smithsonian research page,https://fellowships.si.edu/SORSNMNH,,smithsonian_entomology_static,confirmed microscope slide mounts,over 32500 slide mounts; more than 300 primary types,collection-level page,Smithsonian Whitefly Collection,held by; collected by,current holdings with historical private collections,Aleyrodidae; whiteflies; entomology,slide-mounted taxonomic collection,none on page,type-status metadata,A,static HTML,NMNH entomology catalogues; collector collections; type registers,,One of the world's strongest whitefly collections; suitable for item-level portal discovery.
US-SI-NMNH-PSYLLID-SLIDES,US,Smithsonian National Museum of Natural History,,Psyllid microscope slide collection,official Smithsonian research page,https://fellowships.si.edu/SORSNMNH,,smithsonian_entomology_static,confirmed slide-mounted specimens,more than 5000 slide-mounted specimens; more than 300 primary types,collection-level page,Smithsonian Psyllid Collection,held by; collected by,current holdings,psyllids; Hemiptera; entomology,slide-mounted and pinned collection,none on page,type-status metadata,A,static HTML,NMNH entomology catalogues; type registers,,Separate slide subset should remain distinct from the 20000+ pinned psyllids.
US-SI-NMNH-APHIDOIDEA-SLIDES,US,Smithsonian National Museum of Natural History,,Aphidoidea microscope slide collection,official Smithsonian research page,https://fellowships.si.edu/SORSNMNH,,smithsonian_entomology_static,confirmed microscope slides,more than 90000 slides representing over 2400 species; 1380 primary type slides in aphid subset,collection-level page,Smithsonian Aphidoidea Collection,held by; collected by,current holdings,aphids; Aphidoidea; entomology,large slide-mounted taxonomic collection,none on page,type-status metadata,A,static HTML,NMNH entomology catalogues; type registers; private collection accessions,,High-volume taxonomic slide collection with explicit primary-type subset.
US-SI-NMNH-COCCOIDEA-SLIDES,US,Smithsonian National Museum of Natural History,,Coccoidea microscope slide collection,official Smithsonian research page,https://fellowships.si.edu/SORSNMNH,,smithsonian_entomology_static,confirmed microscope slides,over 146000 slides; more than 280 primary types,collection-level page,Smithsonian Coccoidea Collection,held by; collected by,current holdings,scale insects; Coccoidea; entomology,large slide-mounted taxonomic collection,none on page,type-status metadata,A,static HTML,NMNH entomology catalogues; type registers; private collections,,One of the largest explicit slide counts in the current survey.
US-SI-NMNH-LEPIDOPTERA-SLIDES,US,Smithsonian National Museum of Natural History,,Lepidoptera microscope slide collection,official Smithsonian programme report,https://soar.si.edu/sites/default/files/reports/11.10.yes2011.final.pdf,,smithsonian_lepidoptera_literature,confirmed microscope slides,over 120000 microscope slides,programme report only,Lepidoptera Microscope Slide Collection,held by; catalogued by,collection established before 2011,lepidoptera; wings; genitalia; morphological features,slide collection linked to laboratory notebooks and Excel inventory,PDF report,notebook-to-slide data linkage,A,static HTML,lab notebooks; NMNH entomology database; internship inventory project,,Especially valuable because the report describes amalgamating notebooks and slide data into an inventory.
US-NOTRE-DAME-ARTHROPOD-SLIDES,US,University of Notre Dame Museum of Biodiversity,,Arthropod microscope slide collection,official museum page,https://biodiversity.nd.edu/collections/arthropod-collection/,,notre_dame_biodiversity_static,confirmed microscope slide collection,prepared slide sets; exact count unstated,collection page only,Museum of Biodiversity Arthropod microscope slide collection,held by; used by,current teaching and research collection,ticks; mites; mosquitoes; black flies; biting midges; lice; fleas; sandflies,prepared slide sets used for medical entomology and public health training,page images,collection-level metadata,B,static HTML,medical entomology teaching; public health training; collection accessions,,Good teaching-use collection even without item count.
