entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
IN-BSIP-TYPE-FIGURED-SLIDES,IN,Birbal Sahni Institute of Palaeosciences,,Museum type and figured slide repository,official museum page,https://bsip.res.in/index.php/en/bsip_museum,,bsip_museum_static,confirmed microscope/fossil slides,12740 type and figured slides,collection page only,BSIP Museum repository; Birbal Sahni collection,held by; collected by; received by gift or exchange; gifted by,foundational Sahni collection onward,palaeobotany; fossil plants; type and figured material,systematically stored museum repository,page images,collection-level metadata,A,static HTML,BSIP annual reports; exchange network; university and college teaching gifts,,Keep 6679 type/figured specimens and 17504 negatives separate from the 12740 slide count.
AR-MACN-BA-PAL-SLIDES,AR,Museo Argentino de Ciencias Naturales Bernardino Rivadavia,,Coleccion Nacional de Paleopalinologia BA Pal,official collection page,https://www.macnconicet.gob.ar/?p=1616,,macn_paleopalynology_static,confirmed microscopic preparations,more than 6600 microscopic preparations; more than 200 type specimens,collection page only,Coleccion Nacional de Paleopalinologia BA Pal; C.A. Menendez; W. Volkheimer; S. Archangelsky,held by; initiated by; contributed by,collection initiated 1965,marine and continental palynomorphs; Ordovician to Quaternary,national paleopalynology collection; multiple historical acronyms,page images,collection acronym history,A,static HTML,MACN palaeontology division; publications; old BA PB/BA Pb acronyms,,Preserve historical collection acronyms separately from the formal BA Pal acronym established in 2001.
AR-MLP-HYMENOPTERA-PARASITICA-SLIDES,AR,Museo de La Plata,,Hymenoptera Serie Parasitica microscopic preparations,official collection page,https://www.museo.fcnym.unlp.edu.ar/div_entomologia,,museo_la_plata_entomology_static,confirmed microscopic preparations,12900 microscopic preparations; 3191 microhymenoptera type specimens,collection page only,Seccion Hymenoptera Serie Parasitica; Alejandro Ogloblin; Luis De Santis,held by; contributed by,historical to current,parasitic Hymenoptera; Neotropical microhymenoptera,large slide series alongside approximately 50000 pinned specimens,page images,type catalogues,A,static HTML,13 type catalogues; Ogloblin and De Santis archives and publications,,Do not combine the 50000 pinned specimens with the 12900 microscopic preparations.
CL-MNHN-SGOPM-BOTANY-SLIDES,CL,Museo Nacional de Historia Natural Santiago,,SGOpm medicinal-plant microscopic preparation collection,government research report,https://www.investigacion.patrimoniocultural.gob.cl/sites/www.investigacion.patrimoniocultural.gob.cl/files/2025-12/Informe%20Final%20FAIP_2002.pdf,,chile_mnhn_sgopm_report,confirmed microscopic preparations,preparations from 50 medicinal plant species; exact slide count unstated,project report,SGOpm Seccion Botanica microscope preparation collection,prepared by; transferred into collection,2002 research project with herbarium-linked source specimens,leaf epidermis; pollen; medicinal plants,project-generated slide collection linked to SGO herbarium vouchers,report plates,collection code SGOpm,A,static HTML,MNHN herbarium SGO; project report; future atlas/publication,,Do not infer 100 slides from two preparation types per species; source gives species count rather than slide count.
UK-STROMNESS-KELLOCK-THIN-SECTIONS,UK,Stromness Museum,,Ted Kellock Geological Thin Section Collection,official museum page,https://www.stromnessmuseum.org.uk/ted-kellock-geological-slides,,stromness_kellock_static,confirmed microscope rock thin sections,about 4000 rock slides plus associated hand specimens,collection page only,Ted Kellock Geological Thin Section Collection,collected by; prepared by; ground by; mounted by; donated by,twentieth-century collection; Kellock 1920-2009,igneous and metamorphic rocks; Orkney; Shetland; Scotland; worldwide,rock slides paired with hand specimens; study collection,page images,catalogue made accessible with Quekett funding,A,static HTML,Quekett Microscopical Club; Kellock publications; museum catalogue,,Keep geological thin sections explicitly typed as petrographic microscope slides rather than biological preparations.
UK-NHM-BP-PALYNOLOGY-SLIDES,UK,Natural History Museum London,British Petroleum exploration collection,Former British Petroleum microfossil collection palynological slides,official collection page,https://www.nhm.ac.uk/our-science/services/collections/palaeontology/palynology.html,data.nhm.ac.uk/object/{uuid},nhm_palynology_static,confirmed microscope slides,approximately 78000 palynological slides; material from over 3800 well and outcrop localities,collection page; Data Portal links possible,Former British Petroleum microfossil collection,held by; transferred from; collected by,exploration activities since the 1950s,palynology; microfossils; petroleum exploration; global localities,well-run samples; slides and residues; locality batches,collection images,labels/locality metadata expected,A,static HTML,BP exploration records; NHM Data Portal; petroleum micropalaeontology literature,,Keep 3800 localities distinct from slide count and do not merge nannofossil/faunal/micropalaeontological slide categories.
UK-NHM-MODERN-POLLEN-SPORE-SLIDES,UK,Natural History Museum London,,Modern pollen and spore collection,official collection page,https://www.nhm.ac.uk/our-science/services/collections/palaeontology/palynology.html,data.nhm.ac.uk/object/{uuid},nhm_palynology_static,confirmed glass microscope slides,approximately 12000 glass slides,collection page; Data Portal links possible,Modern pollen and spore collection,held by; acquired by; imaged by,acquired 2013; extant flora represented,pollen; spores; northwest European flora,labelled reference slide collection; extensive LM and SEM image library,collection images,labelled examples,A,static HTML,NHM Data Portal; reference collection documentation; imaging records,,Separate this modern reference collection from the former BP fossil palynology holdings on the same page.
UK-NHM-ODP-NANNOFOSSIL-SLIDES,UK,Natural History Museum London,Deep Sea Drilling Project and Ocean Drilling Program context,ODP DSDP nannofossil reference collection,official collection page,https://www.nhm.ac.uk/our-science/services/collections/palaeontology/nannofossils.html,data.nhm.ac.uk/object/{uuid},nhm_nannofossil_static,confirmed microscope slides,approximately 5000 slides,collection page; Data Portal links possible,Nannofossil reference collection held for the Ocean Drilling Programme,held by; maintained by,historical DSDP/ODP sediment record,nannofossils; coccolithophores; ocean drilling; sediments,reference slide collection organised around drilling sediments,collection images,locality/cruise metadata expected,A,static HTML,DSDP ODP records; NHM Data Portal; nannofossil research,,Keep this 5000-slide reference collection separate from the former BP nannofossil holdings also mentioned by NHM.
US-SI-GRAHAM-PALYNOLOGICAL-SLIDES,US,Smithsonian Tropical Research Institute / Smithsonian Institution,,Graham Palynological Collection,official Smithsonian research page,https://striresearch.si.edu/tropical-paleoecology-lab/research/,,smithsonian_stri_palynology_static,confirmed microscope slides,25000 index cards each with an associated microscope slide; approximately 15000 species,collection page; PollenGEO records possible,Graham Palynological Collection; Alan Graham,assembled by; donated by; held by; digitised by,collection established 1954; donated 2008,extant and fossil pollen; Neotropical flora,wooden microscope slide boxes; index-card-to-slide linkage,digitisation images,index card and slide metadata,A,static HTML,PollenGEO; Alan Graham archives; STRI Tropical Paleoecology Lab,,The source supports a 25000 card-to-slide pairing; keep species count separate from slide count.
US-SI-NOWICKE-PALYNOLOGICAL-SLIDES,US,Smithsonian Tropical Research Institute / Smithsonian Institution,,Joan Nowicke palynological collection,official Smithsonian research page,https://striresearch.si.edu/tropical-paleoecology-lab/research/,,smithsonian_stri_palynology_static,confirmed microscope slides,5229 slides representing 3269 taxa,collection page; PollenGEO records possible,Joan Nowicke Collection,collected by; held by; digitised by,current PollenGEO digitisation context,pollen; mainly temperate North America,named slide collection,digitisation images,taxon and source metadata,A,static HTML,PollenGEO; Joan Nowicke publications; Smithsonian botany records,,Distinct named collection within the broader Smithsonian PollenGEO programme.
