entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
US-SI-DIPTERA-SLIDES,US,Smithsonian National Museum of Natural History,,USNM Diptera slide-mounted collection,collection page,https://naturalhistory.si.edu/research/entomology/collections-overview/diptera-collection,,smithsonian_diptera_static,confirmed slide-mounted microscope specimens,more than 600000 slide-mounted specimens,collection page; collection database possible,USNM Diptera Collection,held by; collected by,historical to current,Diptera; entomology; type specimens,slide-mounted taxonomic collection,collection images possible,catalogue/type metadata expected,A,static HTML,USNM entomology database; collector names; type catalogues; field expeditions,,Very high-volume slide-mounted insect collection; separate pinned and cryogenic holdings.
US-UMN-PRICE-LICE-SLIDES,US,University of Minnesota Insect Collection,,R. D. Price Mallophaga slide collection,collection holdings page,https://insectcollection.umn.edu/specimen-holdings,,umn_insect_collection_static,confirmed slide-mounted microscope specimens,more than 220000 slide-mounted lice specimens,collection page only; database endpoint to discover,R. D. Price collection of Mallophaga,held by; collected by,historical specialist collection,Phthiraptera; Mallophaga; lice; entomology,named specialist slide collection,page images possible,specimen labels expected,A,static HTML,Price publications; collection accession records; taxonomy/type records,,Named person collection with exceptional slide count.
US-UMN-SUBLETTE-CHIRONOMIDAE-SLIDES,US,University of Minnesota Insect Collection,,James E. and Mary F. Sublette Chironomidae collection,collection holdings page,https://insectcollection.umn.edu/specimen-holdings,,umn_insect_collection_static,confirmed slide-mounted microscope specimens,more than 87000 slide-mounted specimens,collection page only; database endpoint to discover,Dr James E. and Mary F. Sublette collection,held by; collected by,historical specialist collection,Chironomidae; Diptera; aquatic entomology,named specialist slide collection,page images possible,specimen labels expected,A,static HTML,Sublette papers; collection accession records; taxonomy/type records,,Separate named slide collection from Price despite same institution.
US-UCD-BOHART-TARDIGRADE-SLIDES,US,"Bohart Museum of Entomology, University of California Davis",,Tardigrade / water bear glass-slide collection,collection page,https://bohart.ucdavis.edu/tardigradewater-bear,,bohart_tardigrade_static,confirmed glass slide-mounted specimens,more than 35000 glass slide-mounted specimens,collection page only,Robert O. Schuster; Liz Tofner; Albert A. Grigarick tardigrade collection,collected by; held by,mainly twentieth century,Tardigrada; zoology; type material,glass slide-mounted specialist collection,collection images,labels/type metadata likely,A,static HTML,Schuster; Tofner; Grigarick publications; Bohart accession records,,Named curator/collector chain and explicit glass-slide count.
US-UGA-ACAROLOGY-SLIDES,US,University of Georgia Collection of Arthropods,P. W. Fattig Entomology Museum,UGA acarology slide collection,collection history,https://site.caes.uga.edu/ugca/history/,,uga_arthropod_history_static,confirmed slide-mounted microscope specimens,about 109000 slide-mounted specimens by early 1990s,history page only,UGA acarology collection; Warren Thomas Atyeo,held by; curated by; collected by,rapid expansion after 1968; count stated for early 1990s,mites; acarology; arthropods,slide-mounted acarology collection; separate vial holdings,history images,labels/catalogue data likely,A,static HTML,Atyeo papers; NSF collection grants; accession records; UGA database,,Historical dated count; do not project 109000 as current total without new inventory.
US-CAS-MOULTON-THRIPS-SLIDES,US,California Academy of Sciences,,D. Moulton Thysanoptera collection,collection highlights page,https://www.calacademy.org/scientists/entomology-information-page,,calacademy_entomology_static,confirmed slide-mounted microscope specimens,about 25000 slide-mounted specimens,collection page; insect database available,D. Moulton collection,held by; collected by,historical specialist collection,Thysanoptera; thrips; primary types,slide-mounted specialist collection,collection images,primary-type metadata likely,A,static HTML,CAS insect database; Moulton publications; type catalogues,,Explicit slide-mounted count and hundreds of primary types.
US-LSU-LSAM-SLIDES,US,Louisiana State Arthropod Museum / Louisiana Museum of Natural History,,LSAM slide-mounted arthropod holdings,collection page,https://www.lsu.edu/lmnh/lsam.php,,lsu_lsam_static,confirmed slide-mounted microscope specimens,30000 slide-mounted specimens,collection page only,Louisiana State Arthropod Museum,held by; curated by,current collection,insects; related arthropods,slide-mounted component within million-specimen collection,collection images possible,catalogue metadata likely,A,static HTML,LSAM accession records; Louisiana entomology; curator records,,Clean institutional count suitable for batch comparison.
US-SI-WOOD-MICROSLIDES,US,Smithsonian National Museum of Natural History,U.S. National Herbarium / Wood Collection,Wood Collection supporting microscope slides,collection policy,https://naturalhistory.si.edu/research/botany/collections-access/wood-collection/wood-collection-policy,,smithsonian_wood_policy_static,confirmed microscope slides supporting wood collection,count unstated,policy page only,Smithsonian Wood Collection,held by; prepared by; exchanged by,historical to current,wood anatomy; botany; xylarium; comparative sections,microscope-slide reference collection linked to wood blocks and herbarium specimens,none/limited,USw number required on exchanged microslides,B,static HTML,Wood Collection accessions; exchange records; xylarium publications,,Important because exchange policy requires a labeled microslide in return for sectioning cubes.
AR-MLP-DIPTERA-SLIDES,AR,Museo de La Plata / Universidad Nacional de La Plata,,Diptera microscopic preparation collection,official division page,https://www.museo.fcnym.unlp.edu.ar/div_entomologia,,mlp_entomology_static,confirmed microscopic slide preparations,approximately 10000 microscopic preparations in Diptera section,collection page only,Museo de La Plata Diptera Section,held by; donated by; collected by,historical to current,Ceratopogonidae; Simuliidae; Tabanidae; Psychidae; Phlebotominae; Culicidae,microscopic preparation collection; alcohol and pinned holdings separate,collection images possible,type and donor metadata described,A,static HTML,W. W. Wirth donation; INPA; Instituto Malbran; LASBE; type catalogues,,Strong Latin American museum endpoint with donor and type-material hooks.
BR-MN-UFRJ-MICROARCHAEOBOTANY-SLIDES,BR,Museu Nacional / Universidade Federal do Rio de Janeiro,,Microarchaeobotany collection,collection/laboratory page,https://museucerrado.com.br/arqueologia/arqueobotanica/laboratorio-de-arqueobotanica-e-paisagem/,,museunacional_ufrj_archaeobotany_static,confirmed microscopy slides as part of archaeobotanical collection,count unstated,collection page only,Colecoes Arqueobotanicas - Microarqueobotanica,held by; collected by; prepared by,pre-colonial to historical archaeological contexts; modern collection,archaeobotany; microscopic plant structures; archaeology,microscopic structures conserved in liquid or on microscopy slides,page images possible,context metadata expected,B,static HTML,Museu Nacional archaeology records; excavation projects; curator files,,Physical slide collection is explicit even though count is not stated.
CN-NWAFU-KUANG-ERIOPHYID-SLIDES,CN,Northwest A&F University Insect Museum / Expo Garden,Nanjing Agricultural University donor context,Kuang Haiyuan Chinese eriophyid mite slide donation,university news / donation record,https://news.nwsuaf.edu.cn/xnxw/43164.htm,,nwafu_donation_static,confirmed microscope slide specimens,1200 slides in 12 boxes; 100 per box,donation page only,Kuang Haiyuan Chinese eriophyid mite collection,donated by; collected by; held by,donated 2014; research collection built earlier,Eriophyidae; mites; agricultural entomology; type specimens,12 boxes of 100 slides,donation images,labels/type status described,A,static HTML,Kuang publications; museum accession record; Nanjing Agricultural University papers,,Exceptionally clean donor -> 12 boxes -> 1200 slides -> museum transfer record; many type specimens.
TW-NTU-TCM-HISTOLOGY-SLIDES,TW,National Taiwan University School of Pharmacy,Sun Ten / Brion Research Institute donor-partner context,Traditional Chinese medicine histology slide digitisation collection,university news / project record,https://sec.ntu.edu.tw/epaper/article.asp?num=1532&sn=22380,,ntu_tcm_slide_project_static,confirmed histological microscope slides,hundreds of valuable TCM tissue slides preserved for over 40 years,project page only,traditional Chinese medicine tissue slide collection,provided by; held by; digitised by,more than 40 years old by 2022; digitisation agreement 2022,pharmacognosy; traditional Chinese medicine; plant/drug histology,physical slide collection linked to cloud virtual-slide platform,digital whole-slide images,barcode/digital metadata likely,B,static HTML,NTU School of Pharmacy; Sun Ten records; teaching laboratory records,,Useful later collection/digitisation comparator; exact physical count remains unstated.
