entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
MX-UNAM-CNAC-MICROSCOPE-SLIDES,MX,Instituto de Biologia UNAM,,Coleccion Nacional de Acaros CNAC microscopic-slide holdings,official collection page,https://ib.unam.mx/ib/colecciones-biologicas/colecciones-zoologicas/,,unam_cnac_static,confirmed specimens preserved on microscopic slides and in ethanol vials,2467 type specimens representing 325 species across slide and vial holdings; slide subtotal unstated,collection page; databases available,Coleccion Nacional de Acaros CNAC,held by; collected by; catalogued by; exchanged by,collection founded 1991; current holdings,Acari; mites; Mexico and 75 countries; type specimens,microscopic slides plus ethanol vials; accompanying periodical library,collection images,taxonomic and collecting data available in quality-controlled databases,B,static HTML,CNAC databases; exchange records; type catalogues; curator records,,Do not convert the 2467 type specimens into a slide count because the source explicitly combines slides and ethanol vials.
BR-FIOCRUZ-CESAR-PINTO-SLIDES,BR,Colecao Entomologica do Instituto Oswaldo Cruz CEIOC,Instituto Oswaldo Cruz historical collections,Cesar Pinto historical slide collection,official collection page,https://ceioc.fiocruz.br/,,fiocruz_ceioc_static,confirmed insect microscope slides,1650 slides; all slide material identified,collection page; catalogue link,Cesar Pinto historical collection,from the collection of; held by; prepared by,historical collection,insects; medical entomology; multiple insect groups,1650 slides plus 1700 alcohol tubes kept as distinct media,collection/type images,collection catalogue and historical curator context,A,static HTML,CEIOC catalogue; Cesar Pinto publications; Instituto Oswaldo Cruz archives,,Preserve the 1650 slide count separately from the 1700 alcohol tubes.
BR-FIOCRUZ-FABIO-WERNECK-SLIDES,BR,Colecao Entomologica do Instituto Oswaldo Cruz CEIOC,Instituto Oswaldo Cruz historical collections,Fabio Werneck Phthiraptera slide collection,official collection page,https://ceioc.fiocruz.br/,,fiocruz_ceioc_static,confirmed insect microscope slides,approximately 4100 slides plus specimens in 373 alcohol tubes,collection page; catalogue link,Fabio Werneck historical collection,from the collection of; held by; prepared by,historical collection,Phthiraptera; lice; medical entomology,approximately 4100 prepared slides; separate alcohol-tube material,collection/type images,collection catalogue and historical curator context,A,static HTML,CEIOC catalogue; Fabio Werneck publications; Instituto Oswaldo Cruz archives,,Strong named-person slide corpus within a closed historical collection.
SE-NRM-ERDTMAN-PALYNOLOGY-SLIDES,SE,Swedish Museum of Natural History,Naturhistoriska riksmuseet palynological laboratory,Palynological slide collection founded by Gunnar Erdtman,official herbarium history page,https://www.nrm.se/engelska/in-english/collections/botanical-collections---plants-and-fungi/the-background-and-history-of-the-collections/about-the-herbarium,,nrm_herbarium_static,confirmed microscopic slides,more than 25000 microscopic slides,collection page only,NRM palynological collection; Gunnar Erdtman,held by; assembled by; collected by,palynological laboratory founded 1948,pollen; spores; palynology; botany,herbarium-associated microscopic slide collection,page images,collection history and named founder,A,static HTML,Erdtman publications; palynological laboratory archives; herbarium accession records,,Good person-to-laboratory-to-herbarium institutional succession node.
SE-NRM-KOLBE-DIATOM-PREPARATIONS,SE,Swedish Museum of Natural History,Naturhistoriska riksmuseet palaeontological microfossil collections,Kolbe diatom preparation collection,official collection page,https://www.nrm.se/engelska/in-english/collections/palaeontological-collections---fossils/microfossils/diatoms,,nrm_diatom_static,likely microscope-slide preparations; source calls them microscopic diatom specimens/preparations,over 9000 databased preparations/specimens,collection page and database link,Kolbe diatom collection,held by; catalogued by,current database; historical collection,diatoms; microfossils; palaeontology,registered microscopic preparation collection,page images,database records; over half identified to genus,B,static HTML,NRM microfossil database; Kolbe collection documentation,,Retain media qualification until the database confirms slide mounting for individual records.
IL-STEINHARDT-BENSH-FORAM-SLIDES,IL,Steinhardt Museum of Natural History Tel Aviv University,,F. R. Bensh Upper Palaeozoic foraminifera collection,official collection page,https://smnh.tau.ac.il/en/research/the-museum-collections/paleobiology-collection/,,steinhardt_paleobiology_static,mixed thin sections or slides,about 1400 specimens in thin sections or slides; more than 600 species,collection page; museum online database,F. R. Bensh collection,from the collection of; held by,historical collection; Bensh 1922-2006,Upper Palaeozoic foraminifera; Central and South Tien-Shan,thin sections and slides; mixed microscopic preparation formats,collection images,online collection database with locality/collector metadata,B,static HTML,Steinhardt online database; Bensh publications; Central Asian collecting records,,Do not use 1400 as a pure slide count because the source explicitly says thin sections or slides.
ZA-ARC-NCA-MITE-SLIDES,ZA,Agricultural Research Council Plant Protection Research Institute,National Collection of Arachnida / NCA-Acari,National Collection of Mites NCA-Acari,official national collection page,https://www.arc.agric.za/arc-ppri/Pages/Biosystematics/NCA%2C-Mite-Collection.aspx,,arc_nca_mite_static,confirmed slide-mounted specimens,more than 120000 slide-mounted specimens; 35000 collection entries in general mite section,collection page; database under development,NCA-Acari mite collection,held by; collected by; curated by,established 1959; current collection,mites; parasitic; plant-feeding; predatory; soil; economic acarology,slide cabinets historically; gradual transfer to plastic slide boxes; remounting and resealing programme,page images,type and database metadata,A,static HTML,NCA database; type list; remounting records; accession projects,,High-value physical-history node: old slide cabinets are being replaced by plastic slide boxes while specimens are remounted and resealed.
ZA-ARC-NCA-ZUMPT-MITE-SLIDES,ZA,Agricultural Research Council Plant Protection Research Institute,Medical Research Council of South Africa donor context,F. Zumpt parasitic mite collection,official national collection page,https://www.arc.agric.za/arc-ppri/Pages/Biosystematics/NCA%2C-Mite-Collection.aspx,,arc_nca_mite_static,confirmed slide-mounted mite collection within NCA,5680 entries representing about 15500 specimens; 1267 type specimens; slide subtotal unstated,collection page,F. Zumpt collection,donated by; held by; collected by,donated 1982,parasitic mites; medical and veterinary acarology,named donor collection incorporated into NCA slide collection,page images,type and entry counts,A,static HTML,Medical Research Council transfer; Zumpt publications; NCA type list,,Keep entries specimens and type counts distinct; source does not state a separate physical-slide total for the Zumpt subset.
ZA-ARC-NCN-NEMATODE-SLIDES,ZA,Agricultural Research Council Plant Protection Research Institute,,National Collection of Nematodes NCN,official national collection page,https://www.arc.agric.za/arc-ppri/pages/biosystematics/national-collection-of-nematodes-.aspx,,arc_ncn_nematode_static,confirmed microscope slides,42132 microscope slides housing 168528 specimens; more than 7000 type specimens,collection page,National Collection of Nematodes NCN,held by; collected by; curated by,established 1955 by Juan Heyns; current collection,free-living; plant-parasitic; entomopathogenic nematodes,large reference collection on microscope slides,page images,type counts; genera and species counts,A,static HTML,NCN database; type records; Juan Heyns history; agricultural surveys,,Exceptionally clean slide-to-specimen multiplicity: 42132 slides versus 168528 specimens.
ZA-ARC-NCN-MELOIDOGYNE-SLIDES,ZA,Agricultural Research Council Plant Protection Research Institute,,Meloidogyne Collection,official national collection page,https://www.arc.agric.za/arc-ppri/pages/biosystematics/national-collection-of-nematodes-.aspx,,arc_ncn_nematode_static,confirmed slide-mounted specimens,14750 slide-mounted specimens; physical slide count unstated,collection page,Meloidogyne Collection,held by; collected by,established 1981; major 1980s South African distribution survey,root-knot nematodes; Meloidogyne; agricultural nematology,survey-derived slide-mounted collection,page images,survey/publication link,A,static HTML,1980s survey; 1991 monograph; NCN register,,Do not equate 14750 slide-mounted specimens one-to-one with physical slides without register evidence.
