entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
UK-SMG-EDMUND-WHEELER-HUMAN-12,UK,Science Museum Group,Sir Henry Wellcome's Museum Collection,Box containing 12 microscope slides comprised of human remains,official object catalogue,https://collection.sciencemuseumgroup.org.uk/objects/co8622806/box-containing-12-microscope-slides-comprised-of-human-remains,collection.sciencemuseumgroup.org.uk/objects/{object_slug},smg_object_json_iiif,confirmed microscope slides,12 microscope slides,parent object record; JSON and IIIF advertised,Edmund Wheeler; Sir Henry Wellcome's Museum Collection,prepared by; held by,1860-1884,human remains; anatomy; pathology,boxed 12-slide set,object images; IIIF,object metadata; images available,A,IIIF,Edmund Wheeler; Holloway; commercial slide mounting; Wellcome acquisition history,,Closed nineteenth-century maker-attributed batch. Preserve maker and later Wellcome custody as separate relations.
UK-SMG-ARTHUR-COLE-24-1867,UK,Science Museum Group,,Case containing 24 microscope slides comprised of human and animal specimens,official object catalogue,https://collection.sciencemuseumgroup.org.uk/objects/co8042/case-containing-24-microscope-slides-comprised-of-human-and-animal-specimens,collection.sciencemuseumgroup.org.uk/objects/{object_slug},smg_object_json_iiif,confirmed microscope slides,24 microscope slides,parent case plus child object records; JSON and IIIF advertised,Arthur C. Cole and Son,prepared by; held by,1867,human and animal histology; pathology; anatomy,case containing 24 slides; child records numbered under 1876-1172,object images; IIIF,Prize Medal Paris 1867 labels recorded,A,IIIF,Paris Exhibition 1867; A. C. Cole and Son; object number 1876-1172,,Excellent batch hierarchy: case-level parent and individually catalogued child slides.
US-OHSU-MEDICAL-MUSEUM-94-1880-1900,US,Oregon Health & Science University Historical Collections & Archives,Medical Museum Collection,"Microscope slides in a case, Medical Museum Collection Box 42",digital collection record,https://digitalcollections.ohsu.edu/record/4487,digitalcollections.ohsu.edu/record/{id},ohsu_digital_collection_iiif,confirmed microscope specimen slides,approximately 94 specimen slides,one digital record; IIIF manifest and metadata exports advertised,"Medical Museum Collection; John C. Brougher, M.D.",donated by; held by,ca. 1880-1900; donated 1976,anatomy; pathology; medical specimens,wooden chest divided into four sections; each slide labelled,digital photograph; IIIF,each slide labelled; images available,A,IIIF,John C. Brougher donation February 1976; Medical Museum Collection Box 42,,Use ca.1880-1900 as object date and 1976 strictly as later donation/custody event.
US-NMAH-BOURGOGNE-SLIDE-SET,US,Smithsonian National Museum of American History,,"Microscope Slides, Bourgogne-inscribed set",official object catalogue,https://americanhistory.si.edu/collections/object/nmah_723375,americanhistory.si.edu/collections/object/{record_id},nmah_object_iiif,confirmed microscope-slide set,set preserved in two boxes; exact slide count to enumerate from record/images,one object record; IIIF metadata available,Joseph Bourgogne,attributed to; held by,nineteenth century; Joseph Bourgogne ca. 1810-after 1879,prepared microscope slides; diagnostic medicine; exhibition-awarded mounts,two boxes,object images; IIIF,BOURGOGNE inscription on each slide,A,IIIF,Joseph Bourgogne; international exhibitions; Smithsonian accession 217544,,Source attributes the inscription to Joseph Bourgogne; preserve attribution wording rather than asserting legal authorship.
UK-WHIPPLE-PRITCHARD-CASE-1840-1870,UK,"Whipple Museum of the History of Science, University of Cambridge",,"Case of microscope slides, some by Pritchard",official object catalogue,https://collections.whipplemuseum.cam.ac.uk/objects/13828,collections.whipplemuseum.cam.ac.uk/objects/{id},whipple_object_static,confirmed microscope slides,large assortment across three lift-out trays; exact count unstated,one object record,Pritchard; unidentified home and commercial preparers,prepared by; purchased by; held by,1840-1870; purchased by museum 1978,mostly botanical preparations; commercial and homemade slides,brass-bound mahogany box; three lift-out trays; broken slides and slide papers retained,catalogue record,Pritchard catalogue labels noted,A,static HTML,Pritchard catalogue; Sotheby's 1978 sale; monogram IB 1860,,Rare early mixed commercial/home-made case preserving broken slides and slide papers as part of the batch.
UK-WHIPPLE-WHEELER-MARS-1876,UK,"Whipple Museum of the History of Science, University of Cambridge",,"Microscope slide, microphotograph of two views of Mars",official object catalogue,https://collections.whipplemuseum.cam.ac.uk/objects/14938/,collections.whipplemuseum.cam.ac.uk/objects/{id},whipple_object_static,confirmed microscope slide,1 slide,one object record,Edmund Wheeler; W. Watson & Sons,attributed to; sold by; held by,circa 1876; earliest 1870 latest 1876,microphotography; astronomy; commercial slide trade,single glass slide with two paper labels,catalogue record,The Planet Mars; W. Watson & Sons 313 High Holborn; owner monogram noted,A,static HTML,Edmund Wheeler; W. Watson & Sons; microphotography; commercial resale,,Single-object anchor retained because it proves maker-to-retailer relabelling and a possible former-owner monogram.
UK-STANDREWS-ARTHUR-COLE-SLIDES,UK,University of St Andrews Libraries and Museums,Bell-Pettigrew Zoology microscope slide collection,Arthur C. Cole zoological microscope slides,official collection group record,https://collections.st-andrews.ac.uk/group/arthur-c-cole-zoological-microscope-slides/2002036,collections.st-andrews.ac.uk/group/{slug}/{id},standrews_group_static,confirmed microscope slides,group count to enumerate from child records,group plus child records,Arthur C. Cole,prepared by; held by,Cole 1821-1900; prize-medal slides from 1867 onward,diatoms; histology; commercial and research mounts,slides retained within Bell-Pettigrew hierarchy; set/number labels common,group and child images,light-blue Prize Medal Paris 1867 labels; Cole Deum crest; set and number notations,A,paginated HTML,Paris Exhibition 1867; printed illustrations/descriptions; commercial slide sets,,Distinct from SMG's 24-slide Cole case: this is a university collection group with many surviving Cole mounts.
UK-STANDREWS-FREDERIC-ENOCK-SLIDES,UK,University of St Andrews Libraries and Museums,Bell-Pettigrew Zoology microscope slide collection,Frederic Enock zoological microscope slides,official collection group record,https://collections.st-andrews.ac.uk/group/frederic-enock-zoological-microscope-slides/2002037,collections.st-andrews.ac.uk/group/{slug}/{id},standrews_group_static,confirmed microscope slides,group count to enumerate from child records,group plus child records,Frederic Enock; Edmund Wheeler,prepared by; worked for; held by,mounting career began 1870; own business from 1878,whole insects; Mymaridae; commercial preparations,slides left in situ scattered among original slide sleeves,group and child images,maker identity recoverable from slide records/images,A,paginated HTML,Birmingham Natural History Society 1865; Edmund Wheeler workshop; Enock business from 1878,,Strong workshop lineage: Enock began mounting in 1870 working for his uncle Edmund Wheeler before establishing his own business.
UK-STANDREWS-JT-NORMAN-SLIDES,UK,University of St Andrews Libraries and Museums,Bell-Pettigrew Zoology microscope slide collection,John Thomas Norman zoological microscope slides,official collection group record,https://collections.st-andrews.ac.uk/group/john-thomas-norman-zoological-microscope-slides/2001954,collections.st-andrews.ac.uk/group/{slug}/{id},standrews_group_static,confirmed microscope slides,"group count to enumerate; 1872 catalogue offered 2,584 mounts",group plus child records,John Thomas Norman,prepared by; supplied to; held by,business opened 1846; prize medal 1862; catalogue 1872; Norman died 1893,commercial prepared slides across diverse subjects,surviving slides left in situ among slide sleeves,group and child images,Norman and secondary reseller labels noted,A,paginated HTML,International Exhibition 1862; Exhibition 1871; 1872 catalogue; supplied Richard Suter and microscope dealers,,"Catalogue count is offered stock, not St Andrews survivor count. Secondary labels are especially valuable for trade-network reconstruction."
UK-STANDREWS-CHARLES-COLLINS-SLIDES,UK,University of St Andrews Libraries and Museums,Bell-Pettigrew Zoology microscope slide collection,Charles Collins zoological microscope slides,official collection group record,https://collections.st-andrews.ac.uk/group/charles-collins-zoological-microscope-slides/2002043,collections.st-andrews.ac.uk/group/{slug}/{id},standrews_group_static,confirmed microscope slides,group count to enumerate; fish skin and scales set dated 1884,group plus child records,Charles Collins,prepared by; sold by; relabelled by; held by,London business active 1860s-1890s; fish-skin/scale set 1884,commercial slides; fish skin and scales; reseller-labelled mounts,surviving slides left in situ among slide sleeves,group and child images,secondary labels occur on other makers' mounts,A,paginated HTML,London commercial microscopy; 1884 set; reseller labels,,Particularly useful for distinguishing maker from seller: Collins sold his own slides and slides mounted by others under secondary labels.
