entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
UK-RCS-QUEKETT-2500-1846,UK,Hunterian Museum / Royal College of Surgeons of England,Royal College of Surgeons Museum,John Thomas Quekett microscopical preparations purchased by the College,official institutional history,https://www.rcseng.ac.uk/library-and-publications/library/blog/john-thomas-quekett/,hunterianmuseum.org/objects/{RCSMS_id},hunterian_collection_static,confirmed microscopical preparations and surviving microscope slides,2500 microscopical preparations purchased by the College in 1846; current wider slide collection over 15000,collection page plus RCSMS object records,John Thomas Quekett collection,prepared by; purchased by; held by,preparations made during three-year studentship after 1840; purchased 1846; Quekett died 1861,human and comparative anatomy; histology; zoology; microscopy,named historical preparation corpus integrated into RCSMS collection,official history and object images,RCSMS identifiers and surviving labelled examples,A,static HTML,Royal Microscopical Society; 1846 purchase; Quekett teaching and catalogues,,Keep the 2500 historical purchase count separate from current total RCS slide-collection counts and from later additions.
UK-RCS-JOHN-TOMES-DENTAL-SLIDES-1838-1856,UK,Hunterian Museum / Royal College of Surgeons of England,Odontological Collection,Sir John Tomes personally prepared dental microscope slides,official museum exhibition and collection page,https://hunterianmuseum.org/exhibitions/sir-john-tomes-victorian-dental-pioneer,hunterianmuseum.org/objects/{RCSMS_id},hunterian_collection_static,confirmed microscope slides personally prepared by Tomes,selection survives; exact total unstated,museum exhibition plus slide/odontological collection records,Sir John Tomes,prepared by; donated by; held by,scientific papers 1838-1856; specimens donated before Tomes died in 1895,human and animal dental histology; tooth structure; comparative anatomy,slides survive alongside figured/published dental specimens and preparations,exhibition and collection images,published studies linked to actual preparations,A,static HTML,Royal Society papers 1838-1856; Tomes specimens; odontological catalogue,,Strong publication-to-object node: the museum explicitly displayed Tomes's own slides beside studies and specimens used in his work.
UK-RCSED-CATHCART-MICROSCOPICAL-CUPBOARD-1890,UK,Royal College of Surgeons of Edinburgh,Pathology Museum,Cathcart cupboard for microscopical preparations and institutional histology programme,official museum history PDF,https://museum.rcsed.ac.uk/media/4361/museums_history.pdf,,rcsed_museum_history_pdf,confirmed microscopical preparations; individual glass-slide inventory not exposed in source,cupboard purchased in 1890 and stated to remain in use; slide/preparation count unstated,history PDF and committee-record references,Charles Walker Cathcart; RCSEd Pathology Museum,purchased by; used by; held by,1890 cupboard purchase; tumour microscopy decision 15 Dec 1890; rocking microtome 1895; photomicrographs 1897,histology; pathology; tumours; museum laboratory practice,cupboard dedicated to microscopical preparations; laboratory infrastructure,PDF history,committee dates and equipment sequence,B,manual only,RCSEd Museum Committee records; histology programme; microtome purchase; photomicrographs,,Treat as a nineteenth-century institutional preparation-storage node; glass-slide format and surviving contents require item-level confirmation before counting slides.
DE-MFN-EHRENBERG-8000-1876,DE,Museum fuer Naturkunde Berlin,,Christian Gottfried Ehrenberg microscopic-organism collection,official collection page,https://www.museumfuernaturkunde.berlin/en/science/micropaleontology-collections,,mfn_micropaleontology_static,confirmed microscope preparations,approximately 8000 microscope preparations plus 5000 raw samples 3000 drawings and nearly 1000 letters,dedicated collection database plus catalogues and documentation,Christian Gottfried Ehrenberg Collection,collected by; received by; held by,Ehrenberg 1795-1876; collection deposited in museum after his death in 1876,diatoms; radiolarians; protists; global microscopic organisms,microscope preparations linked to raw samples drawings correspondence index books and handwritten catalogues,collection database and digitised drawings,collection catalogues and preparation identifiers,A,static HTML,Ehrenberg correspondence; Darwin and global contributors; Infusionsthierchen 1838; Mikrogeologie 1854,,Exceptional object-archive network: preserve preparation sample drawing letter publication and later recuration as separate linked entities.
DE-MFN-HUBRECHT-EMBRYOLOGY-LATE19C,DE,Museum fuer Naturkunde Berlin,Embryology Collection,Ambrosius Hubrecht embryological collection and histological slide series,official collection page,https://www.museumfuernaturkunde.berlin/en/research/embryology-collection,,mfn_embryology_static,confirmed histological preparations including slide series,current collection about 80000 histological preparations; nineteenth-century subset unstated,collection page plus historical catalogues,Ambrosius Hubrecht collection,assembled by; used by; held by,founded at end of nineteenth century by Hubrecht 1853-1915,comparative embryology; placental mammals; vertebrate development; reproductive organs,histological slide series paired with ethanol specimens; original Hubrecht catalogues drawings and archive material,collection images and catalogue examples,original catalogues document collection processing and use,A,static HTML,Hubrecht catalogue; reward network for embryos; comparative embryology; later incorporated collections,,Do not treat the current 80000 histological preparations as nineteenth-century. Harvest Hubrecht-series dates and catalogue links to isolate the nineteenth-century subset.
US-OHC-SULLIVANT-CABINET-19C,US,Ohio History Connection,Natural History Museum Collections,William S. Sullivant nineteenth-century microscope slide cabinet,official curatorial collection story,https://www.ohiohistory.org/peering-back-in-time-19th-century-microscope-slides-of-william-sullivant/,,ohiohistory_sullivant_story,confirmed glass microscope slides,slide count unstated; cabinet has nine porcelain-handled drawers,curatorial story with object and maker images,William S. Sullivant collection,belonging to; prepared by; donated by; held by,nineteenth-century slides; Sullivant 1803-1873; cabinet donated by descendants in 1928,botany; zoology; microscopical preparations; commercial slide trade,dark wooden cabinet with nine drawers; paper-wrapped labelled slides,curatorial photographs,maker wrappers and labels used for attribution,A,static HTML,Sullivant papers and specimen books; Bourgogne; Conrad von Rappard; Asa Gray; 1928 accession,,High-value maker-network cabinet: separate Sullivant custody from commercial preparers and the descendants' 1928 donation.
UK-MANCHESTER-CHAFFERS-DIATOM-CABINETS-1895-1904,UK,Manchester Museum,Owens College / University of Manchester,Sydney Chaffers diatom microscope-slide collection,peer-reviewed collection-history article,https://academic.oup.com/jhc/article/37/3/507/8653474,,manchester_chaffers_literature,confirmed microscope-slide collection,collection housed in six cabinets; exact slide total not recovered from current source,literature evidence with current museum location,Sydney Chaffers collection,prepared by; collected by; held by,collection formed 1895-1904 while Chaffers was registrar at Owens College,diatoms; specialist microscopy; university collecting,six cabinets; many slides prepared by Chaffers himself,article-level evidence,current museum/cabinet identity,A,static HTML,Owens College; Chaffers microscope; Manchester Museum; specialist slide preparation,,CORE_19C because collection formation begins in 1895; do not project the full 1895-1904 collection into the nineteenth century without item dates.
UK-SMG-DANCER-COMPOUND-MICROSCOPE-SLIDES-C1860,UK,Science Museum Group,,Compound microscope with slides belonging with J. B. Dancer microscope,official object catalogue,https://collection.sciencemuseumgroup.org.uk/objects/co8411852/compound-microscope,collection.sciencemuseumgroup.org.uk/objects/{object_slug},smg_object_json_iiif,confirmed microscope slides associated with instrument,slide subset present; exact count unstated,parent instrument record with parts hierarchy,John Benjamin Dancer,belonging to; prepared by; held by,circa 1860,microscopy; instrument use; prepared slides,compound microscope case and associated slide part record Y2001.221.1,object images; JSON; IIIF,parent/child object numbers,A,IIIF,Dancer workshop; instrument-slide assemblage; museum parts hierarchy,,Preserve the catalogue wording that the slides belong with the compound microscope; do not convert this relation into maker or owner without further evidence.
US-OHSU-BELKNAP-26-1883-1884,US,Oregon Health & Science University Historical Collections & Archives,Medical Museum Collection,Henry P. Belknap microscope slides in case,official digital collection record,https://digitalcollections.ohsu.edu/record/4542,digitalcollections.ohsu.edu/record/{id},ohsu_digital_collection_iiif,confirmed specimen microscope slides,26 slides,one digital record with metadata exports,H. P. Belknap; H. D. Belknap,prepared by; donated by; held by,1883-1884; later donated by son H. D. Belknap,pathology; anatomy; University of Michigan medical training,green cardboard case in canvas-covered sleeve; wooden slots numbered 1-26,digital photograph and metadata,case numbering and creator metadata,A,IIIF,University of Michigan; father-son provenance; Medical Museum Collection Box 50; damage event 2007,,Especially valuable preservation event: source states the collection was severely damaged in October 2007; retain damage as a later event rather than altering the 1883-84 object date.
UK-SMG-MICROSCOPE-SLIDE-PIECES-1850-1900,UK,Science Museum Group,Sir Henry Wellcome's Museum Collection,Selection of microscope slide pieces in repurposed cardboard box,official object catalogue,https://collection.sciencemuseumgroup.org.uk/objects/co117745/selection-of-microscope-slide-pieces,collection.sciencemuseumgroup.org.uk/objects/{object_slug},smg_object_json_iiif,confirmed microscope-slide glass pieces,selection of slide pieces; exact count unstated,one object record with JSON and IIIF,Unknown historical preparers; Sir Henry Wellcome's Museum Collection,held by,1850-1900,microscopy; fragmentary slides; storage and reuse,glass slide pieces retained in cardboard box originally made for suppositories by John Richardson and Co Leicester,object image; JSON; IIIF,box manufacturer and object number,A,IIIF,Wellcome collection history; repurposed packaging; fragmentary survival,,Retain as a batch-level material-survival node: the value lies in fragmentary slides and repurposed packaging rather than a named preparer.
