sample_id,publisher_page_url,image_url,edition_context,page_visible,page_number,title_visible_zh,title_transcription_status,museum_match_status,notes
WENWU_IMG_01,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_02,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_03,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829778.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_04,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829779.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",1,158,水滸全圖,probable_visual_transcription,pending_exact_title_match,"Double-page spread. Page number 158 is clearly visible. Horizontal title appears to read 水滸全圖; automated image-search caption misread it as 水乡全图, so this remains probable until a higher-resolution transcription is checked."
WENWU_IMG_05,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829780.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_06,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829781.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_07,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829782.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_08,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829783.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_09,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829784.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
WENWU_IMG_10,https://www.wenwu.com/newsinfo/11120837.html,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829785.jpg,"publisher promotional images; image numbers 1–4 follow 8vo deluxe listing, 5–10 follow 16mo listing on page",,,,unread,pending,Official publisher-hosted image URL recovered from page source.
