rank,working_220_id,museum_code,accession,title_en,title_zh,object_url,candidate_image_url,candidate_dhash,candidate_ahash,dhash_distance,ahash_distance,weighted_score
1,MET:2025.431,MET,2025.431,Second Part of Tale of Washing the Silken Gauze,,https://www.metmuseum.org/art/collection/search/911976,https://images.metmuseum.org/CRDImages/as/web-large/DP-40669-002.jpg,655d75654d4d655b,7e7e6000405a427e,19,24,62
2,MET:2025.369,MET,2025.369,Five Boys Competing for Distinction,,https://www.metmuseum.org/art/collection/search/911847,https://images.metmuseum.org/CRDImages/as/web-large/DP-41273-001.jpg,51794f5333417f4d,7e7f7e5e64007c7e,18,27,63
3,MET:2025.427,MET,2025.427,The Jade Hairpin,,https://www.metmuseum.org/art/collection/search/911961,https://images.metmuseum.org/CRDImages/as/web-large/DP-41449-001.jpg,6958746474504141,7e7f41010147ff7f,26,11,63
4,MET:2025.366,MET,2025.366,One Hundred Longevity Characters,,https://www.metmuseum.org/art/collection/search/911839,https://images.metmuseum.org/CRDImages/as/web-large/DP-41270-001.jpg,6d494169694d1973,4a7e4242425a7e7e,18,28,64
5,MET:2025.367,MET,2025.367,Character meaning “good fortune”,,https://www.metmuseum.org/art/collection/search/911843,https://images.metmuseum.org/CRDImages/as/web-large/DP-41271-001.jpg,5d45554d456d4959,524b50580648df7e,19,26,64
6,MET:2025.404,MET,2025.404,Lady Holding a Brush,,https://www.metmuseum.org/art/collection/search/911911,https://images.metmuseum.org/CRDImages/as/web-large/DP-41307-001.jpg,554551514d4d5549,7e7e424242427a7e,20,24,64
7,MET:2025.383,MET,2025.383,Mother and Son by a Pavilion,,https://www.metmuseum.org/art/collection/search/911954,https://images.metmuseum.org/CRDImages/as/web-large/DP-41473-001.jpg,1101694965595161,3e1f02020f1b7f4e,22,22,66
8,CMA:2025.57,CMA,2025.57,Two Beauties Inspect a Golden Lotus,雙美觀金蓮,https://clevelandart.org/art/2025.57,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_web.jpg,078b173663c7952b,3e3e342c4080bfff,24,18,66
9,CMA:2025.31,CMA,2025.31,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,0d454d559971714d,7efe9e9000007e7e,22,23,67
10,CMA:2025.23,CMA,2025.23,Mother and Sons,母子圖,https://clevelandart.org/art/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,4d5579596c456741,fefef2f2c109064e,21,28,70
11,MET:2025.391,MET,2025.391,Two Beauties Enjoy a Butterfly,,https://www.metmuseum.org/art/collection/search/911887,https://images.metmuseum.org/CRDImages/as/web-large/DP-40663-002.jpg,4d776d2d61647667,5a7e7f6a0200e46e,21,28,70
12,MET:2025.370,MET,2025.370,Basin of Accumulated Treasures,,https://www.metmuseum.org/art/collection/search/911849,https://images.metmuseum.org/CRDImages/as/web-large/DP-41274-001.jpg,1d4d49094b4b5747,7e7e1e1a185cfe7e,22,27,71
13,MET:2025.385,MET,2025.385,Story of the Western Chamber,,https://www.metmuseum.org/art/collection/search/911874,https://images.metmuseum.org/CRDImages/as/web-large/DP-40658-002.jpg,6191cc90c65c1c6d,ff1700018010f8ff,30,11,71
14,CMA:2025.21,CMA,2025.21,Part of Story of The Western Chamber,一部西廂總,https://clevelandart.org/art/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,0b5b1bd9a90d1c5d,fffffc8000381019,24,25,73
15,MET:2025.392,MET,2025.392,The Herd Boy and the Weaving Maiden,,https://www.metmuseum.org/art/collection/search/911889,https://images.metmuseum.org/CRDImages/as/web-large/DP-40664-002.jpg,65094d5941514b65,7e7e3a7a5e021e7e,23,28,74
16,MET:2025.387,MET,2025.387,Taozhu Brings Wealth,,https://www.metmuseum.org/art/collection/search/911876,https://images.metmuseum.org/CRDImages/as/web-large/DP-41290-002.jpg,484564e4d069516d,00ffc18181c3ff4b,25,24,74
17,CMA:2025.42,CMA,2025.42,Lady watching a swallow,,https://clevelandart.org/art/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,36b93918784838ad,fff7e3f2c101f3ff,27,20,74
18,MET:2025.418,MET,2025.418,View of Putuoshan on the Southern Sea,,https://www.metmuseum.org/art/collection/search/911938,https://images.metmuseum.org/CRDImages/as/web-large/DP-41319-001.jpg,1159756161654531,00fff040424e7f00,19,37,75
19,MET:2025.402,MET,2025.402,Scenic Spots of Zhenjiang,鎮江胜境,https://www.metmuseum.org/art/collection/search/911909,https://images.metmuseum.org/CRDImages/as/web-large/DP-40853-001.jpg,4525352f191d394d,00ff661812307e7e,22,31,75
20,MET:2025.362,MET,2025.362,Two Beauties Gather Lotus,,https://www.metmuseum.org/art/collection/search/911830,https://images.metmuseum.org/CRDImages/as/web-large/DP-41445-002.jpg,13474939cc606169,fffff7f3c1c3c3cf,25,25,75
21,MET:2025.388,MET,2025.388,Picture of a Happy Family,,https://www.metmuseum.org/art/collection/search/911877,https://images.metmuseum.org/CRDImages/as/web-large/DP-40660-002.jpg,51735a8aaaae8749,ffff100000001eff,33,10,76
22,MET:2025.394,MET,2025.394,The Spring Ox,,https://www.metmuseum.org/art/collection/search/911891,https://images.metmuseum.org/CRDImages/as/web-large/DP-40847-001.jpg,674717514955392b,7eff7e7e40006700,21,35,77
23,CMA:2025.32,CMA,2025.32,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,0d4d496569717137,007e5e4a42426e00,19,40,78
24,MET:2025.381,MET,2025.381,"Woman teaching children to play chess, from four-print set “Women teaching children the four accomplishments”",,https://www.metmuseum.org/art/collection/search/911871,https://images.metmuseum.org/CRDImages/as/web-large/DP-41285-001.jpg,615d4d5b774b5955,00787c767c16fe7e,19,40,78
25,MET:2025.377,MET,2025.377,Scenic Sites of Famous Mount Putuo on the Southern Sea,,https://www.metmuseum.org/art/collection/search/911860,https://images.metmuseum.org/CRDImages/as/web-large/DP-41281-002.jpg,51554d4559595555,7e42424a4242427e,24,30,78
