machine_id,accession,accession_base,id,record_type,cover_accession_number,title_en,title_zh,culture,creation_date,type,technique,share_license_status,legal_status,accession_date,url,api_url,image_web,image_print,image_full,has_web_image,has_print_image,has_full_image,provenance_raw,acquisition_mode,api_http_status,api_checked_utc
CMA:2025.19,2025.19,2025.19,678453,object,,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; woodblock print; ink on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.19,https://openaccess-api.clevelandart.org/api/artworks/2025.19,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:12.679513+00:00
CMA:2025.20,2025.20,2025.20,678462,object,,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,"['China, Qing dynasty (1644–1911)']",1700s,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.20,https://openaccess-api.clevelandart.org/api/artworks/2025.20,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:13.074793+00:00
CMA:2025.21,2025.21,2025.21,678477,object,,Part of Story of The Western Chamber,一部西廂總,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.21,https://openaccess-api.clevelandart.org/api/artworks/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:13.464365+00:00
CMA:2025.22,2025.22,2025.22,678485,object,,Scenic View of Pavilions by a Lake,亭畔勝景圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.22,https://openaccess-api.clevelandart.org/api/artworks/2025.22,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:13.653598+00:00
CMA:2025.23,2025.23,2025.23,678529,object,,Mother and Sons,母子圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.23,https://openaccess-api.clevelandart.org/api/artworks/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:14.031218+00:00
CMA:2025.24,2025.24,2025.24,678537,object,,A Quatrain about Peonies,牡丹一絕句,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.24,https://openaccess-api.clevelandart.org/api/artworks/2025.24,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:14.235338+00:00
CMA:2025.25,2025.25,2025.25,678656,object,,The Top Scholar Returns Home,狀元回家,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.25,https://openaccess-api.clevelandart.org/api/artworks/2025.25,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:14.429769+00:00
CMA:2025.26,2025.26,2025.26,678657,object,,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.26,https://openaccess-api.clevelandart.org/api/artworks/2025.26,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:14.803222+00:00
CMA:2025.27,2025.27,2025.27,678658,object,,Yang Guifei Strolls in a Garden,楊貴妃遊花園,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.27,https://openaccess-api.clevelandart.org/api/artworks/2025.27,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:14.998996+00:00
CMA:2025.28,2025.28,2025.28,678659,object,,Beauties with Bamboo and a Rose,竹葉月季雙美圖,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.28,https://openaccess-api.clevelandart.org/api/artworks/2025.28,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:15.210586+00:00
CMA:2025.29,2025.29,2025.29,678663,object,,Rise in Rank and Attain Wealth,加官進祿,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.29,https://openaccess-api.clevelandart.org/api/artworks/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:15.407465+00:00
CMA:2025.30,2025.30,2025.30,678664,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.30,https://openaccess-api.clevelandart.org/api/artworks/2025.30,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:15.608115+00:00
CMA:2025.31,2025.31,2025.31,679031,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.31,https://openaccess-api.clevelandart.org/api/artworks/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:15.842956+00:00
CMA:2025.32,2025.32,2025.32,679032,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.32,https://openaccess-api.clevelandart.org/api/artworks/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:16.056561+00:00
