machine_id,accession,accession_base,component_suffix,object_id,inferred_record_kind,inferred_cover_accession,multipart_group_size_records,title_en,title_zh,culture,date,type,technique,provenance_raw,acquisition_mode,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_core_2025_purchase_block,physical_print_contribution_inferred,cma_jpeg_caption_endpoint,cma_tiff_endpoint,updated_at
CMA:2025.19,2025.19,2025.19,,678453,object,,1,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; woodblock print; ink on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.19,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.19,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.19,2026-06-26 11:50:57.473000
CMA:2025.20,2025.20,2025.20,,678462,object,,1,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,"China, Qing dynasty (1644–1911)",1700s,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.20,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.20,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.20,2026-07-22 11:09:14.179000
CMA:2025.21,2025.21,2025.21,,678477,object,,1,Part of Story of The Western Chamber,一部西廂總,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.21,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.21,2026-05-29 09:15:03.335000
CMA:2025.22,2025.22,2025.22,,678485,object,,1,Scenic View of Pavilions by a Lake,亭畔勝景圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.22,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.22,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.22,2026-07-22 11:09:14.185000
CMA:2025.23,2025.23,2025.23,,678529,object,,1,Mother and Sons,母子圖,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.23,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.23,2026-08-13 11:44:38.216000
CMA:2025.24,2025.24,2025.24,,678537,object,,1,A Quatrain about Peonies,牡丹一絕句,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.24,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.24,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.24,2026-08-13 11:44:38.227000
CMA:2025.25,2025.25,2025.25,,678656,object,,1,The Top Scholar Returns Home,狀元回家,"China, Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.25,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.25,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.25,2026-08-13 11:44:38.237000
CMA:2025.26,2025.26,2025.26,,678657,object,,1,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.26,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.26,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.26,2026-06-18 11:45:48.184000
CMA:2025.27,2025.27,2025.27,,678658,object,,1,Yang Guifei Strolls in a Garden,楊貴妃遊花園,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.27,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.27,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.27,2026-06-26 11:50:57.485000
CMA:2025.28,2025.28,2025.28,,678659,object,,1,Beauties with Bamboo and a Rose,竹葉月季雙美圖,"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",1796–1820,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.28,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.28,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.28,2026-06-26 11:50:57.491000
