machine_id,accession,accession_base,component_suffix,object_id,inferred_record_kind,inferred_cover_accession,multipart_group_size_records,title_en,title_zh,culture,date,type,technique,provenance_raw,acquisition_mode,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_core_2025_purchase_block,physical_print_contribution_inferred,cma_jpeg_caption_endpoint,cma_tiff_endpoint,updated_at
CMA:2025.21,2025.21,2025.21,,678477,object,,1,Part of Story of The Western Chamber,一部西廂總,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.21,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.21,2026-05-29 09:15:03.335000
CMA:2025.23,2025.23,2025.23,,678529,object,,1,Mother and Sons,母子圖,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.23,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.23,2026-08-13 11:44:38.216000
CMA:2025.24,2025.24,2025.24,,678537,object,,1,A Quatrain about Peonies,牡丹一絕句,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.24,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.24,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.24,2026-08-13 11:44:38.227000
CMA:2025.29,2025.29,2025.29,,678663,object,,1,Rise in Rank and Attain Wealth,加官進祿,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.29,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.29,2026-06-26 11:50:57.501000
CMA:2025.31,2025.31,2025.31,,679031,object,,1,The Two Immortals of Harmony and Unity,和合二仙,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.31,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.31,2026-06-26 11:50:57.518000
CMA:2025.32,2025.32,2025.32,,679032,object,,1,The Two Immortals of Harmony and Unity,和合二仙,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.32,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.32,2026-05-29 09:15:56.743000
CMA:2025.42,2025.42,2025.42,,679053,object,,1,Lady watching a swallow,,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_print.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.42,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.42,2026-08-13 11:44:38.247000
CMA:2025.43,2025.43,2025.43,,679054,object,,1,Lady with water basin,,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.43,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_print.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.43,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.43,2026-08-13 11:44:38.256000
CMA:2025.44,2025.44,2025.44,,679052,object,,1,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"China, Qing dynasty (1644–1911), Daoguang reign (1821–50)",1821–50,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.44,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_print.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.44,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.44,2026-05-29 09:15:58.644000
CMA:2025.46,2025.46,2025.46,,679060,object,,1,Gusu Beauties of the Four Seasons – Summer,四季姑蘇美人圖 - 夏,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,"Multicolor woodblock print; ink and color on paper, framed","(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.46,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_print.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.46,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.46,2026-08-15 11:17:58.699000
