machine_id,accession,accession_base,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date,type,technique,provenance_raw,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_H1_2025_19_to_128,physical_contribution_using_record_type,source_row_sha256
CMA:2025.19,2025.19,2025.19,678453,,,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; woodblock print; ink on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.19,,,,0,0,0,1,1,391bbb4fe041a4dd6eee75e0796b625fcf26444fbcacb7f071d1df610e47b344
CMA:2025.20,2025.20,2025.20,678462,,,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,"China, Qing dynasty (1644–1911)",1700s,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.20,,,,0,0,0,1,1,af115d2dcd6bcbc11fed2337a657f441916e000f14ea104cb0ed8046118aed19
CMA:2025.21,2025.21,2025.21,678477,,,Part of Story of The Western Chamber,一部西廂總,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.21,,,,0,0,0,1,1,60aefcf8728824d1462676bcca4d7a9b7d70853688a69b58795185db68c44c99
CMA:2025.22,2025.22,2025.22,678485,,,Scenic View of Pavilions by a Lake,亭畔勝景圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.22,,,,0,0,0,1,1,eb61fd65c37c37e9f4746306f832375e843e5f034ff7a32ca3fb7ff5aa7a4832
CMA:2025.23,2025.23,2025.23,678529,,,Mother and Sons,母子圖,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.23,,,,0,0,0,1,1,792b70f253d2bc221ecfb40439c3a464ba33e45d40f67fbb0a754e3d507e5442
CMA:2025.24,2025.24,2025.24,678537,,,A Quatrain about Peonies,牡丹一絕句,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.24,,,,0,0,0,1,1,8f7e51a0b8210cc13008b19321415fe1911f6085ba3ac99e1c230960a0998979
CMA:2025.25,2025.25,2025.25,678656,,,The Top Scholar Returns Home,狀元回家,"China, Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.25,,,,0,0,0,1,1,7cd7eb6a8f674ac465070aa7748d69d84f0f744b2fa731213f4d98ea66da6c2a
CMA:2025.26,2025.26,2025.26,678657,,,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.26,,,,0,0,0,1,1,6ead742b13a657b4ffc31c93c3589ebcc169af973da0f99b2440da62ae4c2a60
CMA:2025.27,2025.27,2025.27,678658,,,Yang Guifei Strolls in a Garden,楊貴妃遊花園,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.27,,,,0,0,0,1,1,c45f3e0b4b390294905e209ed93aa03f39059bab0fba9d2657c7f67801800fc6
CMA:2025.28,2025.28,2025.28,678659,,,Beauties with Bamboo and a Rose,竹葉月季雙美圖,"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",1796–1820,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",CC0,https://clevelandart.org/art/2025.28,,,,0,0,0,1,1,e52310efc510e39235b31bbf203572a4f321a51222184229a283c21868fa6ba5
