id,accession_number,share_license_status,tombstone,current_location,title,title_in_original_language,series,series_in_original_language,creation_date,creation_date_earliest,creation_date_latest,artists_tags,culture,technique,support_materials,department,collection,type,measurements,state_of_the_work,edition_of_the_work,copyright,inscriptions,exhibitions,provenance,find_spot,related_works,former_accession_numbers,did_you_know,early_education_description,artlens_description,description,external_resources,citations,catalogue_raisonne,url,alternate_images,creditline,image_credit,sketchfab_id,sketchfab_url,gallery_donor_text,creators,image_web,image_print,image_full,updated_at
678453,2025.19,CC0,"Beautiful Autumn and Winter Landscapes (清鉴秋冬美境), 1736–95. China, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; woodblock print; ink on paper; print only: 93.3 x 53.5 cm (36 3/4 x 21 1/16 in.); overall with mount: 182.2 x 64 cm (71 3/4 x 25 3/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.19",,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; woodblock print; ink on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 93.3 x 53.5 cm (36 3/4 x 21 1/16 in.); Overall with mount: 182.2 x 64 cm (71 3/4 x 25 3/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.19,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-06-26 11:50:57.473000
678462,2025.20,CC0,"Li Bai Writes a Poem Whilst Drunk In Huaqing Palace (華清宮李⽩醉酒寫詩), 1700s. China, Qing dynasty (1644–1911). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 101.4 x 49 cm (39 15/16 x 19 5/16 in.); overall: 177.1 x 62.2 cm (69 3/4 x 24 1/2 in.); with knobs: 67.8 cm (26 11/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.20",,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,,,1700s,1700,1799,[],"China, Qing dynasty (1644–1911)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 101.4 x 49 cm (39 15/16 x 19 5/16 in.); Overall: 177.1 x 62.2 cm (69 3/4 x 24 1/2 in.); with knobs: 67.8 cm (26 11/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the seventeenth century, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the seventeenth to eighteenth centuries. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.20,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-07-22 11:09:14.179000
678477,2025.21,CC0,"Part of Story of The Western Chamber (一部西廂總), 1736–95. China, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 89 x 52.7 cm (35 1/16 x 20 3/4 in.); overall: 170.9 x 69 cm (67 5/16 x 27 3/16 in.); with knobs: 170.9 x 72.3 cm (67 5/16 x 28 7/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.21",,Part of Story of The Western Chamber,一部西廂總,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 89 x 52.7 cm (35 1/16 x 20 3/4 in.); Overall: 170.9 x 69 cm (67 5/16 x 27 3/16 in.); with knobs: 170.9 x 72.3 cm (67 5/16 x 28 7/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s . It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.21,"[{'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt0_web.jpg', 'width': '394', 'height': '900', 'filesize': '74933'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt0_print.jpg', 'width': '1488', 'height': '3400', 'filesize': '1023232'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt0_full.tif', 'width': '4705', 'height': '10753', 'filesize': '151805946'}, 'date_created': '2025-02-18T15:39:01', 'annotation': ''}, {'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt1_web.jpg', 'width': '395', 'height': '900', 'filesize': '159322'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt1_print.jpg', 'width': '1494', 'height': '3400', 'filesize': '2505771'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.21/2025.21_alt1_full.tif', 'width': '4705', 'height': '10706', 'filesize': '151143958'}, 'date_created': '2025-02-18T15:35:30', 'annotation': ''}]",Purchase from the J. H. Wade Fund,,,,,[],https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,2026-05-29 09:15:03.335000
678485,2025.22,CC0,"Scenic View of Pavilions by a Lake (亭畔勝景圖), 1736–95. China, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 88.2 x 49.7 cm (34 3/4 x 19 9/16 in.); overall: 165.2 x 65.1 cm (65 1/16 x 25 5/8 in.); with knobs: 165.2 x 72.2 cm (65 1/16 x 28 7/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.22",,Scenic View of Pavilions by a Lake,亭畔勝景圖,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 88.2 x 49.7 cm (34 3/4 x 19 9/16 in.); Overall: 165.2 x 65.1 cm (65 1/16 x 25 5/8 in.); with knobs: 165.2 x 72.2 cm (65 1/16 x 28 7/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.22,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-07-22 11:09:14.185000
678529,2025.23,CC0,"Mother and Sons (母子圖), 1736–95. Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; multicolor woodblock print on paper; print only: 98.4 x 56.2 cm (38 3/4 x 22 1/8 in.); overall: 179 x 67.1 cm (70 1/2 x 26 7/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.23",,Mother and Sons,母子圖,,,1736–95,1736,1795,[],"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; multicolor woodblock print on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 98.4 x 56.2 cm (38 3/4 x 22 1/8 in.); Overall: 179 x 67.1 cm (70 1/2 x 26 7/16 in.),,,,[],"CURRENT: Print Revolutions: Chinese Impressions, 1630s–1960s (Nov 15, 2026)","(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}","von Spee, Clarissa. “18th-Century Prints from Suzhou.” <em>Cleveland Art: Cleveland Museum of Art Members Magazine </em>65, no. 3 (2025): 28–29. (Reproduced: p. 29);",,https://clevelandart.org/art/2025.23,"[{'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt0_web.jpg', 'width': '352', 'height': '900', 'filesize': '79710'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt0_print.jpg', 'width': '1331', 'height': '3400', 'filesize': '895784'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt0_full.tif', 'width': '4487', 'height': '11464', 'filesize': '154344310'}, 'date_created': '2025-02-18T15:00:00', 'annotation': ''}, {'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt1_web.jpg', 'width': '352', 'height': '900', 'filesize': '167079'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt1_print.jpg', 'width': '1331', 'height': '3400', 'filesize': '1974901'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.23/2025.23_alt1_full.tif', 'width': '4487', 'height': '11464', 'filesize': '154346106'}, 'date_created': '2025-02-18T14:55:12', 'annotation': ''}]",Purchase from the J. H. Wade Fund,,,,,[],https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,2026-08-13 11:44:38.216000
678537,2025.24,CC0,"A Quatrain about Peonies (牡丹一絕句), 1736–95. Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 109.6 x 52.3 cm (43 1/8 x 20 9/16 in.); overall: 198 x 64.6 cm (77 15/16 x 25 7/16 in.); with knobs: 198 x 71 cm (77 15/16 x 27 15/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.24",,A Quatrain about Peonies,牡丹一絕句,,,1736–95,1736,1795,[],"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 109.6 x 52.3 cm (43 1/8 x 20 9/16 in.); Overall: 198 x 64.6 cm (77 15/16 x 25 7/16 in.); with knobs: 198 x 71 cm (77 15/16 x 27 15/16 in.),,,,舞罷還疑掌上身，五銖衣薄不留塵。香風翠袖初開處，忽見瓊樓第一人,"CURRENT: Print Revolutions: Chinese Impressions, 1630s–1960s (Nov 15, 2026)","(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.24,"[{'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt0_web.jpg', 'width': '335', 'height': '900', 'filesize': '74915'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt0_print.jpg', 'width': '1265', 'height': '3400', 'filesize': '902181'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt0_full.tif', 'width': '4649', 'height': '12498', 'filesize': '174336922'}, 'date_created': '2025-02-18T14:49:10', 'annotation': ''}, {'web': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt1_web.jpg', 'width': '335', 'height': '900', 'filesize': '116484'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt1_print.jpg', 'width': '1265', 'height': '3400', 'filesize': '1314650'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2025.24/2025.24_alt1_full.tif', 'width': '4649', 'height': '12499', 'filesize': '174352182'}, 'date_created': '2025-02-18T14:39:31', 'annotation': ''}]",Purchase from the J. H. Wade Fund,,,,,[],https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,2026-08-13 11:44:38.227000
678656,2025.25,CC0,"The Top Scholar Returns Home (狀元回家), 1736–95. China, Qing dynasty (1644–1911), Qianlong period (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 52.7 x 75.3 cm (20 3/4 x 29 5/8 in.); overall: 144.9 x 91.2 cm (57 1/16 x 35 7/8 in.); with knobs: 144.9 x 98.1 cm (57 1/16 x 38 5/8 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.25",,The Top Scholar Returns Home,狀元回家,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong period (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 52.7 x 75.3 cm (20 3/4 x 29 5/8 in.); Overall: 144.9 x 91.2 cm (57 1/16 x 35 7/8 in.); with knobs: 144.9 x 98.1 cm (57 1/16 x 38 5/8 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached its height in China in the 1600s to 1700s. It was executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.25,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-08-13 11:44:38.237000
678657,2025.26,CC0,"Portraits of the Outlaws of the Marsh (⽩滸綉像全圖), 1736–95. China, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 60.1 x 101.7 cm (23 11/16 x 40 1/16 in.); overall: 148 x 110.5 cm (58 1/4 x 43 1/2 in.); with knobs: 148 x 116.2 cm (58 1/4 x 45 3/4 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.26",,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,China - Qing Dynasty,Print,Print only: 60.1 x 101.7 cm (23 11/16 x 40 1/16 in.); Overall: 148 x 110.5 cm (58 1/4 x 43 1/2 in.); with knobs: 148 x 116.2 cm (58 1/4 x 45 3/4 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached a height in China in the 1600s to 1700s. The prints were executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.26,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-06-18 11:45:48.184000
678658,2025.27,CC0,"Yang Guifei Strolls in a Garden (楊貴妃遊花園), 1736–95. China, Qing dynasty (1644–1911), Qianlong reign (1736–95). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 134.7 x 61 cm (53 1/16 x 24 in.); overall: 1962 x 74.1 cm (772 7/16 x 29 3/16 in.); with knobs: 192 x 79.6 cm (75 9/16 x 31 5/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.27",,Yang Guifei Strolls in a Garden,楊貴妃遊花園,,,1736–95,1736,1795,[],"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 134.7 x 61 cm (53 1/16 x 24 in.); Overall: 1962 x 74.1 cm (772 7/16 x 29 3/16 in.); with knobs: 192 x 79.6 cm (75 9/16 x 31 5/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached a height in China in the 1600s to 1700s. The prints were executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.27,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-06-26 11:50:57.485000
678659,2025.28,CC0,"Beauties with Bamboo and a Rose (竹葉月季雙美圖), 1796–1820. China, Qing dynasty (1644–1911), Jiaqing period (1796–1820). Hanging scroll; polychrome woodblock print; ink and color on paper; print only: 43.2 x 29.2 cm (17 x 11 1/2 in.); with knobs: 43.9 cm (17 5/16 in.). The Cleveland Museum of Art, Purchase from the J. H. Wade Fund, 2025.28",,Beauties with Bamboo and a Rose,竹葉月季雙美圖,,,1796–1820,1796,1820,[],"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",Hanging scroll; polychrome woodblock print; ink and color on paper,[],Chinese Art,ASIAN - Hanging scroll,Print,Print only: 43.2 x 29.2 cm (17 x 11 1/2 in.); with knobs: 43.9 cm (17 5/16 in.),,,,[],,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",,[],[],"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",,,"Woodblock printing in color reached a height in China in the 1600s to 1700s. The prints were executed by means of sets of separate blocks, each carved to print a different color.","{'wikidata': [], 'internet_archive': []}",[],,https://clevelandart.org/art/2025.28,[],Purchase from the J. H. Wade Fund,,,,,[],,,,2026-06-26 11:50:57.491000
