machine_id,accession,working_core_base,record_type,title_en,title_zh,url,share_license_status
CMA:2025.19,2025.19,2025.19,object,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,https://clevelandart.org/art/2025.19,CC0
CMA:2025.20,2025.20,2025.20,object,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,https://clevelandart.org/art/2025.20,CC0
CMA:2025.22,2025.22,2025.22,object,Scenic View of Pavilions by a Lake,亭畔勝景圖,https://clevelandart.org/art/2025.22,CC0
CMA:2025.25,2025.25,2025.25,object,The Top Scholar Returns Home,狀元回家,https://clevelandart.org/art/2025.25,CC0
CMA:2025.26,2025.26,2025.26,object,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,https://clevelandart.org/art/2025.26,CC0
CMA:2025.27,2025.27,2025.27,object,Yang Guifei Strolls in a Garden,楊貴妃遊花園,https://clevelandart.org/art/2025.27,CC0
CMA:2025.28,2025.28,2025.28,object,Beauties with Bamboo and a Rose,竹葉月季雙美圖,https://clevelandart.org/art/2025.28,CC0
CMA:2025.30,2025.30,2025.30,object,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.30,CC0
CMA:2025.33,2025.33,2025.33,object,The God of War,關羽,https://clevelandart.org/art/2025.33,CC0
CMA:2025.34,2025.34,2025.34,object,Playing with an Infant,嬰戲圖,https://clevelandart.org/art/2025.34,CC0
CMA:2025.35,2025.35,2025.35,object,Double Happiness Character,雙喜字,https://clevelandart.org/art/2025.35,CC0
CMA:2025.36,2025.36,2025.36,object,Mother with Sons Playing Music,母子奏樂圖,https://clevelandart.org/art/2025.36,CC0
CMA:2025.37,2025.37,2025.37,object,Spring Swallows Bring Good Tidings,春燕報喜圖,https://clevelandart.org/art/2025.37,CC0
CMA:2025.38,2025.38,2025.38,object,Peacocks with Mother and Son,孔雀母子圖,https://clevelandart.org/art/2025.38,CC0
CMA:2025.39,2025.39,2025.39,object,Happy Birds in a Spring Garden,春苑喜鳥圖,https://clevelandart.org/art/2025.39,CC0
CMA:2025.40,2025.40,2025.40,object,The God of War,關羽,https://clevelandart.org/art/2025.40,CC0
CMA:2025.41,2025.41,2025.41,object,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,https://clevelandart.org/art/2025.41,CC0
CMA:2025.45,2025.45,2025.45,object,The God of War,關羽,https://clevelandart.org/art/2025.45,Copyrighted
CMA:2025.50,2025.50,2025.50,object,Gusu Beauties of the Four Seasons–Autumn,四季姑蘇美人圖 – 秋,https://clevelandart.org/art/2025.50,CC0
CMA:2025.51,2025.51,2025.51,object,Gusu Beauties of the Four Seasons–Winter,四季姑蘇美人圖 – 冬,https://clevelandart.org/art/2025.51,CC0
CMA:2025.52,2025.52,2025.52,object,Beautiful Scenery of Putuoshan on the Southern Sea,南海普陀⼭勝景,https://clevelandart.org/art/2025.52,CC0
CMA:2025.54,2025.54,2025.54,object,Li Taibai Reading,李太⽩讀書圖,https://clevelandart.org/art/2025.54,CC0
CMA:2025.55,2025.55,2025.55,object,"Fisherman, Woodcutter, Farmer, and Scholar",漁樵耕讀,https://clevelandart.org/art/2025.55,CC0
CMA:2025.56,2025.56,2025.56,object,The Herd Boy and the Weaving Maiden,牛郎織女,https://clevelandart.org/art/2025.56,CC0
CMA:2025.58,2025.58,2025.58,object,Boys Playing,嬰戲圖,https://clevelandart.org/art/2025.58,CC0
CMA:2025.59,2025.59,2025.59,object,Boy Bringing Wealth,招財童子,https://clevelandart.org/art/2025.59,CC0
CMA:2025.62,2025.62,2025.62,object,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://clevelandart.org/art/2025.62,CC0
CMA:2025.63,2025.63,2025.63,object,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://clevelandart.org/art/2025.63,CC0
CMA:2025.64,2025.64,2025.64,object,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://clevelandart.org/art/2025.64,CC0
CMA:2025.65,2025.65,2025.65,object,A Fisherman's Daughter,漁家女,https://clevelandart.org/art/2025.65,CC0
CMA:2025.66,2025.66,2025.66,object,Story of the Western Chamber – The Delivery of the Love Letter,西廂記 – 寄簡傳情,https://clevelandart.org/art/2025.66,CC0
CMA:2025.67,2025.67,2025.67,object,Destined to Succeed in the Examinations,必定中舉圖,https://clevelandart.org/art/2025.67,CC0
CMA:2025.68,2025.68,2025.68,object,Print in Western Style with Western Text,丁氏仿泰西筆意墨線版畫,https://clevelandart.org/art/2025.68,CC0
CMA:2025.69,2025.69,2025.69,object,Distinguishing Good from Evil,善惡分明,https://clevelandart.org/art/2025.69,CC0
CMA:2025.70,2025.70,2025.70,object,Scenes from First Part of Campaign to the East,征東前本,https://clevelandart.org/art/2025.70,CC0
CMA:2025.71,2025.71,2025.71,object,A Newly-Cut Print: Scenes from the Second Part of Record of the Three Kingdoms,新刻三國誌後傳,https://clevelandart.org/art/2025.71,CC0
CMA:2025.74,2025.74,2025.74,object,The Spring Ox,春牛圖,https://clevelandart.org/art/2025.74,CC0
CMA:2025.75,2025.75,2025.75,object,Illustrations of the Sui and Tang Dynasties,隋唐綉像,https://clevelandart.org/art/2025.75,CC0
CMA:2025.77,2025.77,2025.77,object,Four Concubines,四妃圖,https://clevelandart.org/art/2025.77,CC0
CMA:2025.78,2025.78,2025.78,object,"Drinking Wine in Autumn, Chanting Poems in Winter",秋飲冬吟,https://clevelandart.org/art/2025.78,CC0
CMA:2025.79,2025.79,2025.79,object,The Spring Hunt,春蒐圖,https://clevelandart.org/art/2025.79,CC0
CMA:2025.80,2025.80,2025.80,object,Wannian Bridge in Suzhou,姑蘇萬年橋,https://clevelandart.org/art/2025.80,CC0
CMA:2025.81,2025.81,2025.81,object,Great Celebrations in an Abundant Year,大慶豐年,https://clevelandart.org/art/2025.81,CC0
CMA:2025.85,2025.85,2025.85,object,Print of Xu Gate and the City Moat,胥門護城河畔圖,https://clevelandart.org/art/2025.85,CC0
CMA:2025.86,2025.86,2025.86,object,Print of Xu Gate and the City Moat,胥門護城河畔圖,https://clevelandart.org/art/2025.86,CC0
CMA:2025.89,2025.89,2025.89,object,Beauties with Orchids,美人蘭花圖,https://clevelandart.org/art/2025.89,CC0
CMA:2025.90,2025.90,2025.90,object,Ladies Playing with a Baby,仕女戲嬰圖,https://clevelandart.org/art/2025.90,CC0
CMA:2025.91,2025.91,2025.91,cover,Two Prints: Mu Yuying Smashes the Gate of Heaven Formation; Happy Fisherfolk,穆御英大破天門陣; 漁家歡樂,https://clevelandart.org/art/2025.91,CC0
CMA:2025.92,2025.92,2025.92,cover,Three prints: Zhang Qian Chances upon Douniu Celestial Palace; The Twenty Four Paragons of Filial Piety; A Scene of Early Spring,張騫誤入斗牛宮; 二十四孝; 早春圖,https://clevelandart.org/art/2025.92,CC0
CMA:2025.95,2025.95,2025.95,object,New Year's Day,歲朝圖,https://clevelandart.org/art/2025.95,CC0
CMA:2025.96,2025.96,2025.96,object,Story of the Western Chamber,⻄廂記,https://clevelandart.org/art/2025.96,CC0
CMA:2025.98,2025.98,2025.98,object,Mother with Son Holding a Brush,母童執筆圖,https://clevelandart.org/art/2025.98,CC0
CMA:2025.99,2025.99,2025.99,object,Fang Qing Collapses on the Snow and Encounters Bi Yunxian,方卿跌雪遇畢雲顯,https://clevelandart.org/art/2025.99,CC0
CMA:2025.100,2025.100,2025.100,object,View of Changmen Gate in Suzhou,蘇州閶⾨景,https://clevelandart.org/art/2025.100,CC0
CMA:2025.101,2025.101,2025.101,object,Long Guanbao from the Ballad Wuxiangqiu Performs Martial Arts on a Stage,武香球龍官寶打擂檯,https://clevelandart.org/art/2025.101,CC0
CMA:2025.102,2025.102,2025.102,object,Eight Immortals Honoring the God of Longevity,八仙上壽選仙圖,https://clevelandart.org/art/2025.102,CC0
CMA:2025.103,2025.103,2025.103,object,Eight Immortals and Twelve Zodiac Animals,八仙十二生肖圖,https://clevelandart.org/art/2025.103,CC0
CMA:2025.104,2025.104,2025.104,object,Dominoes,骨牌圖,https://clevelandart.org/art/2025.104,CC0
CMA:2025.105,2025.105,2025.105,object,Leifeng Pagoda Board Game,雷峰塔牌子,https://clevelandart.org/art/2025.105,CC0
CMA:2025.106,2025.106,2025.106,object,"Winter Basket: Narcissus, Camellia, and Wax Plum",冬藍：水仙、茶花、蠟梅,https://clevelandart.org/art/2025.106,CC0
CMA:2025.107,2025.107,2025.107,object,"Spring Basket: Peony, White Magnolia, and Peach Blossom",春藍：牡丹、白玉蘭、桃花,https://clevelandart.org/art/2025.107,CC0
CMA:2025.109,2025.109,2025.109,object,Waxbills,臘轉春回 - 蠟嘴鳥,https://clevelandart.org/art/2025.109,CC0
CMA:2025.110,2025.110,2025.110,object,Birds on Plum Branches,,https://clevelandart.org/art/2025.110,CC0
CMA:2025.111,2025.111,2025.111,object,Sleeping Birds,月下樹上小鳥,https://clevelandart.org/art/2025.111,CC0
CMA:2025.112,2025.112,2025.112,object,Butterflies on Roses,玫瑰與蝴蝶,https://clevelandart.org/art/2025.112,CC0
CMA:2025.114,2025.114,2025.114,object,Apples and Pomegranates,,https://clevelandart.org/art/2025.114,CC0
CMA:2025.115,2025.115,2025.115,object,Watermelon and Grapes,西瓜與葡萄,https://clevelandart.org/art/2025.115,CC0
CMA:2025.117,2025.117,2025.117,object,Praying Mantis on a Lychee,荔枝上的螳螂,https://clevelandart.org/art/2025.117,CC0
CMA:2025.119,2025.119,2025.119,object,Three Friends of Winter,歲寒三友圖,https://clevelandart.org/art/2025.119,CC0
CMA:2025.120,2025.120,2025.120,object,Insect on Viburnum,紫荊上的昆蟲,https://clevelandart.org/art/2025.120,CC0
CMA:2025.121,2025.121,2025.121,object,"Chrysanthemum, Begonia, and Blue Asters",菊花、秋海棠、與紫菀,https://clevelandart.org/art/2025.121,CC0
CMA:2025.122,2025.122,2025.122,object,"Chrysanthemum, Begonia, and Blue Asters",菊花、秋海棠、與紫菀,https://clevelandart.org/art/2025.122,CC0
CMA:2025.123,2025.123,2025.123,object,Mustard Garden Print,芥子園畫譜,https://clevelandart.org/art/2025.123,CC0
