machine_id,accession,accession_base,id,record_type,cover_accession_number,title_en,title_zh,culture,creation_date,type,technique,share_license_status,legal_status,accession_date,url,api_url,image_web,image_print,image_full,has_web_image,has_print_image,has_full_image,provenance_raw,acquisition_mode,api_http_status,api_checked_utc,v15_exclusion_or_detail_reason
CMA:2025.82,2025.82,2025.82,398803,cover,,Westlake Panorama,西湖全景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",mid-1700s,Print,"woodblock print, ink on paper; printed with three wood blocks in shades of black on four sheets",CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.82,https://openaccess-api.clevelandart.org/api/artworks/2025.82,https://openaccess-cdn.clevelandart.org/2025.82/2025.82_web.jpg,https://openaccess-cdn.clevelandart.org/2025.82/2025.82_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82/2025.82_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:25.906272+00:00,cover_replaced_by_components
CMA:2025.91.a,2025.91.a,2025.91,679119,part,2025.91,Mu Yuying Smashes the Gate of Heaven Formation,穆御英大破天門陣,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Kangxi reign (1662–1722)']",1662–1722,Print,Multicolor woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.91.a,https://openaccess-api.clevelandart.org/api/artworks/2025.91.a,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:28.807177+00:00,dependent_part_of_counted_cover
CMA:2025.91.b,2025.91.b,2025.91,679120,part,2025.91,Happy Fisherfolk,漁家歡樂,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Kangxi reign (1662–1722)']",1662–1722,Print,Multicolor woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.91.b,https://openaccess-api.clevelandart.org/api/artworks/2025.91.b,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:29.002385+00:00,dependent_part_of_counted_cover
CMA:2025.92.a,2025.92.a,2025.92,679121,part,2025.92,Zhang Qian Chances upon Douniu Celestial Palace,張騫誤入斗牛宮,"['China, Qing dynasty (1644–1911), Yongzheng reign (1723–35) to Qianlong reign (1736–95)']",1723–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.92.a,https://openaccess-api.clevelandart.org/api/artworks/2025.92.a,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:29.387574+00:00,dependent_part_of_counted_cover
CMA:2025.92.b,2025.92.b,2025.92,679122,part,2025.92,The Twenty Four Paragons of Filial Piety,二十四孝,"['China, Qing dynasty (1644–1911), Yongzheng reign (1723–35) to Qianlong reign (1736–95)']",1723–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.92.b,https://openaccess-api.clevelandart.org/api/artworks/2025.92.b,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:29.582945+00:00,dependent_part_of_counted_cover
CMA:2025.92.c,2025.92.c,2025.92,679123,part,2025.92,A Scene of Early Spring,早春圖,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722) to Yongzheng reign (1723–35)']",1662–1735,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.92.c,https://openaccess-api.clevelandart.org/api/artworks/2025.92.c,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:29.792244+00:00,dependent_part_of_counted_cover
CMA:2025.129,2025.129,2025.129,685894,object,,May You Soon Bear Noble Sons,早生貴子圖,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1700s,Print,woodblock print,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.129,https://openaccess-api.clevelandart.org/api/artworks/2025.129,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": null, ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": """", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:36.900229+00:00,verified_vonderburg_purchase_outside_working_113_core_pending_catalogue_confirmation
CMA:2025.212,2025.212,2025.212,703303,object,,Zhang Xian Brings Sons,張仙送子,"['China, Qing dynasty (1644–1911)']",1644–1911,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-12-08T05:00:00Z,https://clevelandart.org/art/2025.212,https://openaccess-api.clevelandart.org/api/artworks/2025.212,,,,0,0,0,"[{""description"": ""Christer von der Burg, given to the Cleveland Museum of Art"", ""citations"": [], ""footnotes"": null, ""date"": ""1997–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",given,200,2026-08-18T03:25:37.091582+00:00,separate_2025_vonderburg_gift
CMA:2025.213,2025.213,2025.213,703302,object,,One Hundred Boys,百子圖,['China'],1990s,Print,woodblock print; ink and color on paper,Copyrighted,accessioned,2025-12-08T05:00:00Z,https://clevelandart.org/art/2025.213,https://openaccess-api.clevelandart.org/api/artworks/2025.213,,,,0,0,0,"[{""description"": ""Christer von der Burg, given to the Cleveland Museum of Art"", ""citations"": [], ""footnotes"": [], ""date"": ""1997–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",given,200,2026-08-18T03:25:37.271343+00:00,separate_2025_vonderburg_gift
CMA:2025.214,2025.214,2025.214,703301,object,,One Hundred Boys,百子圖,['China'],1970s,Print,woodblock print; ink and color on paper,Copyrighted,accessioned,2025-12-08T05:00:00Z,https://clevelandart.org/art/2025.214,https://openaccess-api.clevelandart.org/api/artworks/2025.214,,,,0,0,0,"[{""description"": ""Christer von der Burg, given to the Cleveland Museum of Art"", ""citations"": [], ""footnotes"": [], ""date"": ""1997–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",given,200,2026-08-18T03:25:37.452726+00:00,separate_2025_vonderburg_gift
