working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.19,CMA,Cleveland Museum of Art,2025.19,678453,object,,Beautiful Autumn and Winter Landscapes,清鉴秋冬美境,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.19,https://openaccess-api.clevelandart.org/api/artworks/2025.19,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.20,CMA,Cleveland Museum of Art,2025.20,678462,object,,Li Bai Writes a Poem Whilst Drunk In Huaqing Palace,華清宮李⽩醉酒寫詩,"['China, Qing dynasty (1644–1911)']",1700s,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.20,https://openaccess-api.clevelandart.org/api/artworks/2025.20,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.22,CMA,Cleveland Museum of Art,2025.22,678485,object,,Scenic View of Pavilions by a Lake,亭畔勝景圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.22,https://openaccess-api.clevelandart.org/api/artworks/2025.22,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.25,CMA,Cleveland Museum of Art,2025.25,678656,object,,The Top Scholar Returns Home,狀元回家,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.25,https://openaccess-api.clevelandart.org/api/artworks/2025.25,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.26,CMA,Cleveland Museum of Art,2025.26,678657,object,,Portraits of the Outlaws of the Marsh,⽩滸綉像全圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.26,https://openaccess-api.clevelandart.org/api/artworks/2025.26,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.27,CMA,Cleveland Museum of Art,2025.27,678658,object,,Yang Guifei Strolls in a Garden,楊貴妃遊花園,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.27,https://openaccess-api.clevelandart.org/api/artworks/2025.27,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.28,CMA,Cleveland Museum of Art,2025.28,678659,object,,Beauties with Bamboo and a Rose,竹葉月季雙美圖,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.28,https://openaccess-api.clevelandart.org/api/artworks/2025.28,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.30,CMA,Cleveland Museum of Art,2025.30,678664,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.30,https://openaccess-api.clevelandart.org/api/artworks/2025.30,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.33,CMA,Cleveland Museum of Art,2025.33,679033,object,,The God of War,關羽,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)']",1662–1722,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.33,https://openaccess-api.clevelandart.org/api/artworks/2025.33,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.34,CMA,Cleveland Museum of Art,2025.34,679034,object,,Playing with an Infant,嬰戲圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.34,https://openaccess-api.clevelandart.org/api/artworks/2025.34,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
