working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.21,CMA,Cleveland Museum of Art,2025.21,678477,object,,Part of Story of The Western Chamber,一部西廂總,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.21,https://openaccess-api.clevelandart.org/api/artworks/2025.21,1,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.23,CMA,Cleveland Museum of Art,2025.23,678529,object,,Mother and Sons,母子圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.23,https://openaccess-api.clevelandart.org/api/artworks/2025.23,1,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.24,CMA,Cleveland Museum of Art,2025.24,678537,object,,A Quatrain about Peonies,牡丹一絕句,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.24,https://openaccess-api.clevelandart.org/api/artworks/2025.24,1,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.29,CMA,Cleveland Museum of Art,2025.29,678663,object,,Rise in Rank and Attain Wealth,加官進祿,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.29,https://openaccess-api.clevelandart.org/api/artworks/2025.29,1,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.31,CMA,Cleveland Museum of Art,2025.31,679031,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.31,https://openaccess-api.clevelandart.org/api/artworks/2025.31,1,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.32,CMA,Cleveland Museum of Art,2025.32,679032,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.32,https://openaccess-api.clevelandart.org/api/artworks/2025.32,1,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.42,CMA,Cleveland Museum of Art,2025.42,679053,object,,Lady watching a swallow,,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.42,https://openaccess-api.clevelandart.org/api/artworks/2025.42,1,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_print.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.43,CMA,Cleveland Museum of Art,2025.43,679054,object,,Lady with water basin,,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.43,https://openaccess-api.clevelandart.org/api/artworks/2025.43,1,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_print.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.44,CMA,Cleveland Museum of Art,2025.44,679052,object,,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"['China, Qing dynasty (1644–1911), Daoguang reign (1821–50)']",1821–50,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.44,https://openaccess-api.clevelandart.org/api/artworks/2025.44,1,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_print.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.46,CMA,Cleveland Museum of Art,2025.46,679060,object,,Gusu Beauties of the Four Seasons–Summer,四季姑蘇美人圖 - 夏,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,"Multicolor woodblock print; ink and color on paper, framed",Print,https://clevelandart.org/art/2025.46,https://openaccess-api.clevelandart.org/api/artworks/2025.46,1,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_print.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
