machine_id,accession,title_en,title_zh,object_url,cma_preferred_batch_endpoint,cma_tiff_endpoint,cma_page_image_proxy_url,cma_piction_origin_observed,cma_download_command_curl,cma_download_command_powershell
CMA:2025.21,2025.21,Part of Story of The Western Chamber,一部西廂總,https://www.clevelandart.org/art/2025.21,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.21,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.21,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3D11A10ECCEEECE3D3E994279D5D58F61D66065215F00911171D8FEFF4E14D9D05%26s%3D24247294%26se%3D399313166%26v%3D3%26f%3D%5Cd1006%5Cu364410060%5C2025.21_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=11A10ECCEEECE3D3E994279D5D58F61D66065215F00911171D8FEFF4E14D9D05&s=24247294&se=399313166&v=3&f=\d1006\u364410060\2025.21_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_21.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.21""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.21"" -OutFile ""CMA_2025_21.zip"""
CMA:2025.32,2025.32,The Two Immortals of Harmony and Unity,和合二仙,https://www.clevelandart.org/art/2025.32,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.32,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.32,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3D423E1CB850A5A5314412E8F509043361210B5127BD3B4B3C1BD5D37DB4D6A773%26s%3D24247294%26se%3D1440627856%26v%3D3%26f%3D%255Cd1158%255Cu364411586%255C2025.32_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=423E1CB850A5A5314412E8F509043361210B5127BD3B4B3C1BD5D37DB4D6A773&s=24247294&se=1440627856&v=3&f=\d1158\u364411586\2025.32_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_32.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.32""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.32"" -OutFile ""CMA_2025_32.zip"""
CMA:2025.60,2025.60,"Picture of a Cat, a Bird, and a Crabapple",海棠綬帶富貴圖,https://www.clevelandart.org/art/2025.60,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.60,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.60,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3D11A10ECCEEECE3D35395B65D030FD457CA661B8CD23545CB33C582D52595BD68%26s%3D24247294%26se%3D116628280%26v%3D3%26f%3D%5Cd3506%5Cu364435060%5C2025.60_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=11A10ECCEEECE3D35395B65D030FD457CA661B8CD23545CB33C582D52595BD68&s=24247294&se=116628280&v=3&f=\d3506\u364435060\2025.60_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_60.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.60""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.60"" -OutFile ""CMA_2025_60.zip"""
CMA:2025.82.1,2025.82.1,Westlake Panorama,西湖全景,https://www.clevelandart.org/art/2025.82.1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.1,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.82.1,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3DF0A88FC62A4CD514DAC21169F0EA0091236221603D3321FFD5EBFC00C1998B41%26s%3D24247294%26se%3D473187580%26v%3D3%26f%3D%5Cd4183%5Cu364441836%5C2025.82.1_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=F0A88FC62A4CD514DAC21169F0EA0091236221603D3321FFD5EBFC00C1998B41&s=24247294&se=473187580&v=3&f=\d4183\u364441836\2025.82.1_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_82_1.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.1""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.1"" -OutFile ""CMA_2025_82_1.zip"""
CMA:2025.82.2,2025.82.2,Westlake Panorama,西湖全景,https://www.clevelandart.org/art/2025.82.2,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.2,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.82.2,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3DF0A88FC62A4CD5141DEDD2AC56A22748D2DCC2067677090E49E0F96DDA11B57C%26s%3D24247294%26se%3D126268922%26v%3D3%26f%3D%5Cd4190%5Cu364441904%5C2025.82.2_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=F0A88FC62A4CD5141DEDD2AC56A22748D2DCC2067677090E49E0F96DDA11B57C&s=24247294&se=126268922&v=3&f=\d4190\u364441904\2025.82.2_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_82_2.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.2""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.2"" -OutFile ""CMA_2025_82_2.zip"""
CMA:2025.82.3,2025.82.3,Westlake Panorama,西湖全景,https://www.clevelandart.org/art/2025.82.3,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.3,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.82.3,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3DF0A88FC62A4CD514A6A95D7E3FAC1907BC19D785E1EF5CD9387CB52B15B0491A%26s%3D24247294%26se%3D126268922%26v%3D3%26f%3D%5Cd4197%5Cu364441972%5C2025.82.3_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=F0A88FC62A4CD514A6A95D7E3FAC1907BC19D785E1EF5CD9387CB52B15B0491A&s=24247294&se=126268922&v=3&f=\d4197\u364441972\2025.82.3_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_82_3.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.3""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.3"" -OutFile ""CMA_2025_82_3.zip"""
CMA:2025.82.4,2025.82.4,Westlake Panorama,西湖全景,https://www.clevelandart.org/art/2025.82.4,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.4,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.82.4,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3DF0A88FC62A4CD51487FC749D7911E447EE3324462EC7A9448390155C539F4567%26s%3D24247294%26se%3D126268922%26v%3D3%26f%3D%5Cd4204%5Cu364442044%5C2025.82.4_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=F0A88FC62A4CD51487FC749D7911E447EE3324462EC7A9448390155C539F4567&s=24247294&se=126268922&v=3&f=\d4204\u364442044\2025.82.4_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_82_4.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.4""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.82.4"" -OutFile ""CMA_2025_82_4.zip"""
CMA:2025.83,2025.83,Music in the Jade Palace,瓊宮樂奏圖,https://www.clevelandart.org/art/2025.83,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.83,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.83,,,"curl -L --fail --retry 3 -o ""CMA_2025_83.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.83""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.83"" -OutFile ""CMA_2025_83.zip"""
CMA:2025.84,2025.84,Gathering Osmanthus,折桂圖,https://www.clevelandart.org/art/2025.84,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.84,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.84,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3DF0A88FC62A4CD51427E7F1F44FCBAEE482042ED0C04D22A57107F2A635AD3646%26s%3D24247294%26se%3D116628280%26v%3D3%26f%3D%5Cd4233%5Cu364442330%5C2025.84_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=F0A88FC62A4CD51427E7F1F44FCBAEE482042ED0C04D22A57107F2A635AD3646&s=24247294&se=116628280&v=3&f=\d4233\u364442330\2025.84_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_84.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.84""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.84"" -OutFile ""CMA_2025_84.zip"""
CMA:2025.113,2025.113,Lotus Seeds and Water Caltrops,蓮蓬和菱角,https://www.clevelandart.org/art/2025.113,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.113,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.113,https://www.clevelandart.org/_next/image?q=75&url=https%3A%2F%2Fpiction.clevelandart.org%2Fcma%2Fump.di%3Fe%3D3A49FF706250A6C127A3195FDD9240F300E0492DD24DF42E6FC454C2EDA20DEA%26s%3D24247294%26se%3D126268922%26v%3D3%26f%3D%5Cd4443%5Cu364444430%5C2025.113_o5.jpg&w=640,https://piction.clevelandart.org/cma/ump.di?e=3A49FF706250A6C127A3195FDD9240F300E0492DD24DF42E6FC454C2EDA20DEA&s=24247294&se=126268922&v=3&f=\d4443\u364444430\2025.113_o5.jpg,"curl -L --fail --retry 3 -o ""CMA_2025_113.zip"" ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.113""","Invoke-WebRequest -Uri ""https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.113"" -OutFile ""CMA_2025_113.zip"""
