accession,hypothesis_member,arithmetic_role,independent_verification,index_status,title_or_note,physical_contribution_under_H1,object_url
2025.18,0,lower_negative_control,verified_non_corpus,indexed_exact_or_official_reference,Fata Morgana (verified non-corpus negative control),0,https://www.clevelandart.org/art/2025.18
2025.19,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.19
2025.20,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.20
2025.21,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Part of Story of The Western Chamber / 一部西廂總,1,https://www.clevelandart.org/art/2025.21
2025.22,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.22
2025.23,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Mother and Sons (official CMA acquisition article),1,https://www.clevelandart.org/art/2025.23
2025.24,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.24
2025.25,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.25
2025.26,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.26
2025.27,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.27
2025.28,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.28
2025.29,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.29
2025.30,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.30
2025.31,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.31
2025.32,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,The Two Immortals of Harmony and Unity / 和合二仙,1,https://www.clevelandart.org/art/2025.32
2025.33,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.33
2025.34,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.34
2025.35,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.35
2025.36,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.36
2025.37,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.37
2025.38,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.38
2025.39,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Happy Birds in a Spring Garden,1,https://www.clevelandart.org/art/2025.39
2025.40,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.40
2025.41,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.41
2025.42,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.42
2025.43,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.43
2025.44,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.44
2025.45,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.45
2025.46,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.46
2025.47,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.47
2025.48,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.48
2025.49,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.49
2025.50,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.50
2025.51,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.51
2025.52,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.52
2025.53,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.53
2025.54,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.54
2025.55,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.55
2025.56,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.56
2025.57,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.57
2025.58,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.58
2025.59,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.59
2025.60,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,"Picture of a Cat, a Bird, and a Crabapple / 海棠綬帶富貴圖",1,https://www.clevelandart.org/art/2025.60
2025.61,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Scenic Spots of Jiangtian Temple on Jinshan, Built by Imperial Command / 勅建金山江天寺勝境,1,https://www.clevelandart.org/art/2025.61
2025.62,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.62
2025.63,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.63
2025.64,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.64
2025.65,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.65
2025.66,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.66
2025.67,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.67
2025.68,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.68
2025.69,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.69
2025.70,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.70
