stage,key,error
suzhou_fetch,911873,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911873: HTTP Error 403: Forbidden')
suzhou_fetch,911914,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911914: HTTP Error 403: Forbidden')
suzhou_fetch,911909,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911909: HTTP Error 403: Forbidden')
suzhou_fetch,911854,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911854: HTTP Error 403: Forbidden')
suzhou_fetch,911851,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911851: HTTP Error 403: Forbidden')
suzhou_fetch,911858,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/911858: HTTP Error 403: Forbidden')
suzhou_fetch,49256,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/49256: HTTP Error 403: Forbidden')
suzhou_fetch,51800,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/51800: HTTP Error 403: Forbidden')
suzhou_fetch,72262,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/72262: HTTP Error 403: Forbidden')
suzhou_fetch,45775,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/45775: HTTP Error 403: Forbidden')
suzhou_fetch,48874,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/48874: HTTP Error 403: Forbidden')
suzhou_fetch,60469,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/objects/60469: HTTP Error 403: Forbidden')
gap_search,2025.365,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.365: HTTP Error 403: Forbidden')
gap_search,2025.366,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.366: HTTP Error 403: Forbidden')
gap_search,2025.369,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.369: HTTP Error 403: Forbidden')
gap_search,2025.394,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.394: HTTP Error 403: Forbidden')
gap_search,2025.404,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.404: HTTP Error 403: Forbidden')
gap_search,2025.414,RuntimeError('GET failed https://collectionapi.metmuseum.org/public/collection/v1/search?departmentId=6&q=2025.414: HTTP Error 403: Forbidden')
