machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,is_public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,has_primary_image,multipart_candidate,multipart_hint,api_checked_utc
MET:2025.357,2025.357,911822,Boys Picking Lotus,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 54. × 23 7/8 in. (137.2 × 60.6 cm)
Overall with mounting: 75 3/4 × 29 1/4 in. (192.4 × 74.3 cm)
Overall with knobs: 75 3/4 × 31 3/8 in. (192.4 × 79.7 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911822,https://collectionapi.metmuseum.org/public/collection/v1/objects/911822,https://images.metmuseum.org/CRDImages/as/original/DP-40653-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40653-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40653-001.jpg,1,0,,2026-08-18T03:30:51.185427+00:00
MET:2025.358,2025.358,911824,May You Soon Bear Noble Sons,清乾隆 早生貴子圖 版畫,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; printed in black outline with printed and hand-painted color,"Image: 40 15/16 × 21 1/4 in. (104 × 54 cm)
Overall with mounting: 67 × 25 5/16 in. (170.2 × 64.3 cm)
Overall with knobs: 67 × 28 1/4 in. (170.2 × 71.8 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911824,https://collectionapi.metmuseum.org/public/collection/v1/objects/911824,https://images.metmuseum.org/CRDImages/as/original/DP-40654-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40654-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40654-001.jpg,1,0,,2026-08-18T03:30:51.457780+00:00
MET:2025.359,2025.359,911825,Mother and Child,母子圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 35 3/8 × 19 1/4 in. (89.9 × 48.9 cm)
Overall with mounting: 66 1/2 × 23 7/16 in. (168.9 × 59.5 cm)
Overall with knobs: 66 1/2 × 25 3/4 in. (168.9 × 65.4 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911825,https://collectionapi.metmuseum.org/public/collection/v1/objects/911825,https://images.metmuseum.org/CRDImages/as/original/DP-40655-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40655-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40655-001.jpg,1,0,,2026-08-18T03:30:51.727943+00:00
MET:2025.360,2025.360,911826,The Two Immortals of Harmony and Unity,和合二仙,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 27 3/8 × 14 1/16 in. (69.5 × 35.7 cm)
Overall with mounting: 56 7/8 × 16 7/8 in. (144.5 × 42.9 cm)
Overall with knobs: 56 7/8 × 18 1/2 in. (144.5 × 47 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911826,https://collectionapi.metmuseum.org/public/collection/v1/objects/911826,https://images.metmuseum.org/CRDImages/as/original/DP-40656-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40656-001.jpg,1,0,,2026-08-18T03:30:51.909405+00:00
MET:2025.361,2025.361,911827,The Two Immortals of Harmony and Unity,和合二仙,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 26 7/8 × 13 7/8 in. (68.3 × 35.2 cm)
Overall with mounting: 48 3/4 × 17 in. (123.8 × 43.2 cm)
Overall with knobs: 48 3/4 × 19 1/4 in. (123.8 × 48.9 cm)",Prints,Asian Art,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911827,https://collectionapi.metmuseum.org/public/collection/v1/objects/911827,https://images.metmuseum.org/CRDImages/as/original/DP-40656-003.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-003.jpg,0,,1,0,,2026-08-18T03:30:52.090638+00:00
MET:2025.362,2025.362,911830,Two Beauties Gather Lotus,雙美採蓮圖,"China, Suzhou","Qing dynasty (1644–1911), Jiaqing period (1796–1820)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 26 7/8 × 13 7/8 in. (68.3 × 35.2 cm)
Overall with mounting: 48 3/4 × 17 in. (123.8 × 43.2 cm)
Overall with knobs: 48 3/4 × 19 1/4 in. (123.8 × 48.9 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911830,https://collectionapi.metmuseum.org/public/collection/v1/objects/911830,https://images.metmuseum.org/CRDImages/as/original/DP-41445-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41445-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41445-001.jpg,1,0,,2026-08-18T03:30:52.368622+00:00
MET:2025.364,2025.364,911836,Ten Views of West Lake,西湖十景圖,"China, Suzhou","Qing dynasty (1644–1911), Yongzheng–Qianlong period (1723–95)",,Woodblock print; ink on paper,"Image: 43 × 20 1/8 in. (109.2 × 51.1 cm)
Framed: 44 1/8 × 20 7/8 in. (112.1 × 53 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911836,https://collectionapi.metmuseum.org/public/collection/v1/objects/911836,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41821-001.jpg,0,,1,0,,2026-08-18T03:30:52.546807+00:00
MET:2025.367,2025.367,911843,Character meaning “good fortune”,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 36 15/16 × 21 5/8 in. (93.8 × 54.9 cm)
Overall with mounting: 36 15/16 × 21 5/8 in. (93.8 × 54.9 cm)",Prints,Asian Art,"Purchase, Bequest of Robert West, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911843,https://collectionapi.metmuseum.org/public/collection/v1/objects/911843,https://images.metmuseum.org/CRDImages/as/original/DP-41271-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41271-001.jpg,0,,1,0,,2026-08-18T03:30:52.899559+00:00
MET:2025.368,2025.368,911846,Magu Bestows Longevity,麻姑獻壽,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 38 9/16 × 23 1/2 in. (97.9 × 59.7 cm)
Sheet: 38 7/8 × 23 5/8 in. (98.7 × 60 cm)",Prints,Asian Art,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911846,https://collectionapi.metmuseum.org/public/collection/v1/objects/911846,https://images.metmuseum.org/CRDImages/as/original/DP-41272-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41272-001.jpg,0,,1,0,,2026-08-18T03:30:53.119116+00:00
MET:2025.370,2025.370,911849,Basin of Accumulated Treasures,聚寶盆,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 41 3/8 × 21 1/2 in. (105.1 × 54.6 cm)
Overall with mounting: 41 7/8 × 22 in. (106.4 × 55.9 cm)",Prints,Asian Art,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911849,https://collectionapi.metmuseum.org/public/collection/v1/objects/911849,https://images.metmuseum.org/CRDImages/as/original/DP-41274-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41274-001.jpg,0,,1,0,,2026-08-18T03:30:53.330409+00:00
