machine_id,accession,object_id,title_en,title_zh,medium,classification,credit_line,public_domain,object_url,primary_image,primary_image_small,additional_image_count,additional_images,preferred_download_url,download_status,book_match_status
MET:2025.354,2025.354,911817,Scenic Spots of Zhenjiang,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911817,https://images.metmuseum.org/CRDImages/as/original/DP-40650-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40650-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40650-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40650-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.355,2025.355,911818,Scenic Spots of Zhenjiang,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Funds from various donors, 2025",1,https://www.metmuseum.org/art/collection/search/911818,https://images.metmuseum.org/CRDImages/as/original/DP-40651-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40651-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40651-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40651-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.356,2025.356,911819,Manchus Quarrel During a Chess Game,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911819,https://images.metmuseum.org/CRDImages/as/original/DP-40652-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40652-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40652-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40652-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.357,2025.357,911822,Boys Picking Lotus,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911822,https://images.metmuseum.org/CRDImages/as/original/DP-40653-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40653-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40653-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40653-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.358,2025.358,911824,May You Soon Bear Noble Sons,,Hanging scroll; woodblock print; printed in black outline with printed and hand-painted color,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911824,https://images.metmuseum.org/CRDImages/as/original/DP-40654-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40654-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40654-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40654-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.359,2025.359,911825,Mother and Child,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911825,https://images.metmuseum.org/CRDImages/as/original/DP-40655-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40655-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40655-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40655-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.360,2025.360,911826,The Two Immortals of Harmony and Unity,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911826,https://images.metmuseum.org/CRDImages/as/original/DP-40656-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40656-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40656-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.361,2025.361,911827,The Two Immortals of Harmony and Unity,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911827,https://images.metmuseum.org/CRDImages/as/original/DP-40656-003.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-003.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40656-003.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.362,2025.362,911830,Two Beauties Gather Lotus,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911830,https://images.metmuseum.org/CRDImages/as/original/DP-41445-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41445-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41445-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-41445-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.363,2025.363,911834,Three Boys Grabbing Nobility,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911834,https://images.metmuseum.org/CRDImages/as/original/DP-40657-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40657-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40657-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40657-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.364,2025.364,911836,Ten Views of West Lake,,Woodblock print; ink on paper,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911836,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41821-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.365,2025.365,911838,Lady with Boys Playing Instruments,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911838,https://images.metmuseum.org/CRDImages/as/original/DP-41446-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41446-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41446-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.366,2025.366,911839,One Hundred Longevity Characters,,Woodblock print; ink and color on paper,Prints,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911839,https://images.metmuseum.org/CRDImages/as/original/DP-41270-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41270-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41270-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.367,2025.367,911843,Character meaning “good fortune”,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Bequest of Robert West, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911843,https://images.metmuseum.org/CRDImages/as/original/DP-41271-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41271-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41271-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.368,2025.368,911846,Magu Bestows Longevity,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911846,https://images.metmuseum.org/CRDImages/as/original/DP-41272-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41272-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41272-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.369,2025.369,911847,Five Boys Competing for Distinction,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911847,https://images.metmuseum.org/CRDImages/as/original/DP-41273-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41273-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41273-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.370,2025.370,911849,Basin of Accumulated Treasures,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911849,https://images.metmuseum.org/CRDImages/as/original/DP-41274-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41274-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41274-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.371,2025.371,911850,View of Putuoshan on the Southern Sea,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Harry Payne Bingham, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911850,https://images.metmuseum.org/CRDImages/as/original/DP-41275-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41275-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41275-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.372,2025.372,911851,One Hundred Boys,百子图,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911851,https://images.metmuseum.org/CRDImages/as/original/DP-41276-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41276-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41276-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.373,2025.373,911852,A Record of Tiger Hill in Suzhou,,Woodblock print; ink on paper with additional hand coloring,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911852,https://images.metmuseum.org/CRDImages/as/original/DP-41277-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41277-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41277-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.374,2025.374,911854,Ladies with Peony Flowers,牡丹仕女圖,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911854,https://images.metmuseum.org/CRDImages/as/original/DP-41278-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41278-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41278-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.375,2025.375,911857,The Holy Emperor Lord Guan,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911857,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40846-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.376,2025.376,911858,New Year’s Day,歲朝圖,Woodblock print; ink on paper with additional hand coloring,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911858,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41280-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.377,2025.377,911860,Scenic Sites of Famous Mount Putuo on the Southern Sea,,Woodblock print; ink on paper,Prints,"Purchase, John Stewart Kennedy Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911860,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41281-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41281-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.378,2025.378,911861,Gusu Beauty in Winter,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911861,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41282-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.379,2025.379,911867,"Woman teaching children to paint, from four-print set “Women teaching children the four accomplishments”",,Woodblock print; ink on paper with additional hand coloring,Prints,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911867,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41283-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,official_original_public_domain,pending_catalogue_concordance
