machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,source_merge,range_352_460_member,working_107_member,boundary_role,book_match_status,working_core_hypothesis,preferred_download_url,download_status
MET:2025.354,2025.354,911817,Scenic Spots of Zhenjiang,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 32 1/2 × 23 3/16 in. (82.6 × 58.9 cm)
Overall with mounting: 60 7/8 × 26 11/16 in. (154.6 × 67.8 cm)
Overall with knobs: 60 7/8 × 29 1/2 in. (154.6 × 74.9 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911817,https://collectionapi.metmuseum.org/public/collection/v1/objects/911817,https://images.metmuseum.org/CRDImages/as/original/DP-40650-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40650-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40650-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40650-002.jpg,official_original_public_domain
MET:2025.355,2025.355,911818,Scenic Spots of Zhenjiang,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 21 5/16 × 31 5/8 in. (54.1 × 80.3 cm)
Overall with mounting: 53 3/4 × 37 3/4 in. (136.5 × 95.9 cm)
Overall with knobs: 53 3/4 × 41 3/4 in. (136.5 × 106 cm)",Prints,Asian Art,"Funds from various donors, 2025",1,https://www.metmuseum.org/art/collection/search/911818,https://collectionapi.metmuseum.org/public/collection/v1/objects/911818,https://images.metmuseum.org/CRDImages/as/original/DP-40651-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40651-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40651-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40651-002.jpg,official_original_public_domain
MET:2025.356,2025.356,911819,Manchus Quarrel During a Chess Game,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 21 5/16 × 30 5/8 in. (54.1 × 77.8 cm)
Overall with mounting: 60 × 36 3/8 in. (152.4 × 92.4 cm)
Overall with knobs: 60 × 37 3/4 in. (152.4 × 95.9 cm)",Prints,Asian Art,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911819,https://collectionapi.metmuseum.org/public/collection/v1/objects/911819,https://images.metmuseum.org/CRDImages/as/original/DP-40652-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40652-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40652-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40652-002.jpg,official_original_public_domain
MET:2025.357,2025.357,911822,Boys Picking Lotus,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 54. × 23 7/8 in. (137.2 × 60.6 cm)
Overall with mounting: 75 3/4 × 29 1/4 in. (192.4 × 74.3 cm)
Overall with knobs: 75 3/4 × 31 3/8 in. (192.4 × 79.7 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911822,https://collectionapi.metmuseum.org/public/collection/v1/objects/911822,https://images.metmuseum.org/CRDImages/as/original/DP-40653-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40653-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40653-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40653-002.jpg,official_original_public_domain
MET:2025.358,2025.358,911824,May You Soon Bear Noble Sons,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; printed in black outline with printed and hand-painted color,"Image: 40 15/16 × 21 1/4 in. (104 × 54 cm)
Overall with mounting: 67 × 25 5/16 in. (170.2 × 64.3 cm)
Overall with knobs: 67 × 28 1/4 in. (170.2 × 71.8 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911824,https://collectionapi.metmuseum.org/public/collection/v1/objects/911824,https://images.metmuseum.org/CRDImages/as/original/DP-40654-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40654-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40654-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40654-002.jpg,official_original_public_domain
MET:2025.359,2025.359,911825,Mother and Child,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 35 3/8 × 19 1/4 in. (89.9 × 48.9 cm)
Overall with mounting: 66 1/2 × 23 7/16 in. (168.9 × 59.5 cm)
Overall with knobs: 66 1/2 × 25 3/4 in. (168.9 × 65.4 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911825,https://collectionapi.metmuseum.org/public/collection/v1/objects/911825,https://images.metmuseum.org/CRDImages/as/original/DP-40655-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40655-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40655-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40655-002.jpg,official_original_public_domain
MET:2025.360,2025.360,911826,The Two Immortals of Harmony and Unity,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 27 3/8 × 14 1/16 in. (69.5 × 35.7 cm)
Overall with mounting: 56 7/8 × 16 7/8 in. (144.5 × 42.9 cm)
Overall with knobs: 56 7/8 × 18 1/2 in. (144.5 × 47 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911826,https://collectionapi.metmuseum.org/public/collection/v1/objects/911826,https://images.metmuseum.org/CRDImages/as/original/DP-40656-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40656-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40656-002.jpg,official_original_public_domain
MET:2025.361,2025.361,911827,The Two Immortals of Harmony and Unity,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 26 7/8 × 13 7/8 in. (68.3 × 35.2 cm)
Overall with mounting: 48 3/4 × 17 in. (123.8 × 43.2 cm)
Overall with knobs: 48 3/4 × 19 1/4 in. (123.8 × 48.9 cm)",Prints,Asian Art,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911827,https://collectionapi.metmuseum.org/public/collection/v1/objects/911827,https://images.metmuseum.org/CRDImages/as/original/DP-40656-003.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40656-003.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40656-003.jpg,official_original_public_domain
MET:2025.362,2025.362,911830,Two Beauties Gather Lotus,,"China, Suzhou","Qing dynasty (1644–1911), Jiaqing period (1796–1820)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 26 7/8 × 13 7/8 in. (68.3 × 35.2 cm)
Overall with mounting: 48 3/4 × 17 in. (123.8 × 43.2 cm)
Overall with knobs: 48 3/4 × 19 1/4 in. (123.8 × 48.9 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911830,https://collectionapi.metmuseum.org/public/collection/v1/objects/911830,https://images.metmuseum.org/CRDImages/as/original/DP-41445-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41445-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41445-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41445-002.jpg,official_original_public_domain
MET:2025.363,2025.363,911834,Three Boys Grabbing Nobility,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 36 in. × 20 1/4 in. (91.4 × 51.5 cm)
Overall with mounting: 70 3/8 × 25 3/4 in. (178.8 × 65.4 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911834,https://collectionapi.metmuseum.org/public/collection/v1/objects/911834,https://images.metmuseum.org/CRDImages/as/original/DP-40657-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40657-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40657-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40657-002.jpg,official_original_public_domain
MET:2025.364,2025.364,911836,Ten Views of West Lake,,"China, Suzhou","Qing dynasty (1644–1911), Yongzheng–Qianlong period (1723–95)",,Woodblock print; ink on paper,"Image: 43 × 20 1/8 in. (109.2 × 51.1 cm)
Framed: 44 1/8 × 20 7/8 in. (112.1 × 53 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911836,https://collectionapi.metmuseum.org/public/collection/v1/objects/911836,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41821-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,official_original_public_domain
