sample_id,sample_page_code,sample_image_index,sample_alt,sample_url,sample_keypoints,museum_working_220_id,museum_code,accession,title_en,title_zh,object_url,good_matches,homography_inliers,inlier_ratio,geometric_score,homography_candidate_to_sample,rank
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,CMA:2025.108,CMA,2025.108,Bird on Pomegranate,石榴上的鳥兒,https://clevelandart.org/art/2025.108,277,251,0.9061,2722.0227,0.821328 -0.0260013 307.45 0.00157606 0.798963 515.308 -3.89491e-06 -2.4483e-05 1,1
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.434,MET,2025.434,Lady Holding a Brush,,https://www.metmuseum.org/art/collection/search/911980,37,8,0.2162,110.2243,-0.78839 -0.331826 581.742 -0.326071 -1.41155 994.43 -0.00290617 0.000192523 1,2
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.381,MET,2025.381,"Woman teaching children to play chess, from four-print set “Women teaching children the four accomplishments”",,https://www.metmuseum.org/art/collection/search/911871,37,7,0.1892,99.6838,-0.512031 -0.855528 524.623 -0.584904 -0.703531 450.731 -0.00122933 -0.00161689 1,3
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.357,MET,2025.357,Boys Picking Lotus,,https://www.metmuseum.org/art/collection/search/911822,46,6,0.1304,94.8087,8.75716 -1.5342 -2883.79 -11.4376 -12.1546 1763.19 -0.0122079 -0.00959261 1,4
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.361,MET,2025.361,The Two Immortals of Harmony and Unity,,https://www.metmuseum.org/art/collection/search/911827,26,7,0.2692,93.5846,0.21861 -1.13961 631.103 0.254718 -1.55988 848.09 0.00072908 -0.00197044 1,5
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.420,MET,2025.420,Spring Morning in the Han Palace,,https://www.metmuseum.org/art/collection/search/911944,23,7,0.3043,92.187,-2.22388 -1.20454 754.309 -1.44104 -0.809485 497.994 -0.00293733 -0.00160462 1,6
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,CMA:2025.127,CMA,2025.127,Plum and Camellia in a Bronze Vase,博古花卉圖,https://clevelandart.org/art/2025.127,34,6,0.1765,87.3294,-2.72356 -0.191591 763.919 -4.40722 -0.0268388 1061.96 -0.00438146 -2.02969e-05 1,7
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.423,MET,2025.423,A Hunt on the Plains,,https://www.metmuseum.org/art/collection/search/911947,28,6,0.2143,83.8857,1.35396 -2.29155 729.114 1.15578 -2.34411 808.963 0.00165273 -0.00301542 1,8
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.387,MET,2025.387,Taozhu Brings Wealth,,https://www.metmuseum.org/art/collection/search/911876,27,6,0.2222,83.3444,1.8205 -2.70437 945.727 1.4436 -1.26533 225.264 0.00282568 -0.00340106 1,9
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,CMA:2025.31,CMA,2025.31,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.31,26,6,0.2308,82.8154,-0.332523 -0.411497 435.465 2.27394 -0.470374 288.003 0.000611698 -0.00129428 1,10
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.391,MET,2025.391,Two Beauties Enjoy a Butterfly,,https://www.metmuseum.org/art/collection/search/911887,24,6,0.25,81.8,-1.4599 -0.92912 596.716 -1.30247 -0.791102 535.076 -0.00242996 -0.00152681 1,11
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.365,MET,2025.365,Lady with Boys Playing Instruments,,https://www.metmuseum.org/art/collection/search/911838,23,6,0.2609,81.3174,-9.73293 6.09895 354.386 -12.7417 8.05521 315.775 -0.0068338 0.00345557 1,12
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.414,MET,2025.414,Praying Mantis and Three Toddlers,,https://www.metmuseum.org/art/collection/search/911927,23,6,0.2609,81.3174,-44.112 10.3367 932.217 -55.8578 13.3297 1069.87 -0.0512213 0.0121293 1,13
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.450,MET,2025.450,Butterfly on Peony and Iris,,https://www.metmuseum.org/art/collection/search/912012,41,5,0.122,81.139,-0.264431 -2.82356 461.974 -1.37445 -1.59879 516.434 -0.00129679 -0.0047416 1,14
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,CMA:2025.76,CMA,2025.76,Li Wenzhong Clears the North,李文忠掃北,https://clevelandart.org/art/2025.76,21,6,0.2857,80.4143,3.43591 -41.4066 724.917 3.60895 -47.8523 986.31 0.00353908 -0.0482023 1,15
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,CMA:2025.116,CMA,2025.116,Grasshopper on Pomegranate,蚱蜢石榴,https://clevelandart.org/art/2025.116,21,6,0.2857,80.4143,-1.48086 0.200098 808.795 -1.47489 0.690151 770.114 -0.00193571 0.000779098 1,16
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.421,MET,2025.421,Adoration of a Sage,,https://www.metmuseum.org/art/collection/search/911945,21,6,0.2857,80.4143,-2.78763 2.03215 746.836 -0.447908 -0.0172506 422.618 -0.00364415 0.00252747 1,17
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.441,MET,2025.441,Agricultural Tasks,,https://www.metmuseum.org/art/collection/search/911991,21,6,0.2857,80.4143,-1.38234 -9.38674 1031.33 -0.206459 -0.253453 217.257 -0.00137865 -0.00763069 1,18
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.460,MET,2025.460,"Wooden chest with print ""Gusu Beauty in Winter"" pasted inside",,https://www.metmuseum.org/art/collection/search/912945,18,6,0.3333,79.2667,0.0764428 -1.99259 506.455 0.102483 -3.28076 833.066 0.000133645 -0.0039402 1,19
WENWU_RECOMMEND:3,WENWU_RECOMMEND,3,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829776.jpg,2527,MET:2025.396,MET,2025.396,Zhaojun Leaves for the North,,https://www.metmuseum.org/art/collection/search/911893,16,6,0.375,78.7,-1.25007 -1.08743 515.001 -0.734601 -0.603923 282.799 -0.00315592 -0.00200644 1,20
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.398,MET,2025.398,Satirical Prints of Suzhou Customs,,https://www.metmuseum.org/art/collection/search/911898,156,9,0.0577,200.3538,-0.236235 0.20423 245.283 -2.22346 -0.437086 1476.63 -0.00149796 -9.91217e-06 1,1
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.444,MET,2025.444,"Autumn basket: hibiscus, yellow hibiscus and chrysanthemum",,https://www.metmuseum.org/art/collection/search/911995,158,7,0.0443,181.4861,-0.800248 0.159925 522.804 0.342557 -0.548934 628.33 -0.000426662 -0.00106429 1,2
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.364,MET,2025.364,Ten Views of West Lake,,https://www.metmuseum.org/art/collection/search/911836,136,7,0.0515,166.2294,-2.01358 -0.0604143 617.502 -2.19309 -0.0681809 674.519 -0.00328118 -7.77433e-05 1,3
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.414,MET,2025.414,Praying Mantis and Three Toddlers,,https://www.metmuseum.org/art/collection/search/911927,117,8,0.0684,163.2675,-2.32578 -0.564705 738.265 -1.56285 -0.396693 503.392 -0.00309707 -0.000786549 1,4
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.423,MET,2025.423,A Hunt on the Plains,,https://www.metmuseum.org/art/collection/search/911947,123,7,0.0569,157.2382,-1.92553 -0.370538 912.821 0.860699 -1.04519 538.406 -0.00234228 0.000184531 1,5
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.445,MET,2025.445,Magpies,,https://www.metmuseum.org/art/collection/search/911996,102,8,0.0784,152.9686,2.72612 -1.13279 70.6771 20.2085 -9.97473 781.571 0.0274178 -0.0133696 1,6
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.406,MET,2025.406,Beauty and a Cat,,https://www.metmuseum.org/art/collection/search/911913,113,7,0.0619,150.3389,-0.32679 -0.273587 96.0756 -4.47057 -3.64477 1332.55 -0.003352 -0.00274105 1,7
WENWU_RECOMMEND:4,WENWU_RECOMMEND,4,,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175829777.jpg,2236,MET:2025.373,MET,2025.373,A Record of Tiger Hill in Suzhou,,https://www.metmuseum.org/art/collection/search/911852,83,8,0.0964,140.0277,-1.4302 0.778541 359.916 -3.26932 0.438668 980.241 -0.00331341 0.000959066 1,8
