ocr_entry	pdf_page	year_or_heading	place_or_scope	document_mode	datum_source	controlled_anchor	confidence	note
357	358	Abercarn near Newport. Mon.	Abercarn/Newport heading + miners' clubs prose	REUSED_LEAF|COPIED_SOCIAL_REFERENCE	PRINT/SECONDARY_REFERENCE	field club; sick/life club; relief for wounded/killed; bibliographic note to Benefit Societies/People's Journal 1847	A function/B citation	Do not assign prose automatically to Abercarn visit; heading appears residual on reused leaf
369	370		Great Britain/Ireland/Scotland	INSERTED_PRINT_OBJECT|PRINTED_MAP_CATALOGUE	PRINTED_OBJECT	Geological Survey / Ordnance Survey index map; Edward Stanford, 6 Charing Cross	A	Physical printed reference object incorporated in notebook
373	374		Cornwall geology	BIBLIOGRAPHIC_ROUTING	PRINT_REFERENCE_INDEX	Transactions of Geological Society of Cornwall; de la Beche Report on Geology of Cornwall 1839	A function/B exact author-page details	Source-routing page rather than site visit
378	379		Cornwall localities/minerals	GEOLOGICAL_LOCALITY_COMPILATION	PRINT/COMPILED_REFERENCE	Launceston; St Austell; Black Jack; brown haematite; lead; multiple localities	A function/B details	Dense comparative locality list, not one itinerary event
381	382		Cornish mine structure/organisation	PRINT_COPY|SOURCE_SYNTHESIS	DE_LA_BECHE_1839	cross courses; sump; captains/agents; tributers; tutworkmen; labourers; adventurers	A function/source	Strong match to de la Beche economic-geology sections c. pp.559, 567
382	383		Cornish mining operations	PRINT_COPY|SOURCE_SYNTHESIS	DE_LA_BECHE_1839_ALIGNED	tribute; water/steam; roads/carts; blasting/gunpowder; dressing tin ores; stamping mill; roasting furnace	A function/B line-by-line source	Strongly aligned with de la Beche 1839 mining-operation/tin-dressing sections; exact collation pending
383	384		geological/vein synthesis	GEOLOGICAL_SYNTHESIS	REFERENCE_COMPARISON	German geological prose	B	No new dated itinerary detected
384	385		geological orientation/vein notes	GEOLOGICAL_SYNTHESIS	REFERENCE_COMPARISON	angular/orientation measurements; vein/cross-course reasoning	B	OCR poor; image shows coherent technical note
385	386		geological/vein synthesis	GEOLOGICAL_SYNTHESIS	REFERENCE_COMPARISON	German technical synthesis	B	No new dated itinerary detected
386	387		final manuscript note	GEOLOGICAL_SYNTHESIS	REFERENCE_COMPARISON	short concluding German note	B	Last substantive manuscript page in main sequence
387+	388-401		covers/endpapers/object views	OBJECT_DOCUMENTATION_IMAGE	DIGITISATION_METADATA	blank endpaper; covers; spine/fore-edge; ruler/color-checker/object photography	A	Not independent manuscript textual content; some later shots reproduce earlier leaves
