id	title	date	type	url	fetch_mode	commit_policy	rights_note
WED-23	Hermann Wedding, Freiberg smelting notes, Eisenbibliothek Mss 23	1856-1857	iiif_manifest	https://www.e-codices.ch/metadata/iiif/ebs-0023/manifest.json	iiif	manifest_only	Bulk page images for local non-commercial research; do not mirror into public repo without checking republication terms.
WED-24	Hermann Wedding, German metallurgical journey, Eisenbibliothek Mss 24	1858	iiif_manifest	https://www.e-codices.ch/metadata/iiif/ebs-0024/manifest.json	iiif	manifest_only	Bulk page images for local non-commercial research; do not mirror into public repo without checking republication terms.
WED-25	Hermann Wedding, Germany-Belgium-England metallurgical journey, Eisenbibliothek Mss 25	1860-1862	iiif_manifest	https://www.e-codices.ch/metadata/iiif/ebs-0025/manifest.json	iiif	manifest_only	Priority remote corpus. Bulk page images local only unless reuse terms are explicitly cleared.
JCF-ED	Johann Conrad Fischer travel journals digital edition	2023	web_edition	https://www.johannconradfischer.com/en/travels	link_only	link_only	Modern digital edition; use remotely and cite, do not mirror wholesale.
JCF-GUIDE	Johann Conrad Fischer digital-edition editorial guidelines	2023	web_page	https://www.johannconradfischer.com/en/content/editorial-guidelines	link_only	link_only	Documents e-rara reference copies and OCR/editorial workflow.
DROSTE-2024	Bernhard Droste, Bücher für die Eisenbibliothek, Ferrum 93	2024	article	https://archives.georgfischer.com/media/web/94722	local_file	local_only	Recent article; local research copy only, never commit mirrored PDF to public repo.
MKT-1893	Mitteilungen aus den Königlichen technischen Versuchsanstalten, Band 11	1893	book_record	https://play.google.com/store/books/details?id=ShwKAAAAIAAJ	link_only	link_only	Public-domain-era volume marked free; stable direct binary endpoint not yet controlled.
SLUB-MKT	SLUB serial record for Mitteilungen and Atlas 10/11.1892/93	1883-1903	catalogue	https://katalog.slub-dresden.de/en/id/0-130127590	link_only	link_only	Catalogue route; atlas is separately held and not yet remotely acquired.
SORBY-HMS	Edyvean and Hammond, metallurgical work of Henry Clifton Sorby	1997/2022 online	article_landing	https://hmsjournal.org/index.php/home/article/view/317	link_only	link_only	Modern scholarship; cite/consult, do not mirror unless licence explicitly permits.
JRMS-1886	Journal of the Royal Microscopical Society volume	1886	pdf	https://www.microscopemuseum.eu/jrms/JRMS_1886.pdf	local_file	local_only	Historical public-domain text; local cache suitable, repository mirroring unnecessary.
RS-MASKELYNE	Royal Society Science in the Making: Story-Maskelyne person page	19th c. records	archive_portal	https://makingscience.royalsociety.org/people/na6363/mervyn-herbert-nevil-story-maskelyne	link_only	link_only	Portal contains digitised archival items and metadata; retain stable item URLs.
RS-TUTTON-1894	Story-Maskelyne referee report on Tutton section cutting/grinding/polishing instrument	1894	archive_item	https://makingscience.royalsociety.org/items/rr_12_397/referees-report-by-mervyn-herbert-nevil-story-maskelyne-on-a-paper-an-instrument-for-cutting-grinding-and-polishing-section-plates-and-prisms-of-mineral-or-other-crystals-accurately-in-the-desired-directions-by-alfred-edwin-howard-tutton	link_only	link_only	External preparation-method control; not an Iron Library holding claim.
